excel_speciesid,sql_speciesid,sql_species_code
Aba_bar,2396,Aba_bar
Aba_coc,2397,Aba_coc
Abe_fic,4472,Abe_fic
Abi_las,7052,Abi_las
Abi_pro,7053,Abi_pro
Abr_lat,1905,Abr_lat
Abr_umb,1906,Abr_umb
Abu_dwy,6068,Abu_dwy
Abu_ind,4473,Abu_ind
Abu_mau,4474,Abu_mau
Abu_rac,6069,Abu_rac
Abu_ste,6070,Abu_ste
Abu_the,4475,Abu_the
Aca_aca,2398,Aca_aca
Aca_aci,2399,Aca_aci
Aca_acu,2400,Aca_acu
Aca_aem,2401,Aca_aem
Aca_anc,2402,Aca_anc
Aca_ass,2403,Aca_ass
Aca_aus,381,Aca_aus
Aca_bid,2404,Aca_bid
Aca_bin,2405,Aca_bin
Aca_bra,2406,Aca_bra
Aca_bre,2407,Aca_bre
Aca_bux,2408,Aca_bux
Aca_cav,2409,Aca_cav
Aca_chr,2410,Aca_chr
Aca_coc,2411,Aca_coc
Aca_con,2413,Aca_con
Aca_conso,2412,Aca_conso
Aca_cor,2414,Aca_cor
Aca_cup,2415,Aca_cup
Aca_cyc,2416,Aca_cyc
Aca_daw,2417,Aca_daw
Aca_dea,2418,Aca_dea
Aca_dec,2419,Aca_dec
Aca_decc,2420,Aca_decc
Aca_div,4129,Aca_div
Aca_dre,2421,Aca_dre
Aca_ehr,2422,Aca_ehr
Aca_etb,2423,Aca_etb
Aca_fal,2424,Aca_fal
Aca_far,2425,Aca_far
Aca_farn,2426,Aca_farn
Aca_fer,2427,Aca_fer
Aca_gen,2428,Aca_gen
Aca_ger,2429,Aca_ger
Aca_ger1,2429,Aca_ger
Aca_gla,2430,Aca_gla
Aca_glo,2431,Aca_glo
Aca_gon,2432,Aca_gon
Aca_gra,4130,Aca_gra
Aca_gre,2433,Aca_gre
Aca_har,2434,Aca_har
Aca_hil,2435,Aca_hil
Aca_his,382,Aca_his
Aca_imp,2436,Aca_imp
Aca_ina,2437,Aca_ina
Aca_lan,2438,Aca_lan
Aca_las,2439,Aca_las
Aca_lasiocarpa,2440,Aca_lasiocarpa
Aca_lig,2441,Aca_lig
Aca_mac,4131,Aca_mac
Aca_max,2442,Aca_max
Aca_mea,2443,Aca_mea
Aca_mel,2444,Aca_mel
Aca_mell,2445,Aca_mell
Aca_mic,2446,Aca_mic
Aca_mim,2447,Aca_mim
Aca_moi,2448,Aca_moi
Aca_myr,2449,Aca_myr
Aca_neo,4132,Aca_neo
Aca_nil,2450,Aca_nil
Aca_par,2451,Aca_par
Aca_parr,2452,Aca_parr
Aca_pat,2453,Aca_pat
Aca_pen,2454,Aca_pen
Aca_pin,2455,Aca_pin
Aca_pla,2456,Aca_pla
Aca_pul,3103,Aca_pul
Aca_pul1,2457,Aca_pul_var_goa
Aca_pulchella,2458,Aca_pulchella
Aca_pyc,2459,Aca_pyc
Aca_red,2460,Aca_red
Aca_rub,2462,Aca_rub
Aca_sal,2463,Aca_sal
Aca_ser,3888,Aca_ser
Aca_sey,2464,Aca_sey
Aca_spi,2465,Aca_spi
Aca_spo,2466,Aca_spo
Aca_ste,2468,Aca_ste
Aca_sti,2469,Aca_sti
Aca_str,2470,Aca_str
Aca_sub,2471,Aca_sub
Aca_sul,2472,Aca_sul
Aca_ter,2473,Aca_ter
Aca_tet,2474,Aca_tet
Aca_tor,2475,Aca_tor
Aca_tor1,2475,Aca_tor
Aca_var,2476,Aca_var
Aca_var1,2476,Aca_var
Aca_ver,2478,Aca_ver
Aca_vern,2477,Aca_vern
Aca_vir,4135,Aca_vir
Aca_vir1,4134,Aca_vir_var_rho
Aca_xan,2479,Aca_xan
Ace_cam,6623,Ace_cam
Ace_gla,6624,Ace_gla
Ace_mac,6625,Ace_mac
Ace_neg,6626,Ace_neg
Ace_pla,6627,Ace_pla
Ace_pse,6628,Ace_pse
Ace_rub,6629,Ace_rub
Ace_sac,6630,Ace_sac
Ace_sacarum,6631,Ace_sacarum
Ach_asi,383,Ach_asi
Ach_asp,384,Ach_asp
Ach_aspe,1666,Ach_aspe
Ach_col,385,Ach_col
Ach_mil,387,Ach_mil
Ach_mil_3,386,Ach_mil__var_occ
Ach_mil1,386,Ach_mil__var_occ
Ach_mol,393,Ach_mol
Ach_nob,388,Ach_nob
Ach_pan,390,Ach_pan
Ach_pta,389,Ach_pta
Ach_sat,394,Ach_sat
Ach_set,391,Ach_set
Acl_che,1907,Acl_che
Acl_dif,1908,Acl_dif
Acm_ame,2480,Acm_ame
Acm_bra,2481,Acm_bra
Acm_wra,2482,Acm_wra
Acn_arb,6786,Acn_arb
Aco_cal,2,Aco_cal
Aco_car,6094,Aco_car
Aco_dav,1944,Aco_dav
Aco_len,2483,Aco_len
Aco_nan,396,Aco_nan
Acr_cus,6962,Acr_cus
Acr_ram,2213,Acr_ram
Act_con,4137,Act_con
Act_con_a,4136,Act_con_a
Act_klo,4138,Act_klo
Act_pyr,7037,Act_pyr
Act_rub,6095,Act_rub
Act_spi,6096,Act_spi
Ade_bic,397,Ade_bic
Ade_flo,4620,Ade_flo
Ade_inu,3493,Ade_inu
Ade_lil,1325,Ade_lil
Ade_ste,1326,Ade_ste
Ade_tri,4140,Ade_tri
Ado_aes,6097,Ado_aes
Ado_ver,6098,Ado_ver
Aeg_cep,3542,Aeg_cep
Aeg_cyl,5311,Aeg_cyl
Aeg_int,3543,Aeg_int
Aeg_neg,5312,Aeg_neg
Aeg_pan,3544,Aeg_pan
Aeg_pod,52,Aeg_pod
Aeg_sel,3545,Aeg_sel
Aeg_tri,5313,Aeg_tri
Aeg_ver,3546,Aeg_ver
Ael_lag,5314,Ael_lag
Aer_lan,1667,Aer_lan
Aes_fal,2484,Aes_fal
Aes_hip,6633,Aes_hip
Aes_ind,2485,Aes_ind
Aet_cyn,53,Aet_cyn
Aga_cla,3547,Aga_cla
Aga_com,3706,Aga_com
Aga_foe,3548,Aga_foe
Aga_nep,3549,Aga_nep
Aga_num,2214,Aga_num
Aga_scr,3550,Aga_scr
Aga_ten,3708,Aga_ten
Age_alt,398,Age_alt
Ago_aur,399,Ago_aur
Ago_exc,6488,Ago_exc
Ago_gla,400,Ago_gla
Ago_gra,401,Ago_gra
Ago_het,402,Ago_het
Agr_can,5320,Agr_can
Agr_cap,5321,Agr_cap
Agr_cas,5322,Agr_cas
Agr_cri,5316,Agr_cri
Agr_des,5317,Agr_des
Agr_div,5323,Agr_div
Agr_eup,6269,Agr_eup
Agr_exa,5324,Agr_exa
Agr_fra,5318,Agr_fra
Agr_gig,5325,Agr_gig
Agr_git,1786,Agr_git
Agr_gry,6270,Agr_gry
Agr_hal,5326,Agr_hal
Agr_hye,5327,Agr_hye
Agr_mac,5315,Agr_mac
Agr_mer,5328,Agr_mer
Agr_pal,5329,Agr_pal
Agr_par,6271,Agr_par
Agr_per,5330,Agr_per
Agr_pub,6272,Agr_pub
Agr_sca,5331,Agr_sca
Agr_squ,1668,Agr_squ
Agr_sto,5333,Agr_sto
Agr_str,6274,Agr_str
Agr_ten,5321,Agr_cap
Agr_vin,5334,Agr_vin
Ail_alt,6682,Ail_alt
Air_car,5335,Air_car
Air_cup,5336,Air_cup
Air_pra,5337,Air_pra
Aiz_can,1634,Aiz_can
Aja_ach,404,Aja_ach
Aja_fru,405,Aja_fru
Aju_cha,3551,Aju_cha
Aju_gen,3552,Aju_gen
Aju_lax,3553,Aju_lax
Aju_rep,3554,Aju_rep
Alb_nio,2486,Alb_nio
Alb_ped,2487,Alb_ped
Alb_pol,2488,Alb_pol
Alb_tom,2489,Alb_tom
Alc_alp,6275,Alc_alp
Alc_cos,4141,Alc_cos
Alc_gla,6277,Alc_gla
Alc_gla_a,6276,Alc_gla_a
Alc_lat,4143,Alc_lat
Alc_ros,4476,Alc_ros
Alc_sid,4144,Alc_sid
Alc_tri,4145,Alc_tri
Alc_vul,6279,Alc_vul
Alc_xan,6280,Alc_xan
Alcho_gla,4142,Alcho_gla
Ale_nig,2490,Ale_nig
Ale_och,2491,Ale_och
Ali_lan,3,Ali_lan
Ali_pin,2271,Ali_pin
Ali_pla,4,Ali_pla
Ali_sub,6,Ali_sub
Ali_tri,7,Ali_tri
All_acu,3157,All_acu
All_ang,205,All_ang
All_ani,206,All_ani
All_bid,207,All_bid
All_cam,3204,All_cam
All_can,208,All_can
All_car,209,All_car
All_cau,173,All_cau
All_cer,210,All_cer
All_cho,1909,All_cho
All_cim,5339,All_cim
All_edu,6634,All_edu
All_fra,3158,All_fra
All_gal,211,All_gal
All_hue,3159,All_hue
All_hum,3160,All_hum
All_inc,1910,All_inc
All_lae,6635,All_lae
All_leh,3161,All_leh
All_lin,212,All_lin
All_lit,3162,All_lit
All_lue,3163,All_lue
All_mac,213,All_mac
All_mon,214,All_mon
All_ole,215,All_ole
All_pet,1478,All_pet
All_pol,216,All_pol
All_pro,217,All_pro
All_rac,6636,All_rac
All_ram,218,All_ram
All_sat,219,All_sat
All_sch,220,All_sch
All_sco,221,All_sco
All_sen,222,All_sen
All_sph,223,All_sph
All_ste,225,All_ste
All_stenum,226,All_stenum
All_tex,227,All_tex
All_thu,3164,All_thu
All_tri,228,All_tri
All_urs,229,All_urs
All_ver,3165,All_ver
All_vin,230,All_vin
Alli_acu,204,Alli_acu
Alm_rub,6581,Alm_rub
Aln_aln,3135,Aln_aln
Aln_aln1,3135,Aln_aln
Aln_glu,3136,Aln_glu
Aln_rub,3137,Aln_rub
Aln_ser,3138,Aln_ser
Alo_aeq,5340,Alo_aeq
Alo_aru,5341,Alo_aru
Alo_car,5342,Alo_car
Alo_gen,5343,Alo_gen
Alo_myo,5344,Alo_myo
Alo_pra,5345,Alo_pra
Alo_ver,278,Alo_ver
Alo_vir,3889,Alo_vir
Als_bla,3311,Als_bla
Als_flo,3312,Als_flo
Als_inv,3313,Als_inv
Alt_off,4477,Alt_off
Alt_phi,1669,Alt_phi
Alt_ses,1670,Alt_ses
Aly_aly,1479,Aly_aly
Aly_des,1480,Aly_des
Aly_gra,1481,Aly_gra
Aly_hue,4478,Aly_hue
Aly_lon,2492,Aly_lon
Aly_mue,2493,Aly_mue
Aly_obo,1482,Aly_obo
Aly_sim,1483,Aly_sim
Ama_aca,1671,Ama_aca
Ama_alb,1672,Ama_alb
Ama_bli,1673,Ama_bli
Ama_can,1674,Ama_can
Ama_cor,3314,Ama_cor
Ama_dis,406,Ama_dis
Ama_gra,1675,Ama_gra
Ama_hyb,1676,Ama_hyb
Ama_int,3315,Ama_int
Ama_pal,1677,Ama_pal
Ama_ret,1678,Ama_ret
Ama_tub,1680,Ama_tub
Ama_vir,1681,Ama_vir
Amb_aca,407,Amb_aca
Amb_art,408,Amb_art
Amb_cea,2494,Amb_cea
Amb_cha,409,Amb_cha
Amb_psi,410,Amb_psi
Amb_tom,412,Amb_tom
Amb_tri,413,Amb_tri
Ame_aln,6281,Ame_aln
Ame_arb,6282,Ame_arb
Ame_lae,6283,Ame_lae
Ame_san,6284,Ame_san
Ame_spi,6285,Ame_spi
Ame_uta,6287,Ame_uta
Amm_are,5347,Amm_are
Amm_bac,4621,Amm_bac
Amm_bre,5348,Amm_bre
Amm_coc,4622,Amm_coc
Amm_maj,54,Amm_maj
Amo_can,2495,Amo_can
Amo_fru,2496,Amo_fru
Amo_nan,2497,Amo_nan
Amp_arb,6853,Amp_arb
Amp_bra,2499,Amp_bra
Amp_cru,3494,Amp_cru
Amp_gla,6444,Amp_gla
Amp_gla1,6854,Amp_gla_var_bre
Amp_lae,3205,Amp_lae
Amp_lon,4417,Amp_lon
Amp_mac,6445,Amp_mac
Amp_mag,3495,Amp_mag
Amp_muh,5349,Amp_muh
Amp_pan,3496,Amp_pan
Amp_rup,1635,Amp_rup
Ams_men,1373,Ams_men
Ana_arv,2309,Ana_arv
Ana_arv1,2309,Ana_arv
Ana_bre,1682,Ana_bre
Ana_cla,414,Ana_cla
Ana_col,2500,Ana_col
Ana_cor,337,Ana_cor
Ana_exc,6501,Ana_exc
Ana_hum,6502,Ana_hum
Ana_mar,415,Ana_mar
Ana_min,6990,Ana_min
Ana_mor,338,Ana_mor
Ana_occ,6503,Ana_occ
Ana_per,2501,Ana_per
Ana_pyr,339,Ana_pyr
Ana_sil,4017,Ana_sil
Ana_sin,416,Ana_sin
Anag_min,2310,Anag_min
Anc_arv,1374,Anc_arv
Anc_off,1375,Anc_off
And_are,417,And_are
And_bic,5350,And_bic
And_fra,2502,And_fra
And_ger,5351,And_ger
And_glo,5352,And_glo
And_hal,5353,And_hal
And_hum,2503,And_hum
And_ine,2504,And_ine
And_int,418,And_int
And_lat,5354,And_lat
And_leg,2505,And_leg
And_leu,5355,And_leu
And_lon,5356,And_lon
And_occ,2311,And_occ
And_orm,2506,And_orm
And_rag,419,And_rag
And_rup,6932,And_rup
And_sep,2312,And_sep
