database,projectid,object_type,source_treatmentid,source_treatment_event_key,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,11,plot,11_26,11_26::event_01,301,23,3403,576,0
GAZP,11,plot,11_26,11_26::event_01,301,43,3404,576,0
GAZP,11,plot,11_26,11_26::event_01,302,122,3405,576,0
GAZP,11,plot,11_26,11_26::event_01,302,142,3406,576,0
GAZP,11,plot,11_26,11_26::event_01,303,122,3407,576,0
GAZP,11,plot,11_26,11_26::event_01,303,142,3408,576,0
GAZP,11,plot,11_26,11_26::event_01,304,23,3409,576,0
GAZP,11,plot,11_26,11_26::event_01,304,43,3410,576,0
GAZP,11,plot,11_26,11_26::event_01,305,121,3411,576,0
GAZP,11,plot,11_26,11_26::event_01,305,141,3412,576,0
GAZP,11,plot,11_26,11_26::event_01,306,23,3413,576,0
GAZP,11,plot,11_26,11_26::event_01,306,43,3414,576,0
GAZP,11,plot,11_26,11_26::event_01,307,22,3415,576,0
GAZP,11,plot,11_26,11_26::event_01,307,42,3416,576,0
GAZP,11,plot,11_26,11_26::event_01,308,121,3417,576,0
GAZP,11,plot,11_26,11_26::event_01,308,141,3418,576,0
GAZP,11,plot,11_26,11_26::event_01,309,21,3419,576,0
GAZP,11,plot,11_26,11_26::event_01,309,41,3420,576,0
GAZP,11,plot,11_28,11_28::event_01,310,23,3421,578,0
GAZP,11,plot,11_28,11_28::event_01,310,43,3422,578,0
GAZP,11,plot,11_28,11_28::event_01,311,22,3423,578,0
GAZP,11,plot,11_28,11_28::event_01,311,42,3424,578,0
GAZP,11,plot,11_28,11_28::event_01,312,22,3425,578,0
GAZP,11,plot,11_28,11_28::event_01,312,42,3426,578,0
GAZP,11,plot,11_28,11_28::event_01,313,23,3427,578,0
GAZP,11,plot,11_28,11_28::event_01,313,43,3428,578,0
GAZP,11,plot,11_28,11_28::event_01,314,121,3429,578,0
GAZP,11,plot,11_28,11_28::event_01,314,141,3430,578,0
GAZP,11,plot,11_28,11_28::event_01,315,23,3431,578,0
GAZP,11,plot,11_28,11_28::event_01,315,43,3432,578,0
GAZP,11,plot,11_28,11_28::event_01,316,22,3433,578,0
GAZP,11,plot,11_28,11_28::event_01,316,42,3434,578,0
GAZP,11,plot,11_28,11_28::event_01,317,121,3435,578,0
GAZP,11,plot,11_28,11_28::event_01,317,141,3436,578,0
GAZP,11,plot,11_28,11_28::event_01,318,21,3437,578,0
GAZP,11,plot,11_28,11_28::event_01,318,41,3438,578,0
GAZP,11,plot,11_26,11_26::event_01,401,123,3439,576,0
GAZP,11,plot,11_26,11_26::event_01,401,143,3440,576,0
GAZP,11,plot,11_26,11_26::event_01,402,22,3441,576,0
GAZP,11,plot,11_26,11_26::event_01,402,42,3442,576,0
GAZP,11,plot,11_26,11_26::event_01,403,122,3443,576,0
GAZP,11,plot,11_26,11_26::event_01,403,142,3444,576,0
GAZP,11,plot,11_26,11_26::event_01,404,23,3445,576,0
GAZP,11,plot,11_26,11_26::event_01,404,43,3446,576,0
GAZP,11,plot,11_26,11_26::event_01,405,21,3447,576,0
GAZP,11,plot,11_26,11_26::event_01,405,41,3448,576,0
GAZP,11,plot,11_26,11_26::event_01,406,123,3449,576,0
GAZP,11,plot,11_26,11_26::event_01,406,143,3450,576,0
GAZP,11,plot,11_26,11_26::event_01,407,22,3451,576,0
GAZP,11,plot,11_26,11_26::event_01,407,42,3452,576,0
GAZP,11,plot,11_26,11_26::event_01,408,21,3453,576,0
GAZP,11,plot,11_26,11_26::event_01,408,41,3454,576,0
GAZP,11,plot,11_26,11_26::event_01,409,21,3455,576,0
GAZP,11,plot,11_26,11_26::event_01,409,41,3456,576,0
GAZP,11,plot,11_28,11_28::event_01,410,23,3457,578,0
GAZP,11,plot,11_28,11_28::event_01,410,43,3458,578,0
GAZP,11,plot,11_28,11_28::event_01,411,122,3459,578,0
GAZP,11,plot,11_28,11_28::event_01,411,142,3460,578,0
GAZP,11,plot,11_28,11_28::event_01,412,122,3461,578,0
GAZP,11,plot,11_28,11_28::event_01,412,142,3462,578,0
