database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,2,plot,2_1,1,1,626,41,0
GAZP,2,plot,2_1,1,2,627,41,0
GAZP,2,plot,2_1,1,3,628,41,0
GAZP,2,plot,2_1,1,4,629,41,0
GAZP,2,plot,2_1,1,5,630,41,0
GAZP,2,plot,2_1,1,6,631,41,0
GAZP,2,plot,2_1,1,7,632,41,0
GAZP,2,plot,2_1,1,8,633,41,0
GAZP,2,plot,2_10,1,1,634,42,0
GAZP,2,plot,2_10,1,2,635,42,0
GAZP,2,plot,2_10,1,3,636,42,0
GAZP,2,plot,2_10,1,4,637,42,0
GAZP,2,plot,2_10,1,5,638,42,0
GAZP,2,plot,2_10,1,6,639,42,0
GAZP,2,plot,2_10,1,7,640,42,0
GAZP,2,plot,2_10,1,8,641,42,0
GAZP,2,plot,2_11,1,1,642,43,0
GAZP,2,plot,2_11,1,2,643,43,0
GAZP,2,plot,2_11,1,3,644,43,0
GAZP,2,plot,2_11,1,4,645,43,0
GAZP,2,plot,2_11,1,5,646,43,0
GAZP,2,plot,2_11,1,6,647,43,0
GAZP,2,plot,2_11,1,7,648,43,0
GAZP,2,plot,2_11,1,8,649,43,0
GAZP,2,plot,2_12,1,1,650,44,0
GAZP,2,plot,2_12,1,2,651,44,0
GAZP,2,plot,2_12,1,3,652,44,0
GAZP,2,plot,2_12,1,4,653,44,0
GAZP,2,plot,2_12,1,5,654,44,0
GAZP,2,plot,2_12,1,6,655,44,0
GAZP,2,plot,2_12,1,7,656,44,0
GAZP,2,plot,2_12,1,8,657,44,0
GAZP,2,plot,2_13,1,1,658,45,0
GAZP,2,plot,2_13,1,1,658,46,2
GAZP,2,plot,2_13,1,1,658,47,4
GAZP,2,plot,2_13,1,1,658,48,6
GAZP,2,plot,2_13,1,1,658,49,8
GAZP,2,plot,2_13,1,1,658,50,10
GAZP,2,plot,2_13,1,1,658,51,12
GAZP,2,plot,2_13,1,1,658,52,14
GAZP,2,plot,2_13,1,1,658,53,16
GAZP,2,plot,2_13,1,2,659,45,0
GAZP,2,plot,2_13,1,2,659,46,2
GAZP,2,plot,2_13,1,2,659,47,4
GAZP,2,plot,2_13,1,2,659,48,6
GAZP,2,plot,2_13,1,2,659,49,8
GAZP,2,plot,2_13,1,2,659,50,10
GAZP,2,plot,2_13,1,2,659,51,12
GAZP,2,plot,2_13,1,2,659,52,14
GAZP,2,plot,2_13,1,2,659,53,16
GAZP,2,plot,2_13,1,3,660,45,0
GAZP,2,plot,2_13,1,3,660,46,2
GAZP,2,plot,2_13,1,3,660,47,4
GAZP,2,plot,2_13,1,3,660,48,6
GAZP,2,plot,2_13,1,3,660,49,8
GAZP,2,plot,2_13,1,3,660,50,10
GAZP,2,plot,2_13,1,3,660,51,12
GAZP,2,plot,2_13,1,3,660,52,14
GAZP,2,plot,2_13,1,3,660,53,16
GAZP,2,plot,2_13,1,4,661,45,0
GAZP,2,plot,2_13,1,4,661,46,2
GAZP,2,plot,2_13,1,4,661,47,4
GAZP,2,plot,2_13,1,4,661,48,6
GAZP,2,plot,2_13,1,4,661,49,8
GAZP,2,plot,2_13,1,4,661,50,10
GAZP,2,plot,2_13,1,4,661,51,12
GAZP,2,plot,2_13,1,4,661,52,14
GAZP,2,plot,2_13,1,4,661,53,16
GAZP,2,plot,2_13,1,5,662,45,0
GAZP,2,plot,2_13,1,5,662,46,2
GAZP,2,plot,2_13,1,5,662,47,4
GAZP,2,plot,2_13,1,5,662,48,6
GAZP,2,plot,2_13,1,5,662,49,8
GAZP,2,plot,2_13,1,5,662,50,10
GAZP,2,plot,2_13,1,5,662,51,12
GAZP,2,plot,2_13,1,5,662,52,14
GAZP,2,plot,2_13,1,5,662,53,16
GAZP,2,plot,2_13,1,6,663,45,0
GAZP,2,plot,2_13,1,6,663,46,2
GAZP,2,plot,2_13,1,6,663,47,4
GAZP,2,plot,2_13,1,6,663,48,6
GAZP,2,plot,2_13,1,6,663,49,8
GAZP,2,plot,2_13,1,6,663,50,10
GAZP,2,plot,2_13,1,6,663,51,12
GAZP,2,plot,2_13,1,6,663,52,14
GAZP,2,plot,2_13,1,6,663,53,16
GAZP,2,plot,2_13,1,7,664,45,0
GAZP,2,plot,2_13,1,7,664,46,2
GAZP,2,plot,2_13,1,7,664,47,4
GAZP,2,plot,2_13,1,7,664,48,6
GAZP,2,plot,2_13,1,7,664,49,8
GAZP,2,plot,2_13,1,7,664,50,10
GAZP,2,plot,2_13,1,7,664,51,12
GAZP,2,plot,2_13,1,7,664,52,14
GAZP,2,plot,2_13,1,7,664,53,16
GAZP,2,plot,2_13,1,8,665,45,0
GAZP,2,plot,2_13,1,8,665,46,2
GAZP,2,plot,2_13,1,8,665,47,4
GAZP,2,plot,2_13,1,8,665,48,6
GAZP,2,plot,2_13,1,8,665,49,8
GAZP,2,plot,2_13,1,8,665,50,10
GAZP,2,plot,2_13,1,8,665,51,12
GAZP,2,plot,2_13,1,8,665,52,14
GAZP,2,plot,2_13,1,8,665,53,16
GAZP,2,plot,2_14,1,1,666,54,0
GAZP,2,plot,2_14,1,1,666,55,2
GAZP,2,plot,2_14,1,1,666,56,4
GAZP,2,plot,2_14,1,1,666,57,6
GAZP,2,plot,2_14,1,1,666,58,8
GAZP,2,plot,2_14,1,1,666,59,10
GAZP,2,plot,2_14,1,1,666,60,12
GAZP,2,plot,2_14,1,1,666,61,14
GAZP,2,plot,2_14,1,1,666,62,16
GAZP,2,plot,2_14,1,2,667,54,0
GAZP,2,plot,2_14,1,2,667,55,2
GAZP,2,plot,2_14,1,2,667,56,4
GAZP,2,plot,2_14,1,2,667,57,6
GAZP,2,plot,2_14,1,2,667,58,8
GAZP,2,plot,2_14,1,2,667,59,10
GAZP,2,plot,2_14,1,2,667,60,12
GAZP,2,plot,2_14,1,2,667,61,14
GAZP,2,plot,2_14,1,2,667,62,16
GAZP,2,plot,2_14,1,3,668,54,0
GAZP,2,plot,2_14,1,3,668,55,2
GAZP,2,plot,2_14,1,3,668,56,4
GAZP,2,plot,2_14,1,3,668,57,6
GAZP,2,plot,2_14,1,3,668,58,8
GAZP,2,plot,2_14,1,3,668,59,10
GAZP,2,plot,2_14,1,3,668,60,12
GAZP,2,plot,2_14,1,3,668,61,14
GAZP,2,plot,2_14,1,3,668,62,16
GAZP,2,plot,2_14,1,4,669,54,0
GAZP,2,plot,2_14,1,4,669,55,2
GAZP,2,plot,2_14,1,4,669,56,4
GAZP,2,plot,2_14,1,4,669,57,6
GAZP,2,plot,2_14,1,4,669,58,8
GAZP,2,plot,2_14,1,4,669,59,10
GAZP,2,plot,2_14,1,4,669,60,12
GAZP,2,plot,2_14,1,4,669,61,14
GAZP,2,plot,2_14,1,4,669,62,16
GAZP,2,plot,2_14,1,5,670,54,0
GAZP,2,plot,2_14,1,5,670,55,2
GAZP,2,plot,2_14,1,5,670,56,4
GAZP,2,plot,2_14,1,5,670,57,6
GAZP,2,plot,2_14,1,5,670,58,8
GAZP,2,plot,2_14,1,5,670,59,10
GAZP,2,plot,2_14,1,5,670,60,12
GAZP,2,plot,2_14,1,5,670,61,14
GAZP,2,plot,2_14,1,5,670,62,16
GAZP,2,plot,2_14,1,6,671,54,0
GAZP,2,plot,2_14,1,6,671,55,2
GAZP,2,plot,2_14,1,6,671,56,4
GAZP,2,plot,2_14,1,6,671,57,6
GAZP,2,plot,2_14,1,6,671,58,8
GAZP,2,plot,2_14,1,6,671,59,10
GAZP,2,plot,2_14,1,6,671,60,12
GAZP,2,plot,2_14,1,6,671,61,14
GAZP,2,plot,2_14,1,6,671,62,16
GAZP,2,plot,2_14,1,7,672,54,0
GAZP,2,plot,2_14,1,7,672,55,2
GAZP,2,plot,2_14,1,7,672,56,4
GAZP,2,plot,2_14,1,7,672,57,6
GAZP,2,plot,2_14,1,7,672,58,8
GAZP,2,plot,2_14,1,7,672,59,10
GAZP,2,plot,2_14,1,7,672,60,12
GAZP,2,plot,2_14,1,7,672,61,14
GAZP,2,plot,2_14,1,7,672,62,16
GAZP,2,plot,2_14,1,8,673,54,0
GAZP,2,plot,2_14,1,8,673,55,2
GAZP,2,plot,2_14,1,8,673,56,4
GAZP,2,plot,2_14,1,8,673,57,6
GAZP,2,plot,2_14,1,8,673,58,8
GAZP,2,plot,2_14,1,8,673,59,10
GAZP,2,plot,2_14,1,8,673,60,12
GAZP,2,plot,2_14,1,8,673,61,14
GAZP,2,plot,2_14,1,8,673,62,16
GAZP,2,plot,2_15,1,1,674,63,0
GAZP,2,plot,2_15,1,2,675,63,0
GAZP,2,plot,2_15,1,3,676,63,0
GAZP,2,plot,2_15,1,4,677,63,0
GAZP,2,plot,2_15,1,5,678,63,0
GAZP,2,plot,2_15,1,6,679,63,0
GAZP,2,plot,2_15,1,7,680,63,0
GAZP,2,plot,2_15,1,8,681,63,0
GAZP,2,plot,2_16,1,1,682,64,0
GAZP,2,plot,2_16,1,2,683,64,0
GAZP,2,plot,2_16,1,3,684,64,0
GAZP,2,plot,2_16,1,4,685,64,0
GAZP,2,plot,2_16,1,5,686,64,0
GAZP,2,plot,2_16,1,6,687,64,0
GAZP,2,plot,2_16,1,7,688,64,0
GAZP,2,plot,2_16,1,8,689,64,0
GAZP,2,plot,2_17,1,1,690,65,0
GAZP,2,plot,2_17,1,1,690,66,2
GAZP,2,plot,2_17,1,1,690,67,4
GAZP,2,plot,2_17,1,1,690,68,6
GAZP,2,plot,2_17,1,1,690,69,8
GAZP,2,plot,2_17,1,1,690,70,10
GAZP,2,plot,2_17,1,1,690,71,12
GAZP,2,plot,2_17,1,1,690,72,14
GAZP,2,plot,2_17,1,1,690,73,16
GAZP,2,plot,2_17,1,2,691,65,0
GAZP,2,plot,2_17,1,2,691,66,2
GAZP,2,plot,2_17,1,2,691,67,4
GAZP,2,plot,2_17,1,2,691,68,6
GAZP,2,plot,2_17,1,2,691,69,8
GAZP,2,plot,2_17,1,2,691,70,10
GAZP,2,plot,2_17,1,2,691,71,12
GAZP,2,plot,2_17,1,2,691,72,14
GAZP,2,plot,2_17,1,2,691,73,16
GAZP,2,plot,2_17,1,3,692,65,0
GAZP,2,plot,2_17,1,3,692,66,2
GAZP,2,plot,2_17,1,3,692,67,4
GAZP,2,plot,2_17,1,3,692,68,6
GAZP,2,plot,2_17,1,3,692,69,8
GAZP,2,plot,2_17,1,3,692,70,10
GAZP,2,plot,2_17,1,3,692,71,12
GAZP,2,plot,2_17,1,3,692,72,14
GAZP,2,plot,2_17,1,3,692,73,16
GAZP,2,plot,2_17,1,4,693,65,0
GAZP,2,plot,2_17,1,4,693,66,2
GAZP,2,plot,2_17,1,4,693,67,4
GAZP,2,plot,2_17,1,4,693,68,6
GAZP,2,plot,2_17,1,4,693,69,8
