database,projectid,project_code,crosswalk_row_type,rule_source_table,source_tables,source_columns,source_speciesid,source_occurrences,historical_group,historical_order,historical_family,historical_genus,historical_species,historical_subtype,historical_subtype_name,historical_scientific_name,historical_lifeform,historical_seedmass,historical_pathway,historical_raunkiaer,historical_woodiness,historical_nfix,historical_lifespan,supabase_speciesid,supabase_species_code,supabase_group,supabase_order,supabase_family,supabase_genus,supabase_species,supabase_subtype,supabase_subtype_name,supabase_scientific_name,supabase_lifeform,mapping_status,taxonomic_change_type,source_concept_distinct,related_source_speciesid,reverse_mapping_rule,match_rate,match_unit,contextual_rule_validated,review_status,reviewed_by,review_date,decision_note,historical_artifact_file,historical_artifact_path,historical_artifact_sha256,historical_artifact_datestamp,harmonized_artifact_file,harmonized_artifact_sha256,global_crosswalk_file,global_crosswalk_sha256,generated_at_utc
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ach_mil,226,Angiosperms,Asterales,Asteraceae,Achillea,millefolium,,,Achillea millefolium,pforb,0.195733333333333,C3,Hemicryptophyte,non-woody,possible,perennial,387,Ach_mil,Angiosperms,Asterales,Asteraceae,Achillea,millefolium,,,Achillea millefolium,forb,accepted_as_mapped,none,FALSE,,supabase_speciesid,,,TRUE,human_reviewed,Nancy Shackelford,2026-08-14,Reviewed after reconstruction audit; current accepted mapping retained.,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ame_arb,4,Angiosperms,Rosales,Rosaceae,Amelanchier,arborea,,,Amelanchier arborea,shrub,5.65,C3,Phanerophyte,woody,,perennial,6282,Ame_arb,Angiosperms,Rosales,Rosaceae,Amelanchier,arborea,,,Amelanchier arborea,shrub,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Art_can,28,Angiosperms,Asterales,Asteraceae,Artemisia,cana,,,Artemisia cana,shrub,2.1364,,,woody,,perennial,457,Art_can,Angiosperms,Asterales,Asteraceae,Artemisia,cana,,,Artemisia cana,shrub,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates;vegresults,speciesid,Art_fri,542,Angiosperms,Asterales,Asteraceae,Artemisia,frigida,,,Artemisia frigida,pforb,0.08,,,woody,no,perennial,465,Art_fri,Angiosperms,Asterales,Asteraceae,Artemisia,frigida,,,Artemisia frigida,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Art_lud,107,Angiosperms,Asterales,Asteraceae,Artemisia,ludoviciana,,,Artemisia ludoviciana,pforb,0.11,,,semi-woody,no,perennial,469,Art_lud,Angiosperms,Asterales,Asteraceae,Artemisia,ludoviciana,,,Artemisia ludoviciana,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates;vegresults,speciesid,Art_tri3,714,Angiosperms,Asterales,Asteraceae,Artemisia,tridentata,subspecies,tridentata,Artemisia tridentata subsp. tridentata,shrub,0.259,C3,,woody,,,7171,Art_tri_sub_tri,Angiosperms,Asterales,Asteraceae,Artemisia,tridentata,subspecies,tridentata,Artemisia tridentata subsp. tridentata,shrub,corrected_taxon,database_taxon_corrected,TRUE,Art_tri,supabase_speciesid,,,TRUE,human_reviewed,Nancy Shackelford,2026-08-14,Historical source is Artemisia tridentata subsp. tridentata. Supabase was corrected on 2026-08-14 to Art_tri_sub_tri / speciesid 7171.,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Ast_cic,1,Angiosperms,Fabales,Fabaceae,Astragalus,cicer,,,Astragalus cicer,pforb,3.4,C3,Hemicryptophyte,non-woody,yes,perennial,2529,Ast_cic,Angiosperms,Fabales,Fabaceae,Astragalus,cicer,,,Astragalus cicer,forb,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates;vegresults,speciesid,Atr_can,694,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,canescens,,,Atriplex canescens,shrub,5.676,C4,,woody,yes,perennial,1686,Atr_can,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,canescens,,,Atriplex canescens,shrub,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates;vegresults,speciesid,Atr_con,512,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,confertifolia,,,Atriplex confertifolia,shrub,7.625,C4,,woody,no,perennial,1687,Atr_con,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,confertifolia,,,Atriplex confertifolia,shrub,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
GAZP,5,GAZP5,default,all_relevant_tables,trtrates,speciesid,Atr_gar,8,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,gardneri,,,Atriplex gardneri,shrub,7.356,C4,,woody,,perennial,1688,Atr_gar,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,gardneri,,,Atriplex gardneri,shrub,exact_current_taxon,none,FALSE,,supabase_speciesid,,,TRUE,automated_exact_match,,,,species_long_traits3-2021-October-26.xlsx,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,2021-10-26,GAZP5.xlsx,4c4634bfaae43f1bfade759285719dd6b3780006b8d0d67b1c6ec9d06bc52c9a,20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,2026-08-14T20:15:11Z
