database,projectid,project_code,crosswalk_row_type,rule_source_table,source_table,source_column,source_value_type,source_value,source_occurrences,speciesid,accepted_species_code,accepted_species_name,mapping_status,reverse_mapping_rule,match_rate,match_unit,contextual_rule_validated,global_source_code_count,global_source_codes,review_required,reviewed,decision_note
GAZP,8,GAZP8,default,all_relevant_tables,site,invasivespe,scientific_name,Bromus tectorum,1,5472,Bro_tec,Bromus tectorum,exact_current_taxon,speciesid,,,TRUE,,,FALSE,FALSE,Source name exactly matches the accepted GRP species name.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Ach_mil1,4,386,Ach_mil__var_occ,Achillea millefolium var. occidentalis,human_reviewed_infraspecific_taxon,speciesid,,,TRUE,2,Ach_mil_3;Ach_mil1,FALSE,TRUE,Reviewed for GAZP8; all Ach_mil1 records represent Achillea millefolium var. occidentalis.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Atr_can,3,1686,Atr_can,Atriplex canescens,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Cle_lut,3,1623,Cle_lut,Cleome lutea,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Des_pin,3,1522,Des_pin,Descurainia pinnata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Ely_ely,6,5572,Ely_ely__sub_ely,Elymus elymoides subsp. elymoides,human_reviewed_infraspecific_taxon,speciesid,,,TRUE,3,Ely_ely;Ely_ely1;Ely_ely2,FALSE,TRUE,Reviewed against the source PDF for GAZP8; Ely_ely represents Elymus elymoides subsp. elymoides.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Ely_smi,3,5582,Ely_smi,Elymus smithii,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Ely_tra,4,5585,Ely_tra,Elymus trachycaulus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Eri_spe,4,737,Eri_spe,Erigeron speciosus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Eri_umb,4,1969,Eri_umb,Eriogonum umbellatum,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Hel_ann,3,817,Hel_ann,Helianthus annuus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Het_vil,3,863,Het_vil,Heterotheca villosa,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Lin_lew,4,4275,Lin_lew,Linum lewisii,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Lin_per,4,4276,Lin_per,Linum perenne,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Mac_can,3,976,Mac_can,Machaeranthera canescens,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Men_asp,3,2111,Men_asp,Mentzelia aspera,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Ory_hym,7,5765,Ory_hym,Oryzopsis hymenoides,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Pen_com,3,3796,Pen_com,Penstemon comarrhenus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Pen_str,4,3812,Pen_str,Penstemon strictus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Pha_cre,3,1468,Pha_cre,Phacelia crenulata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Pla_pat,3,3833,Pla_pat,Plantago patagonica,human_reviewed_same_taxon,speciesid,,,TRUE,3,Pla_pat;Pla_pat1;Pla_pat2,FALSE,TRUE,Reviewed for GAZP8; the raw data identify Plantago patagonica without an infraspecific taxon.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Pse_rup,5,5808,Pas_smi,Pascopyrum smithii,human_reviewed_source_correction,speciesid,,,TRUE,2,Pse_rup;Pse_rup1,FALSE,TRUE,"Corrected for GAZP8; Pse_rup was derived incorrectly from raw code PASM, which the source workbook and PDF identify as Pascopyrum smithii."
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Sph_coc,3,4575,Sph_coc,Sphaeralcea coccinea,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,8,GAZP8,default,all_relevant_tables,trtrates,speciesid,species_code,Sph_par,3,4580,Sph_par,Sphaeralcea parvifolia,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
