ID,Spp,DormTreat,Plot,Rep,RepLine,AssignedLineNumber,PlotLineCODE,Block,GM,Water,EmergN,EmergA,EmergD,EmergTOT,Bio,TotalN,NoEmbryoDevN,GermN,ShrivelledGermN,NoEmbryoRemovedN,FungalN,PredatedN,ShrivelledN,StillViableN,DataNotRequiredButCollected
1_16,T_pun,CleanToSeed,29,1,1,1,29_1,E4,G1,W1,500,152,9,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,T_wis,CleanToSeed,29,1,2,2,29_2,E4,G1,W1,800,136,12,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,A_ina,HW,29,1,3,3,29_3,E4,G1,W1,500,360,22,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,I_mon,HW,29,1,4,4,29_4,E4,G1,W1,500,99,66,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,A_hil,HW,29,1,5,5,29_5,E4,G1,W1,450,257,13,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,I_mon,HW,29,2,1,6,29_6,E4,G1,W1,500,119,36,155,1.9867,35,0,7,3,0,0,0,3,22,
1_16,T_pun,CleanToSeed,29,2,2,7,29_7,E4,G1,W1,500,179,7,186,3.5746,39,0,7,0,0,13,0,9,10,
1_16,A_hil,HW,29,2,3,8,29_8,E4,G1,W1,450,202,12,214,3.2916,35,0,11,6,0,2,0,12,4,
1_16,T_wis,CleanToSeed,29,2,4,9,29_9,E4,G1,W1,800,134,9,143,2.5151,40,0,7,0,0,15,0,8,10,
1_16,A_ina,HW,29,2,5,10,29_10,E4,G1,W1,500,349,16,365,21.7593,40,0,37,0,0,1,0,0,2,
1_16,A_hil,HW,29,3,1,11,29_11,E4,G1,W1,450,201,23,224,2.5978,38,0,21,4,0,0,0,8,5,
1_16,I_mon,HW,29,3,2,12,29_12,E4,G1,W1,500,116,33,149,1.7246,37,0,6,9,0,1,0,0,21,
1_16,T_pun,CleanToSeed,29,3,3,13,29_13,E4,G1,W1,500,128,4,132,1.5579,40,0,7,0,1,20,0,6,6,
1_16,T_wis,CleanToSeed,29,3,4,14,29_14,E4,G1,W1,800,82,14,96,1.0161,39,0,13,0,0,10,0,3,13,
1_16,A_ina,HW,29,3,5,15,29_15,E4,G1,W1,500,392,20,412,22.796,40,0,37,0,0,0,0,0,3,
1_16,T_pun,CleanToSeed,29,4,1,16,29_16,E4,G1,W1,500,141,10,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,I_mon,HW,29,4,2,17,29_17,E4,G1,W1,500,103,30,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,T_wis,CleanToSeed,29,4,3,18,29_18,E4,G1,W1,800,78,7,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,A_hil,HW,29,4,4,19,29_19,E4,G1,W1,450,247,19,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,A_ina,HW,29,4,5,20,29_20,E4,G1,W1,500,412,13,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,A_hil,HW,34,1,1,1,34_1,B1,G1,W1,450,245,16,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extra
1_16,T_wis,CleanToSeed,34,1,2,2,34_2,B1,G1,W1,800,191,3,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,I_mon,HW,34,1,3,3,34_3,B1,G1,W1,500,161,2,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,A_ina,HW,34,1,4,4,34_4,B1,G1,W1,500,396,6,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_pun,CleanToSeed,34,1,5,5,34_5,B1,G1,W1,500,178,4,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_wis,CleanToSeed,34,2,1,6,34_6,B1,G1,W1,800,174,3,177,2.8774,40,0,8,0,0,10,0,5,17,
1_16,T_pun,CleanToSeed,34,2,2,7,34_7,B1,G1,W1,500,198,2,200,2.6484,40,0,13,0,1,14,0,3,9,
1_16,I_mon,HW,34,2,3,8,34_8,B1,G1,W1,500,112,16,128,2.0366,33,0,8,5,0,0,0,0,20,
1_16,A_hil,HW,34,2,4,9,34_9,B1,G1,W1,450,187,14,201,2.6577,38,0,18,7,0,3,0,5,5,
1_16,A_ina,HW,34,2,5,10,34_10,B1,G1,W1,500,400,15,415,23.108,40,0,36,3,0,0,0,0,1,
1_16,T_wis,CleanToSeed,34,3,1,11,34_11,B1,G1,W1,800,116,2,118,1.6012,40,0,9,0,0,14,0,3,14,
1_16,A_hil,HW,34,3,2,12,34_12,B1,G1,W1,450,227,16,243,3.0265,39,0,20,8,0,1,0,8,2,
1_16,I_mon,HW,34,3,3,13,34_13,B1,G1,W1,500,106,30,136,1.6644,32,0,3,8,0,0,0,1,20,
1_16,A_ina,HW,34,3,4,14,34_14,B1,G1,W1,500,404,18,422,24.0369,40,0,31,2,0,1,0,3,3,
1_16,T_pun,CleanToSeed,34,3,5,15,34_15,B1,G1,W1,500,143,5,148,1.5728,40,0,9,0,0,12,0,4,15,
1_16,A_hil,HW,34,4,1,16,34_16,B1,G1,W1,450,298,25,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_wis,CleanToSeed,34,4,2,17,34_17,B1,G1,W1,800,114,3,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_pun,CleanToSeed,34,4,3,18,34_18,B1,G1,W1,500,176,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,A_ina,HW,34,4,4,19,34_19,B1,G1,W1,500,426,9,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,I_mon,HW,34,4,5,20,34_20,B1,G1,W1,500,132,5,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,A_hil,HW,47,1,1,1,47_1,H2,G1,W1,450,286,2,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_wis,CleanToSeed,47,1,2,2,47_2,H2,G1,W1,800,142,3,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,T_pun,CleanToSeed,47,1,3,3,47_3,H2,G1,W1,500,176,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,A_ina,HW,47,1,4,4,47_4,H2,G1,W1,500,432,12,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,I_mon,HW,47,1,5,5,47_5,H2,G1,W1,500,118,20,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1_16,I_mon,HW,47,2,1,6,47_6,H2,G1,W1,500,150,15,165,2.2288,27,0,2,2,0,0,0,3,20,
1_16,T_pun,CleanToSeed,47,2,2,7,47_7,H2,G1,W1,500,160,1,161,1.7739,28,0,6,0,0,10,0,3,9,
1_16,T_wis,CleanToSeed,47,2,3,8,47_8,H2,G1,W1,800,110,6,116,1.5741,40,0,11,0,0,13,0,2,14,
1_16,A_ina,HW,47,2,4,9,47_9,H2,G1,W1,500,413,6,419,23.2458,40,0,23,8,0,4,0,0,5,
1_16,A_hil,HW,47,2,5,10,47_10,H2,G1,W1,450,208,4,212,2.5631,39,0,23,6,0,2,0,5,3,
