ID,Rep,Seeded,Trt,Time,Date,Site,Block,Fuel_Break_Desc,Her_Grazed,Grazed,Spatial_arrangement,Seed_Rate,Water,Species,Coating,Distance_Along_Transect_m,Seeded_Seedlings,,,,,,
11_1,1,944,1,2,6/1/2016,five,two,mix high,Fall,Grazed,mix,high,no water,na,C,54,4,,,,,,
11_1,1,944,1,2,6/1/2016,five,two,mix high,Fall,Grazed,mix,high,no water,na,C,46,8,,,,,,
11_1,2,944,1,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,C,50,2,,,,,,
11_1,2,944,1,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,C,54,6,,,,,,
11_1,2,944,1,2,5/18/2016,one,one,mix high,Fall,Grazed,mix,high,no water,na,C,46,18,,,,,,
11_1,3,944,1,2,6/3/2016,seven,three,mix high,Fall,Grazed,mix,high,no water,na,C,14,1,,,,,,
11_1,3,944,1,2,6/3/2016,seven,three,mix high,Fall,Grazed,mix,high,no water,na,C,6,5,,,,,,
11_1,4,472,1,2,6/1/2016,five,two,mix low,Fall,Grazed,mix,low,no water,na,C,14,4,,,,,,
11_1,4,472,1,2,6/1/2016,five,two,mix low,Fall,Grazed,mix,low,no water,na,C,10,8,,,,,,
11_1,5,472,1,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,C,50,0,,,,,,
11_1,5,472,1,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,C,54,0,,,,,,
11_1,5,472,1,2,5/19/2016,one,one,mix low,Fall,Grazed,mix,low,no water,na,C,46,19,,,,,,
11_1,6,472,1,2,6/3/2016,seven,three,mix low,Fall,Grazed,mix,low,no water,na,C,54,0,,,,,,
11_1,6,472,1,2,6/3/2016,seven,three,mix low,Fall,Grazed,mix,low,no water,na,C,45,1,,,,,,
11_2,1,944,2,2,6/1/2016,five,two,mix high water,Fall,Grazed,mix,high,water,na,C,14,0,,,,,,
11_2,1,944,2,2,6/1/2016,five,two,mix high water,Fall,Grazed,mix,high,water,na,C,10,2,,,,,,
11_2,2,944,2,2,6/3/2016,seven,three,mix high water,Fall,Grazed,mix,high,water,na,C,54,0,,,,,,
11_2,2,944,2,2,6/3/2016,seven,three,mix high water,Fall,Grazed,mix,high,water,na,C,46,2,,,,,,
11_2,3,472,2,2,6/1/2016,five,two,mix low water,Fall,Grazed,mix,low,water,na,C,54,0,,,,,,
11_2,3,472,2,2,6/1/2016,five,two,mix low water,Fall,Grazed,mix,low,water,na,C,50,9,,,,,,
11_2,4,472,2,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,C,46,0,,,,,,
11_2,4,472,2,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,C,54,5,,,,,,
11_2,4,472,2,2,5/18/2016,one,one,mix low water,Fall,Grazed,mix,low,water,na,C,50,14,,,,,,
11_2,5,472,2,2,6/3/2016,seven,three,mix low water,Fall,Grazed,mix,low,water,na,C,46,,,,,,,
11_2,5,472,2,2,6/3/2016,seven,three,mix low water,Fall,Grazed,mix,low,water,na,C,54,0,,,,,,
11_1,7,944,1,2,6/2/2016,four,two,mix high,Spring,Grazed,mix,high,no water,na,C,54,5,,,,,,
11_1,7,944,1,2,6/2/2016,four,two,mix high,Spring,Grazed,mix,high,no water,na,C,46,11,,,,,,
11_1,8,944,1,2,6/4/2016,nine,three,mix high,Spring,Grazed,mix,high,no water,na,C,14,1,,,,,,
11_1,8,944,1,2,6/4/2016,nine,three,mix high,Spring,Grazed,mix,high,no water,na,C,6,6,,,,,,
11_1,9,944,1,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,C,14,3,,,,,,
11_1,9,944,1,2,5/21/2016,two,one,mix high,Spring,Grazed,mix,high,no water,na,C,6,10,,,,,,
