ID,Rep,Date,Site,Block,Grazed,Spatial_arrangement,Seed_Rate,Species,Coating,Seeded_Seedlings,,Fuelbreak_Trt,Fuelbreak_Trt2,Fuel_Break_Desc,Water
11_1,1,6/1/2016,five,two,Fall,mix,high,na,C,4,,grass,grass-high,mix high,no water
11_1,2,6/1/2016,five,two,Fall,mix,high,na,C,8,,grass,grass-high,mix high,no water
11_1,3,6/1/2016,five,two,Fall,mix,high,na,C,0,,grass,grass-high,mix high water,water
11_1,4,6/1/2016,five,two,Fall,mix,high,na,C,2,,grass,grass-high,mix high water,water
11_1,5,5/18/2016,one,one,Fall,mix,high,na,C,2,,grass,grass-high,mix high,no water
11_1,6,5/18/2016,one,one,Fall,mix,high,na,C,6,,grass,grass-high,mix high,no water
11_1,7,5/18/2016,one,one,Fall,mix,high,na,C,18,,grass,grass-high,mix high,no water
11_1,8,6/3/2016,seven,three,Fall,mix,high,na,C,1,,grass,grass-high,mix high,no water
11_1,9,6/3/2016,seven,three,Fall,mix,high,na,C,5,,grass,grass-high,mix high,no water
11_1,10,6/3/2016,seven,three,Fall,mix,high,na,C,0,,grass,grass-high,mix high water,water
11_1,11,6/3/2016,seven,three,Fall,mix,high,na,C,2,,grass,grass-high,mix high water,water
11_2,1,6/1/2016,five,two,Fall,mix,high,na,UC,0,,grass,grass-high,mix high,no water
11_2,2,6/1/2016,five,two,Fall,mix,high,na,UC,3,,grass,grass-high,mix high,no water
11_2,3,6/1/2016,five,two,Fall,mix,high,na,UC,2,,grass,grass-high,mix high water,water
11_2,4,6/1/2016,five,two,Fall,mix,high,na,UC,4,,grass,grass-high,mix high water,water
11_2,5,5/18/2016,one,one,Fall,mix,high,na,UC,2,,grass,grass-high,mix high,no water
11_2,6,5/18/2016,one,one,Fall,mix,high,na,UC,12,,grass,grass-high,mix high,no water
11_2,7,5/18/2016,one,one,Fall,mix,high,na,UC,13,,grass,grass-high,mix high,no water
11_2,8,6/3/2016,seven,three,Fall,mix,high,na,UC,0,,grass,grass-high,mix high,no water
11_2,9,6/3/2016,seven,three,Fall,mix,high,na,UC,1,,grass,grass-high,mix high,no water
11_2,10,6/3/2016,seven,three,Fall,mix,high,na,UC,5,,grass,grass-high,mix high water,water
11_2,11,6/3/2016,seven,three,Fall,mix,high,na,UC,7,,grass,grass-high,mix high water,water
,,6/1/2016,five,two,Fall,mono,high,POFE,C,0,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,ELEL,C,0,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,VUMY,C,1,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,POSE,C,5,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,ELTR,C,24,,grass,grass-high,mono high,no water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,VUMY,C,2,,grass,grass-high,mono high water,water
,,6/2/2016,five,two,Fall,mono,high,ELEL,C,2,,grass,grass-high,mono high water,water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,ELTR,C,3,,grass,grass-high,mono high water,water
,,6/2/2016,five,two,Fall,mono,high,POFE,C,3,,grass,grass-high,mono high water,water
,,6/2/2016,five,two,Fall,mono,high,POSE,C,6,,grass,grass-high,mono high water,water
,,5/19/2016,one,one,Fall,mono,high,POSE,C,0,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,VUMY,C,0,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,ELEL,C,1,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,POFE,C,1,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,ELTR,C,11,,grass,grass-high,mono high,no water
,,5/17/2016,one,one,Fall,mono,high,POFE,C,0,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,VUMY,C,3,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,ELTR,C,4,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,ELEL,C,5,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,POSE,C,9,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,VUMY,C,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POSE,C,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POFE,C,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,ELEL,C,0,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,ELTR,C,4,,grass,grass-high,mono high,no water
,,6/3/2016,seven,three,Fall,mono,high,POFE,C,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,ELTR,C,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,POSE,C,0,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,VUMY,C,1,,grass,grass-high,mono high water,water
,,6/3/2016,seven,three,Fall,mono,high,ELEL,C,0,,grass,grass-high,mono high water,water
,,6/1/2016,five,two,Fall,mono,high,VUMY,UC,0,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,POSE,UC,4,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,POFE,UC,4,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,ELEL,UC,6,,grass,grass-high,mono high,no water
,,6/1/2016,five,two,Fall,mono,high,ELTR,UC,8,,grass,grass-high,mono high,no water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,POFE,UC,1,,grass,grass-high,mono high water,water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,ELEL,UC,3,,grass,grass-high,mono high water,water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,VUMY,UC,6,,grass,grass-high,mono high water,water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,ELTR,UC,9,,grass,grass-high,mono high water,water
,,6/1/2016 & 6/2/2016,five,two,Fall,mono,high,POSE,UC,17,,grass,grass-high,mono high water,water
,,5/19/2016,one,one,Fall,mono,high,VUMY,UC,0,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,ELEL,UC,4,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,POSE,UC,4,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,POFE,UC,9,,grass,grass-high,mono high,no water
,,5/19/2016,one,one,Fall,mono,high,ELTR,UC,21,,grass,grass-high,mono high,no water
,,5/17/2016,one,one,Fall,mono,high,ELEL,UC,0,,grass,grass-high,mono high water,water
,,5/17/2016,one,one,Fall,mono,high,VUMY,UC,0,,grass,grass-high,mono high water,water
