"ID","Rep","Time","Code","Seed_Rate","Area","Density","Spp","Genus","Species","Lifeform","Seeded","Rate","Seeds"
"11_1",1,2,"na","high",2,12,"na","na","na","na",472,2,944
"11_1",2,2,"na","high",3,26,"na","na","na","na",472,2,944
"11_1",3,2,"na","high",2,6,"na","na","na","na",472,2,944
"11_1",4,2,"na","low",2,12,"na","na","na","na",472,1,472
"11_1",5,2,"na","low",3,19,"na","na","na","na",472,1,472
"11_1",6,2,"na","low",2,1,"na","na","na","na",472,1,472
"11_1",7,2,"na","high",2,16,"na","na","na","na",472,2,944
"11_1",8,2,"na","high",2,7,"na","na","na","na",472,2,944
"11_1",9,2,"na","high",3,26,"na","na","na","na",472,2,944
"11_1",10,2,"na","low",2,5,"na","na","na","na",472,1,472
"11_1",11,2,"na","low",2,2,"na","na","na","na",472,1,472
"11_1",12,2,"na","low",3,11,"na","na","na","na",472,1,472
"11_10",1,2,"ELEL","high",1,2,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_10",1,2,"ELTR","high",1,3,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",1,2,"POFE","high",1,3,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",1,2,"POSE","high",1,6,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",1,2,"VUMY","high",1,2,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",2,2,"ELEL","high",1,5,"E_ely","Elymus","elymoides","Pgrass",103,2,206
"11_10",2,2,"ELTR","high",1,4,"E_tra","Elymus","trachycaulus","Pgrass",121,2,242
"11_10",2,2,"POFE","high",1,0,"P_fen","Poa","fendleriana","Pgrass",87,2,174
"11_10",2,2,"POSE","high",1,9,"P_sec","Poa","secunda","Pgrass",112,2,224
"11_10",2,2,"VUMY","high",1,3,"V_mic","Vulpia","microstachys","Agrass",49,2,98
"11_10",3,2,"ELEL","high",1,0,"E_ely","Elymus","elymoides","Pgrass",103,2,206
