STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050301,9999,0,0,2,12,9,0,12,9,0,12,9,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,41,12,9,76,12,9,111,12,9,127,12,9,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050401,9999,0,0,5,0,0,4,0,0,2,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,302,0,0,203,12,12,943,0,0,274,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050501,9999,0,0,8,0,0,2,0,0,2,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,640,0,0,13,11,11,1451,0,0,43,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050601,9999,0,0,8,0,0,2,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,185,0,0,9999,0,0,694,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050701,9999,0,0,2,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,185,0,0,9999,0,0,282,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050801,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,28,0,0,9999,0,0,115,0,0,0,18,8,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20050901,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,102,0,0,9999,0,0,196,0,0,0,20,10,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20051001,9999,0,0,4,0,0,1,0,0,1,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,297,0,0,165,4,4,609,0,0,168,13,7,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20051101,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,61,0,0,64,24,14,192,0,0,126,9,8,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20051201,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,36,0,0,102,3,3,96,0,0,80,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060101,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,33,0,0,38,27,27,36,0,0,38,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060201,9999,0,0,1,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,51,0,0,76,20,9,125,0,0,154,1,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060301,9999,0,0,3,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,56,0,0,51,16,9,206,0,0,140,1,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060401,9999,0,0,5,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,112,0,0,127,22,17,416,0,0,160,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060501,9999,0,0,7,0,0,1,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,132,0,0,9999,0,0,505,0,0,0,1,1,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060601,9999,0,0,2,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,99,0,0,9999,0,0,213,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
GHCND:US1WYSH0009,WYARNO 9 NNE WY US,1125,44.9293,-106.6784,20060701,9999,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,10,0,0,9999,0,0,10,0,0,0,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0,9999,0,0
