Plot,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,A_can,D_his,E_cal,E_mic,H_ham,H_dis,I_spp,L_ser,L_gna,P_inc,P_con,P_div,P_glo,Pt_inc,S_rug,T_fru,T_his,W_muc
LF1_ALIVE1,1,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE1,1,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
LF1_ALIVE1,1,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
LF1_ALIVE1,1,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE1,1,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1
LF1_ALIVE1,1,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
LF1_ALIVE10,10,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE10,10,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LF1_ALIVE10,10,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE10,10,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE10,10,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LF1_ALIVE10,10,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
LF1_ALIVE11,11,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE11,11,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE11,11,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE11,11,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE11,11,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE11,11,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE12,12,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE12,12,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF1_ALIVE12,12,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0
LF1_ALIVE12,12,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF1_ALIVE12,12,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
LF1_ALIVE12,12,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1
LF1_ALIVE13,13,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
LF1_ALIVE13,13,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LF1_ALIVE13,13,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,1
LF1_ALIVE13,13,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE13,13,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
LF1_ALIVE13,13,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1
LF1_ALIVE14,14,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE14,14,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LF1_ALIVE14,14,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,2,0,0,0,0,8,0,2,0,0,0,0,0,0,0
LF1_ALIVE14,14,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE14,14,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
LF1_ALIVE14,14,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,3,0,0,0,0,8,0,2,0,0,0,0,0,0,0
LF1_ALIVE15,15,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
LF1_ALIVE15,15,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF1_ALIVE2,2,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
