Plot,,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,Aiz_can,Cha_inv,Che_den,Con_elo,Dro_his,Eri_mic,Gal_sar,Her_dis,Hip_ali,Hyp_sal,Leb_ser,Lei_sch,Man_alb,Pen_inc,Pte_div,G_Rus_spp,Sti_cil,Tet_fru,Tri_opp,Roe_mor
TR1_ALIVE1,6_22,1,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TR1_ALIVE1,6_22,1,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE1,6_22,1,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE1,6_22,1,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE1,6_22,1,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE1,6_22,1,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE10,6_22,10,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE11,6_22,11,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE12,6_22,12,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE12,6_22,12,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE12,6_22,12,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE12,6_22,12,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
