table_schema,table_name,column_name,ordinal_position,data_type,udt_name,is_nullable,column_default,is_identity,identity_generation
grp,area,areaid,1,bigint,int8,NO,,NO,
grp,area,siteid,2,integer,int4,YES,,NO,
grp,area,type,3,text,text,YES,,NO,
grp,area,size,4,numeric,numeric,YES,,NO,
grp,area,units,5,text,text,YES,,NO,
grp,area,restoration_start_year,6,numeric,numeric,YES,,NO,
grp,area,restoration_type,7,text,text,YES,,NO,
grp,area,disturbance_end_year,8,numeric,numeric,YES,,NO,
grp,area,parentid,9,integer,int4,YES,,NO,
grp,area_treatment,database,1,text,text,NO,,NO,
grp,area_treatment,projectid,2,integer,int4,NO,,NO,
grp,area_treatment,areaid,3,integer,int4,NO,,NO,
grp,area_treatment,treatmentid,4,integer,int4,NO,,NO,
grp,author_contributor,author_contributorid,1,integer,int4,NO,,NO,
grp,author_contributor,given_name,2,text,text,YES,,NO,
grp,author_contributor,surname,3,text,text,YES,,NO,
grp,author_contributor,email,4,text,text,YES,,NO,
grp,cultivar,cultivarid,1,integer,int4,NO,,NO,
grp,cultivar,speciesid,2,integer,int4,NO,,NO,
grp,cultivar,name,3,text,text,YES,,NO,
grp,cultivar,origin,4,text,text,YES,,NO,
grp,cultivar,latitude,5,numeric,numeric,YES,,NO,
grp,cultivar,longitude,6,numeric,numeric,YES,,NO,
grp,location,locationid,1,integer,int4,NO,,NO,
grp,location,continent,2,text,text,YES,,NO,
grp,location,country,3,text,text,YES,,NO,
grp,location,state,4,text,text,YES,,NO,
grp,paper,paperid,1,integer,int4,NO,,NO,
grp,paper,publication_year,2,integer,int4,YES,,NO,
grp,paper,publication_title,3,text,text,YES,,NO,
grp,paper,publication_journal,4,text,text,YES,,NO,
grp,paper,publication_doi,5,text,text,YES,,NO,
grp,paper,publication_url,6,text,text,YES,,NO,
grp,paper_author,paperid,1,integer,int4,NO,,NO,
grp,paper_author,author_contributorid,2,integer,int4,NO,,NO,
grp,paper_author,is_corresponding_author,3,boolean,bool,YES,,NO,
grp,project,database,1,text,text,NO,,NO,
grp,project,projectid,2,integer,int4,NO,,NO,
grp,project,type,3,text,text,YES,,NO,
grp,project,community,4,text,text,YES,,NO,
grp,project,reference,5,text,text,YES,,NO,
grp,project,notes,6,text,text,YES,,NO,
grp,project,date_received,7,date,date,YES,,NO,
grp,project_contributor,database,1,text,text,NO,,NO,
grp,project_contributor,projectid,2,integer,int4,NO,,NO,
grp,project_contributor,author_contributorid,3,integer,int4,NO,,NO,
grp,project_data_accessibility,data_accessibilityid,1,integer,int4,NO,,YES,BY DEFAULT
grp,project_data_accessibility,database,2,text,text,NO,,NO,
grp,project_data_accessibility,projectid,3,integer,int4,NO,,NO,
grp,project_data_accessibility,availability,4,text,text,YES,,NO,
grp,project_data_accessibility,data_citation,5,text,text,YES,,NO,
grp,project_data_accessibility,data_doi,6,text,text,YES,,NO,
grp,project_data_accessibility,data_url,7,text,text,YES,,NO,
grp,project_data_accessibility,creativecommons_license,8,text,text,YES,,NO,
grp,project_data_accessibility,use_conditions,9,text,text,YES,,NO,
grp,project_data_accessibility,date_received,10,date,date,YES,,NO,
grp,project_data_accessibility,data_accessibility_notes,11,text,text,YES,,NO,
grp,project_location,database,1,text,text,NO,,NO,
grp,project_location,projectid,2,integer,int4,NO,,NO,
grp,project_location,locationid,3,integer,int4,NO,,NO,
grp,project_paper,database,1,text,text,NO,,NO,
grp,project_paper,projectid,2,integer,int4,NO,,NO,
grp,project_paper,paperid,3,integer,int4,NO,,NO,
grp,project_paper,notes,4,text,text,YES,,NO,
grp,project_site,database,1,text,text,NO,,NO,
grp,project_site,projectid,2,integer,int4,NO,,NO,
grp,project_site,siteid,3,integer,int4,NO,,NO,
grp,project_vegmetric,database,1,text,text,NO,,NO,
grp,project_vegmetric,projectid,2,integer,int4,NO,,NO,
grp,project_vegmetric,type,3,text,text,NO,,NO,
grp,seed_mix,seed_mixid,1,integer,int4,NO,,NO,
grp,seed_mix,treatmentid,2,integer,int4,NO,,NO,
grp,seed_mix,mix_name,3,text,text,YES,,NO,
grp,seed_mix,mix_composition_status,4,text,text,YES,,NO,
grp,seed_mix,treated_richness,5,text,text,YES,,NO,
grp,seed_mix,notes,6,text,text,YES,,NO,
grp,seeding,seedingid,1,integer,int4,NO,,NO,
grp,seeding,treatmentid,2,integer,int4,NO,,NO,
grp,seeding,mix,3,text,text,YES,,NO,
grp,seeding,speciesid,4,integer,int4,YES,,NO,
grp,seeding,cultivarid,5,integer,int4,YES,,NO,
grp,seeding,type,6,text,text,YES,,NO,
grp,seeding,rate,7,numeric,numeric,YES,,NO,
grp,seeding,unit,8,text,text,YES,,NO,
grp,seeding,viability,9,text,text,YES,,NO,
grp,seeding,origin,10,text,text,YES,,NO,
grp,seeding,source,11,text,text,YES,,NO,
grp,seeding,seed_distance,12,text,text,YES,,NO,
grp,seeding,seed_mixid,13,integer,int4,NO,,NO,
grp,seeding,notes,14,text,text,YES,,NO,
grp,seeding_pretreatment,seedingid,1,integer,int4,NO,,NO,
grp,seeding_pretreatment,type,2,text,text,NO,,NO,
grp,site,siteid,1,integer,int4,NO,,NO,
grp,site,name,2,text,text,YES,,NO,
grp,site,latitude,3,numeric,numeric,YES,,NO,
grp,site,longitude,4,numeric,numeric,YES,,NO,
grp,site,aridity,5,numeric,numeric,YES,,NO,
grp,site,annual_temp,6,numeric,numeric,YES,,NO,
grp,site,annual_precip,7,smallint,int2,YES,,NO,
grp,site_classification,siteid,1,integer,int4,NO,,NO,
grp,site_classification,classificationid,2,text,text,NO,,NO,
grp,site_disturbance,siteid,1,integer,int4,NO,,NO,
grp,site_disturbance,type,2,text,text,NO,,NO,
grp,site_invasive,siteid,1,integer,int4,NO,,NO,
grp,site_invasive,speciesid,2,integer,int4,NO,,NO,
grp,site_ref_ecosystem,siteid,1,integer,int4,NO,,NO,
grp,site_ref_ecosystem,description,2,text,text,NO,,NO,
grp,site_soil,soilid,1,integer,int4,NO,nextval('grp.site_soil_soilid_seq'::regclass),NO,
grp,site_soil,siteid,2,integer,int4,NO,,NO,
grp,site_soil,sand,3,numeric,numeric,YES,,NO,
grp,site_soil,silt,4,numeric,numeric,YES,,NO,
grp,site_soil,clay,5,numeric,numeric,YES,,NO,
grp,site_soil,description,6,text,text,YES,,NO,
grp,site_soil,depth,7,text,text,YES,,NO,
grp,species,speciesid,1,integer,int4,NO,,YES,BY DEFAULT
grp,species,species_code,2,text,text,YES,,NO,
grp,species,group,3,text,text,YES,,NO,
grp,species,order,4,text,text,YES,,NO,
grp,species,family,5,text,text,YES,,NO,
grp,species,genus,6,text,text,YES,,NO,
grp,species,species,7,text,text,YES,,NO,
grp,species,subtype,8,text,text,YES,,NO,
grp,species,subtype_name,9,text,text,YES,,NO,
grp,species,lifeform,10,text,text,YES,,NO,
grp,species_names,speciesid,1,integer,int4,NO,,NO,
grp,species_names,species_code,2,text,text,NO,,NO,
grp,species_names,name,3,text,text,NO,,NO,
grp,treatment,treatmentid,1,integer,int4,NO,,NO,
grp,treatment,year,2,numeric,numeric,YES,,NO,
grp,treatment,month,3,numeric,numeric,YES,,NO,
grp,treatment,day,4,numeric,numeric,YES,,NO,
grp,treatment,weeks_since_restoration,5,smallint,int2,YES,,NO,
grp,treatment,other_treatment,6,text,text,YES,,NO,
grp,treatment,shelter,7,text,text,YES,,NO,
grp,treatment,grading,8,text,text,YES,,NO,
grp,treatment,maintenance_fire,9,boolean,bool,YES,,NO,
grp,treatment,notes,10,text,text,YES,,NO,
grp,treatment_application,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_application,type,2,text,text,NO,,NO,
grp,treatment_cover_crop,covercropid,1,integer,int4,NO,,YES,ALWAYS
grp,treatment_cover_crop,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_cover_crop,speciesid,3,integer,int4,NO,,NO,
grp,treatment_cover_crop,amount,4,numeric,numeric,YES,,NO,
grp,treatment_cover_crop,units,5,text,text,YES,,NO,
grp,treatment_cover_crop,notes,6,text,text,YES,,NO,
grp,treatment_erosion,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_erosion,type,2,text,text,NO,,NO,
grp,treatment_fertilization,treatment_fertilizationid,1,integer,int4,NO,nextval('grp.treatment_fertilization_treatment_fertilizationid_seq'::regclass),NO,
grp,treatment_fertilization,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_fertilization,type,3,text,text,NO,,NO,
grp,treatment_fertilization,amount,4,numeric,numeric,YES,,NO,
grp,treatment_fertilization,units,5,text,text,YES,,NO,
grp,treatment_fertilization,notes,6,text,text,YES,,NO,
grp,treatment_grazer,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_grazer,type,2,text,text,NO,,NO,
grp,treatment_grazer,notes,3,text,text,YES,,NO,
grp,treatment_herbicide,treatment_herbicideid,1,integer,int4,NO,nextval('grp.treatment_herbicide_treatment_herbicideid_seq'::regclass),NO,
grp,treatment_herbicide,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_herbicide,type,3,text,text,YES,,NO,
grp,treatment_herbicide,chemical,4,text,text,YES,,NO,
grp,treatment_herbicide,amount,5,numeric,numeric,YES,,NO,
grp,treatment_herbicide,units,6,text,text,YES,,NO,
grp,treatment_invasion,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_invasion,type,2,text,text,NO,,NO,
grp,treatment_irrigation,treatment_irrigationid,1,integer,int4,NO,nextval('grp.treatment_irrigation_treatment_irrigationid_seq'::regclass),NO,
grp,treatment_irrigation,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_irrigation,type,3,text,text,NO,,NO,
grp,treatment_irrigation,amount,4,numeric,numeric,YES,,NO,
grp,treatment_irrigation,units,5,text,text,YES,,NO,
grp,treatment_irrigation,notes,6,text,text,YES,,NO,
grp,treatment_material,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_material,type,2,text,text,NO,,NO,
grp,treatment_medium,treatment_mediumid,1,integer,int4,NO,nextval('grp.treatment_medium_treatment_mediumid_seq'::regclass),NO,
grp,treatment_medium,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_medium,type,3,text,text,YES,,NO,
grp,treatment_medium,top_soil_age,4,numeric,numeric,YES,,NO,
grp,treatment_medium,notes,5,text,text,YES,,NO,
grp,treatment_medium,growth_medium_depth,6,numeric,numeric,YES,,NO,
grp,treatment_medium,growth_medium_depth_units,7,text,text,YES,,NO,
grp,treatment_mowing,mowingid,1,integer,int4,NO,,YES,ALWAYS
grp,treatment_mowing,treatmentid,2,integer,int4,NO,,NO,
grp,treatment_mowing,type,3,text,text,NO,,NO,
grp,treatment_mowing,height_class,4,text,text,YES,,NO,
grp,treatment_mowing,amount,5,numeric,numeric,YES,,NO,
grp,treatment_mowing,units,6,text,text,YES,,NO,
grp,treatment_mowing,notes,7,text,text,YES,,NO,
grp,treatment_prep,treatmentid,1,integer,int4,NO,,NO,
grp,treatment_prep,type,2,text,text,NO,,NO,
grp,veg_result,veg_resultid,1,integer,int4,NO,nextval('grp.veg_result_vegresultid_seq'::regclass),NO,
grp,veg_result,areaid,2,integer,int4,NO,,NO,
grp,veg_result,time_since_restoration,3,smallint,int2,YES,,NO,
grp,veg_result,year,4,numeric,numeric,YES,,NO,
grp,veg_result,month,5,numeric,numeric,YES,,NO,
grp,veg_result,day,6,numeric,numeric,YES,,NO,
grp,veg_result,speciesid,7,integer,int4,YES,,NO,
grp,veg_result,cultivarid,8,integer,int4,YES,,NO,
grp,veg_result,individualid,9,integer,int4,YES,,NO,
grp,veg_result,origin,10,text,text,YES,,NO,
grp,veg_result,level,11,text,text,YES,,NO,
grp,veg_result,response,12,numeric,numeric,YES,,NO,
grp,veg_result,metric,13,text,text,YES,,NO,
grp,veg_result,notes,14,text,text,YES,,NO,
