areaid,siteid,type,size,units,restoration_start_year,restoration_type,disturbance_end_year,parentid
1,176,plot,8,m2,2016,seeding,,
2,176,plot,8,m2,2016,seeding,,
3,176,plot,8,m2,2016,seeding,,
4,176,plot,8,m2,2016,seeding,,
5,176,plot,8,m2,2016,seeding,,
6,176,plot,8,m2,2016,seeding,,
7,176,plot,8,m2,2016,seeding,,
8,176,plot,8,m2,2016,seeding,,
9,176,plot,8,m2,2016,seeding,,
10,176,plot,8,m2,2016,seeding,,
11,176,plot,8,m2,2016,seeding,,
12,176,plot,8,m2,2016,seeding,,
13,176,plot,8,m2,2016,seeding,,
14,176,plot,8,m2,2016,seeding,,
15,176,plot,8,m2,2016,seeding,,
16,176,plot,8,m2,2016,seeding,,
17,176,plot,8,m2,2016,seeding,,
18,176,plot,8,m2,2016,seeding,,
19,176,plot,8,m2,2016,seeding,,
20,176,plot,8,m2,2016,seeding,,
21,176,plot,8,m2,2016,seeding,,
22,176,plot,8,m2,2016,seeding,,
23,176,plot,8,m2,2016,seeding,,
24,176,plot,8,m2,2016,seeding,,
25,176,plot,8,m2,2016,seeding,,
26,176,plot,8,m2,2016,seeding,,
27,176,plot,8,m2,2016,seeding,,
28,176,plot,8,m2,2016,seeding,,
29,176,plot,8,m2,2016,seeding,,
30,176,plot,8,m2,2016,seeding,,
31,176,plot,8,m2,2016,seeding,,
32,176,plot,8,m2,2016,seeding,,
33,176,plot,8,m2,2016,seeding,,
34,176,plot,8,m2,2016,seeding,,
35,176,plot,8,m2,2016,seeding,,
36,176,plot,8,m2,2016,seeding,,
37,176,plot,8,m2,2016,seeding,,
38,176,plot,8,m2,2016,seeding,,
39,176,plot,8,m2,2016,seeding,,
40,176,plot,8,m2,2016,seeding,,
41,176,plot,8,m2,2016,seeding,,
42,176,plot,8,m2,2016,seeding,,
43,176,plot,8,m2,2016,seeding,,
44,176,plot,8,m2,2016,seeding,,
45,176,plot,8,m2,2016,seeding,,
46,176,plot,8,m2,2016,seeding,,
47,176,plot,8,m2,2016,seeding,,
48,176,plot,8,m2,2016,seeding,,
49,176,plot,8,m2,2016,seeding,,
50,176,plot,8,m2,2016,seeding,,
51,176,plot,8,m2,2016,seeding,,
52,176,plot,8,m2,2016,seeding,,
53,176,plot,8,m2,2016,seeding,,
54,176,plot,8,m2,2016,seeding,,
55,176,plot,8,m2,2016,seeding,,
56,176,plot,8,m2,2016,seeding,,
57,176,plot,8,m2,2016,seeding,,
58,176,plot,8,m2,2016,seeding,,
59,176,plot,8,m2,2016,seeding,,
60,176,plot,8,m2,2016,seeding,,
61,176,plot,8,m2,2016,seeding,,
62,176,plot,8,m2,2016,seeding,,
63,176,plot,8,m2,2016,seeding,,
64,176,plot,8,m2,2016,seeding,,
65,176,plot,8,m2,2016,seeding,,
66,176,plot,8,m2,2016,seeding,,
67,176,plot,8,m2,2016,seeding,,
68,176,plot,8,m2,2016,seeding,,
69,176,plot,8,m2,2016,seeding,,
70,176,plot,8,m2,2016,seeding,,
71,176,plot,8,m2,2016,seeding,,
72,176,plot,8,m2,2016,seeding,,
73,176,plot,8,m2,2016,seeding,,
74,176,plot,8,m2,2016,seeding,,
75,176,plot,8,m2,2016,seeding,,
76,176,plot,8,m2,2016,seeding,,
77,176,plot,8,m2,2016,seeding,,
78,176,plot,8,m2,2016,seeding,,
79,176,plot,8,m2,2016,seeding,,
80,176,plot,8,m2,2016,seeding,,
81,176,plot,8,m2,2016,seeding,,
82,176,plot,8,m2,2016,seeding,,
83,176,plot,8,m2,2016,seeding,,
84,176,plot,8,m2,2016,seeding,,
85,176,plot,8,m2,2016,seeding,,
86,176,plot,8,m2,2016,seeding,,
87,176,plot,8,m2,2016,seeding,,
88,176,plot,8,m2,2016,seeding,,
89,176,plot,8,m2,2016,seeding,,
90,176,plot,8,m2,2016,seeding,,
91,176,plot,8,m2,2016,seeding,,
92,176,plot,8,m2,2016,seeding,,
93,176,plot,8,m2,2016,seeding,,
94,176,plot,8,m2,2016,seeding,,
95,176,plot,8,m2,2016,seeding,,
96,176,plot,8,m2,2016,seeding,,
97,176,plot,8,m2,2016,seeding,,
98,176,plot,8,m2,2016,seeding,,
99,176,plot,8,m2,2016,seeding,,
100,176,plot,8,m2,2016,seeding,,
101,176,plot,8,m2,2016,seeding,,
102,176,plot,8,m2,2016,seeding,,
103,176,plot,8,m2,2016,seeding,,
104,176,plot,8,m2,2016,seeding,,
105,176,plot,8,m2,2016,seeding,,
106,176,plot,8,m2,2016,seeding,,
107,176,plot,8,m2,2016,seeding,,
108,176,plot,8,m2,2016,seeding,,
109,176,plot,8,m2,2016,seeding,,
110,176,plot,8,m2,2016,seeding,,
111,176,plot,8,m2,2016,seeding,,
112,176,plot,8,m2,2016,seeding,,
113,176,plot,8,m2,2016,seeding,,
114,176,plot,8,m2,2016,seeding,,
115,176,plot,8,m2,2016,seeding,,
116,176,plot,8,m2,2016,seeding,,
117,176,plot,8,m2,2016,seeding,,
118,176,plot,8,m2,2016,seeding,,
119,176,plot,8,m2,2016,seeding,,
120,176,plot,8,m2,2016,seeding,,
121,176,plot,8,m2,2016,seeding,,
122,176,plot,8,m2,2016,seeding,,
123,176,plot,8,m2,2016,seeding,,
124,176,plot,8,m2,2016,seeding,,
125,176,plot,8,m2,2016,seeding,,
126,176,plot,8,m2,2016,seeding,,
127,176,plot,8,m2,2016,seeding,,
128,176,plot,8,m2,2016,seeding,,
129,176,plot,8,m2,2016,seeding,,
130,176,plot,8,m2,2016,seeding,,
131,176,plot,8,m2,2016,seeding,,
132,176,plot,8,m2,2016,seeding,,
133,176,plot,8,m2,2016,seeding,,
134,176,plot,8,m2,2016,seeding,,
135,176,plot,8,m2,2016,seeding,,
136,176,plot,8,m2,2016,seeding,,
137,176,plot,8,m2,2016,seeding,,
138,176,plot,8,m2,2016,seeding,,
139,176,plot,8,m2,2016,seeding,,
140,176,plot,8,m2,2016,seeding,,
141,176,plot,8,m2,2016,seeding,,
142,176,plot,8,m2,2016,seeding,,
143,176,plot,8,m2,2016,seeding,,
144,176,plot,8,m2,2016,seeding,,
145,176,plot,8,m2,2016,seeding,,
146,176,plot,8,m2,2016,seeding,,
147,176,plot,8,m2,2016,seeding,,
148,176,plot,8,m2,2016,seeding,,
149,176,plot,8,m2,2016,seeding,,
150,176,plot,8,m2,2016,seeding,,
151,176,plot,8,m2,2016,seeding,,
152,176,plot,8,m2,2016,seeding,,
153,176,plot,8,m2,2016,seeding,,
154,176,plot,8,m2,2016,seeding,,
155,176,plot,8,m2,2016,seeding,,
156,176,plot,8,m2,2016,seeding,,
