database,projectid,areaid,treatmentid
GAZP,1,1,1
GAZP,1,1,2
GAZP,1,2,1
GAZP,1,2,2
GAZP,1,3,1
GAZP,1,3,2
GAZP,1,4,1
GAZP,1,4,2
GAZP,1,5,1
GAZP,1,5,2
GAZP,1,6,1
GAZP,1,6,2
GAZP,1,7,1
GAZP,1,7,2
GAZP,1,8,1
GAZP,1,8,2
GAZP,1,9,1
GAZP,1,9,2
GAZP,1,10,1
GAZP,1,10,2
GAZP,1,11,1
GAZP,1,11,2
GAZP,1,12,1
GAZP,1,12,2
GAZP,1,13,1
GAZP,1,13,2
GAZP,1,14,1
GAZP,1,14,2
GAZP,1,15,1
GAZP,1,15,2
GAZP,1,16,1
GAZP,1,16,2
GAZP,1,17,1
GAZP,1,17,2
GAZP,1,18,1
GAZP,1,18,2
GAZP,1,19,1
GAZP,1,19,2
GAZP,1,20,1
GAZP,1,20,2
GAZP,1,21,1
GAZP,1,21,2
GAZP,1,22,1
GAZP,1,22,2
GAZP,1,23,1
GAZP,1,23,2
GAZP,1,24,1
GAZP,1,24,2
GAZP,1,25,1
GAZP,1,25,2
GAZP,1,26,1
GAZP,1,26,2
GAZP,1,27,1
GAZP,1,27,2
GAZP,1,28,1
GAZP,1,28,2
GAZP,1,29,1
GAZP,1,29,2
GAZP,1,30,1
GAZP,1,30,2
GAZP,1,31,3
GAZP,1,31,4
GAZP,1,32,3
GAZP,1,32,4
GAZP,1,33,3
GAZP,1,33,4
GAZP,1,34,3
GAZP,1,34,4
GAZP,1,35,3
GAZP,1,35,4
GAZP,1,36,3
GAZP,1,36,4
GAZP,1,37,3
GAZP,1,37,4
GAZP,1,38,3
GAZP,1,38,4
GAZP,1,39,3
GAZP,1,39,4
GAZP,1,40,3
GAZP,1,40,4
GAZP,1,41,3
GAZP,1,41,4
GAZP,1,42,3
GAZP,1,42,4
GAZP,1,43,3
GAZP,1,43,4
GAZP,1,44,3
GAZP,1,44,4
GAZP,1,45,3
GAZP,1,45,4
GAZP,1,46,3
GAZP,1,46,4
GAZP,1,47,3
GAZP,1,47,4
GAZP,1,48,3
GAZP,1,48,4
GAZP,1,49,3
GAZP,1,49,4
GAZP,1,50,3
GAZP,1,50,4
GAZP,1,51,3
GAZP,1,51,4
GAZP,1,52,3
GAZP,1,52,4
GAZP,1,53,3
GAZP,1,53,4
GAZP,1,54,3
GAZP,1,54,4
GAZP,1,55,3
GAZP,1,55,4
GAZP,1,56,3
GAZP,1,56,4
GAZP,1,57,3
GAZP,1,57,4
GAZP,1,58,3
GAZP,1,58,4
GAZP,1,59,3
GAZP,1,59,4
GAZP,1,60,3
GAZP,1,60,4
GAZP,1,61,3
GAZP,1,61,4
GAZP,1,62,3
GAZP,1,62,4
GAZP,1,63,3
GAZP,1,63,4
GAZP,1,64,3
GAZP,1,64,4
GAZP,1,65,3
GAZP,1,65,4
GAZP,1,66,5
GAZP,1,66,6
GAZP,1,67,5
GAZP,1,67,6
GAZP,1,68,5
GAZP,1,68,6
GAZP,1,69,5
GAZP,1,69,6
GAZP,1,70,5
GAZP,1,70,6
GAZP,1,71,5
GAZP,1,71,6
GAZP,1,72,5
GAZP,1,72,6
GAZP,1,73,5
GAZP,1,73,6
GAZP,1,74,5
GAZP,1,74,6
GAZP,1,75,5
GAZP,1,75,6
GAZP,1,76,5
GAZP,1,76,6
GAZP,1,77,5
GAZP,1,77,6
GAZP,1,78,5
GAZP,1,78,6
GAZP,1,79,5
GAZP,1,79,6
GAZP,1,80,5
GAZP,1,80,6
GAZP,1,81,5
GAZP,1,81,6
GAZP,1,82,5
GAZP,1,82,6
GAZP,1,83,5
GAZP,1,83,6
GAZP,1,84,5
GAZP,1,84,6
GAZP,1,85,5
GAZP,1,85,6
GAZP,1,86,5
GAZP,1,86,6
GAZP,1,87,5
GAZP,1,87,6
GAZP,1,88,5
GAZP,1,88,6
GAZP,1,89,5
GAZP,1,89,6
GAZP,1,90,5
GAZP,1,90,6
