database,projectid,siteid
GAZP,1,176
GAZP,2,172
GAZP,2,173
GAZP,2,174
GAZP,2,175
GAZP,3,171
GAZP,5,177
GAZP,5,178
GAZP,5,179
GAZP,5,180
GAZP,5,181
GAZP,5,182
GAZP,5,183
GAZP,5,184
GAZP,5,185
GAZP,5,186
GAZP,5,187
GAZP,5,188
GAZP,5,189
GAZP,5,190
GAZP,5,191
GAZP,5,192
GAZP,5,193
GAZP,5,194
GAZP,5,195
GAZP,5,196
GAZP,5,197
GAZP,5,198
GAZP,5,199
GAZP,5,200
GAZP,5,201
GAZP,5,202
GAZP,5,203
GAZP,5,204
GAZP,5,205
GAZP,5,206
GAZP,5,207
GAZP,5,208
GAZP,5,209
GAZP,5,210
GAZP,5,211
GAZP,5,212
GAZP,5,213
GAZP,5,214
GAZP,5,215
GAZP,5,216
GAZP,5,217
GAZP,5,218
GAZP,5,219
GAZP,5,220
GAZP,5,221
GAZP,5,222
GAZP,5,223
GAZP,5,224
GAZP,5,225
GAZP,5,226
GAZP,5,227
GAZP,5,228
GAZP,5,229
GAZP,5,230
GAZP,5,231
GAZP,5,232
GAZP,5,233
GAZP,5,234
GAZP,5,235
GAZP,5,236
GAZP,5,237
GAZP,5,238
GAZP,5,239
GAZP,5,240
GAZP,5,241
GAZP,5,242
GAZP,5,243
GAZP,5,244
GAZP,5,245
GAZP,5,246
GAZP,5,247
GAZP,5,248
GAZP,5,249
GAZP,5,250
GAZP,5,251
GAZP,5,252
GAZP,5,253
GAZP,5,254
GAZP,5,255
GAZP,5,256
GAZP,5,257
GAZP,5,258
GAZP,5,259
GAZP,5,260
GAZP,5,261
GAZP,5,262
GAZP,5,263
GAZP,5,264
GAZP,5,265
GAZP,5,266
GAZP,5,267
GAZP,5,268
GAZP,5,269
GAZP,5,270
GAZP,5,271
GAZP,5,272
GAZP,5,273
GAZP,5,274
GAZP,5,275
GAZP,5,276
GAZP,5,277
GAZP,5,278
GAZP,5,279
GAZP,5,280
GAZP,5,281
GAZP,5,282
GAZP,5,283
GAZP,5,284
GAZP,5,285
GAZP,5,286
GAZP,5,287
GAZP,5,288
GAZP,5,289
GAZP,5,290
GAZP,5,291
GAZP,5,292
GAZP,5,293
GAZP,5,294
GAZP,5,295
GAZP,5,296
GAZP,5,297
GAZP,5,298
GAZP,5,299
GAZP,5,300
GAZP,5,301
GAZP,5,302
GAZP,5,303
GAZP,5,304
GAZP,5,305
GAZP,5,306
GAZP,5,307
GAZP,5,308
GAZP,5,309
GAZP,5,310
GAZP,5,311
GAZP,5,312
GAZP,5,313
GAZP,5,314
GAZP,5,315
GAZP,5,316
GAZP,5,317
GAZP,5,318
GAZP,5,319
GAZP,5,320
GAZP,5,321
GAZP,5,322
GAZP,5,323
GAZP,5,324
GAZP,5,325
GAZP,5,326
GAZP,5,327
GAZP,5,328
GAZP,5,329
GAZP,5,330
GAZP,5,331
GAZP,5,332
GAZP,5,333
GAZP,5,334
GAZP,5,335
GAZP,5,336
GAZP,5,337
GAZP,5,338
GAZP,5,339
GAZP,5,340
GAZP,5,341
GAZP,5,342
GAZP,5,343
GAZP,5,344
GAZP,5,345
GAZP,5,346
GAZP,5,347
GAZP,5,348
GAZP,5,349
GAZP,5,350
GAZP,5,351
GAZP,5,352
GAZP,5,353
GAZP,5,354
GAZP,5,355
GAZP,5,356
GAZP,5,357
GAZP,5,358
GAZP,5,359
GAZP,5,360
GAZP,5,361
GAZP,5,362
GAZP,5,363
GAZP,5,364
GAZP,5,365
GAZP,5,366
GAZP,5,367
GAZP,5,368
GAZP,5,369
