seed_mixid,treatmentid,mix_name,mix_composition_status,treated_richness,notes
1,1,known,known,5,
2,3,known,known,5,
3,5,known,known,5,
4,7,known,known,5,
5,9,known,known,5,
6,11,known,known,5,
7,13,known,known,5,
8,15,known,known,5,
9,17,known,known,5,
10,19,known,known,5,
11,21,known,known,5,
12,23,known,known,5,
13,25,known,known,5,
14,27,known,known,5,
15,29,known,known,5,
16,31,known,known,5,
17,33,known,known,5,
18,35,known,known,5,
19,37,known,known,5,
20,39,known,known,5,
21,43,known,known,5,
22,44,known,known,5,
23,45,known,known,5,
24,54,known,known,5,
25,63,known,known,5,
26,64,known,known,5,
27,65,known,known,5,
28,74,known,known,5,
29,84,known,known,5,
30,85,known,known,6,
31,86,known,known,6,
32,87,known,known,6,
33,96,known,known,6,
34,105,known,known,6,
35,106,known,known,6,
36,107,known,known,6,
37,116,known,known,6,
38,126,known,known,5,
39,127,known,known,5,
40,128,known,known,5,
41,129,known,known,5,
42,138,known,known,5,
43,147,known,known,5,
44,148,known,known,5,
45,149,known,known,5,
46,158,known,known,5,
47,167,known,known,5,
48,176,known,known,5,
49,185,known,known,5,
50,186,known,known,5,
51,187,known,known,5,
52,196,known,known,5,
53,205,known,known,3,
54,206,known,known,3,
55,207,known,known,3,
56,208,known,known,10,
57,209,known,known,15,
58,210,known,known,16,
59,211,known,known,16,
60,212,known,known,16,
61,213,known,known,16,
62,214,known,known,16,
63,215,known,known,16,
64,216,known,known,16,
65,217,known,known,16,
66,218,known,known,16,
67,219,known,known,11,
68,220,known,known,25,
69,221,known,known,15,
70,222,known,known,11,
71,223,known,known,15,
72,224,known,known,11,
73,225,known,known,15,
74,226,known,known,11,
75,227,known,known,17,
76,228,known,known,12,
77,229,known,known,17,
78,230,known,known,14,
79,231,known,known,27,
80,232,known,known,17,
81,233,known,known,17,
82,234,known,known,16,
83,235,known,known,14,
84,236,known,known,14,
85,237,known,known,13,
86,238,known,known,13,
87,239,known,known,13,
88,240,known,known,13,
89,241,known,known,16,
90,242,known,known,18,
91,243,known,known,16,
92,244,known,known,19,
93,245,known,known,16,
94,246,known,known,16,
95,247,known,known,17,
96,248,known,known,20,
97,249,known,known,13,
98,250,known,known,20,
99,251,known,known,16,
100,252,known,known,13,
101,253,known,known,22,
102,254,known,known,16,
103,255,known,known,16,
104,256,known,known,16,
105,257,known,known,10,
106,258,known,known,16,
107,259,known,known,13,
108,260,known,known,15,
109,261,unknown,unknown,unknown,
110,262,known,known,14,
111,263,known,known,19,
112,264,known,known,21,
113,265,known,known,17,
114,266,known,known,14,
115,267,known,known,17,
116,268,known,known,15,
117,269,known,known,16,
118,270,known,known,21,
119,271,known,known,20,
120,272,known,known,17,
121,273,known,known,22,
122,274,known,known,19,
123,275,known,known,20,
124,276,known,known,19,
125,277,known,known,12,
126,278,known,known,12,
127,279,known,known,17,
128,280,known,known,17,
129,281,known,known,19,
130,282,known,known,17,
131,283,known,known,17,
132,284,known,known,17,
133,285,known,known,17,
134,286,known,known,22,
135,287,known,known,20,
136,288,known,known,19,
137,289,known,known,12,
138,290,known,known,9,
139,291,known,known,16,
140,292,known,known,14,
141,293,known,known,13,
142,294,known,known,14,
143,295,known,known,13,
144,296,known,known,14,
145,297,known,known,17,
146,298,known,known,16,
147,299,known,known,16,
148,300,known,known,13,
149,301,known,known,20,
150,302,known,known,14,
151,303,known,known,14,
152,304,known,known,13,
153,305,known,known,13,
154,306,known,known,15,
155,307,known,known,13,
156,308,known,known,22,
157,309,known,known,15,
158,310,known,known,13,
159,311,known,known,13,
160,312,known,known,16,
161,313,known,known,12,
162,314,known,known,18,
163,315,known,known,18,
164,316,known,known,18,
165,317,known,known,22,
166,318,known,known,18,
167,319,known,known,18,
168,320,known,known,19,
169,321,known,known,13,
170,322,known,known,17,
171,323,known,known,13,
172,324,known,known,12,
173,325,known,known,16,
174,326,known,known,10,
175,327,known,known,16,
176,328,known,known,20,
177,329,known,known,18,
178,330,known,known,9,
179,331,known,known,13,
180,332,known,known,18,
181,333,known,known,21,
182,334,known,known,16,
183,335,known,known,13,
184,336,known,known,11,
185,337,known,known,13,
186,338,known,known,13,
187,339,known,known,10,
188,340,known,known,9,
189,341,known,known,9,
190,342,known,known,13,
191,343,known,known,17,
192,344,known,known,19,
193,345,known,known,19,
194,346,known,known,20,
195,347,known,known,17,
196,348,known,known,18,
197,349,known,known,14,
198,350,known,known,14,
199,351,known,known,12,
200,352,known,known,13,
201,353,known,known,11,
202,354,known,known,13,
203,355,known,known,13,
204,356,known,known,13,
205,357,known,known,16,
206,358,known,known,13,
207,359,known,known,14,
208,360,known,known,13,
209,361,known,known,12,
210,362,known,known,12,
211,363,known,known,12,
212,364,known,known,14,
213,365,known,known,14,
214,366,known,known,14,
215,367,known,known,14,
216,368,known,known,20,
217,369,known,known,14,
218,370,known,known,14,
219,371,known,known,10,
220,372,known,known,10,
221,373,known,known,16,
222,374,known,known,21,
223,375,known,known,11,
224,376,known,known,20,
225,377,known,known,21,
226,378,known,known,15,
227,379,known,known,16,
228,380,known,known,20,
229,381,known,known,20,
230,382,known,known,20,
231,383,known,known,20,
232,384,known,known,21,
233,385,known,known,14,
234,386,known,known,12,
235,387,known,known,16,
236,388,known,known,22,
237,389,known,known,11,
238,390,known,known,10,
239,391,known,known,11,
240,392,known,known,11,
241,393,known,known,12,
242,394,known,known,15,
243,395,known,known,19,
244,396,known,known,14,
245,397,known,known,14,
246,398,unknown,unknown,unknown,
247,399,known,known,13,
248,400,known,known,16,
