seedingid,treatmentid,mix,speciesid,cultivarid,type,rate,unit,viability,origin,source,seed_distance,seed_mixid,notes
1,1,known,2435,,seeding,56.25,seeds/m2,,native,,,1,
2,1,known,2437,,seeding,62.5,seeds/m2,,native,,,1,
3,1,known,2726,,seeding,62.5,seeds/m2,,native,,,1,
4,1,known,5985,,seeding,62.5,seeds/m2,,native,,,1,
5,1,known,5986,,seeding,100,seeds/m2,,native,,,1,
6,3,known,2435,,seeding,56.25,seeds/m2,,native,,,2,
7,3,known,2437,,seeding,62.5,seeds/m2,,native,,,2,
8,3,known,2726,,seeding,62.5,seeds/m2,,native,,,2,
9,3,known,5985,,seeding,62.5,seeds/m2,,native,,,2,
10,3,known,5986,,seeding,100,seeds/m2,,native,,,2,
11,5,known,2435,,seeding,56.25,seeds/m2,,native,,,3,
12,5,known,2437,,seeding,62.5,seeds/m2,,native,,,3,
13,5,known,2726,,seeding,62.5,seeds/m2,,native,,,3,
14,5,known,5985,,seeding,62.5,seeds/m2,,native,,,3,
15,5,known,5986,,seeding,100,seeds/m2,,native,,,3,
16,7,known,2435,,seeding,56.25,seeds/m2,,native,,,4,
17,7,known,2437,,seeding,62.5,seeds/m2,,native,,,4,
18,7,known,2726,,seeding,62.5,seeds/m2,,native,,,4,
19,7,known,5985,,seeding,62.5,seeds/m2,,native,,,4,
20,7,known,5986,,seeding,100,seeds/m2,,native,,,4,
21,9,known,2435,,seeding,56.25,seeds/m2,,native,,,5,
22,9,known,2437,,seeding,62.5,seeds/m2,,native,,,5,
23,9,known,2726,,seeding,62.5,seeds/m2,,native,,,5,
24,9,known,5985,,seeding,62.5,seeds/m2,,native,,,5,
25,9,known,5986,,seeding,100,seeds/m2,,native,,,5,
26,11,known,2435,,seeding,56.25,seeds/m2,,native,,,6,
27,11,known,2437,,seeding,62.5,seeds/m2,,native,,,6,
28,11,known,2726,,seeding,62.5,seeds/m2,,native,,,6,
29,11,known,5985,,seeding,62.5,seeds/m2,,native,,,6,
30,11,known,5986,,seeding,100,seeds/m2,,native,,,6,
31,13,known,2435,,seeding,56.25,seeds/m2,,native,,,7,
32,13,known,2437,,seeding,62.5,seeds/m2,,native,,,7,
33,13,known,2726,,seeding,62.5,seeds/m2,,native,,,7,
34,13,known,5985,,seeding,62.5,seeds/m2,,native,,,7,
35,13,known,5986,,seeding,100,seeds/m2,,native,,,7,
