seedingid,type
51,boiled
70,cleaned
42,boiled
57,boiled
19,cleaned
91,boiled
10,cleaned
50,cleaned
13,boiled
2,boiled
75,cleaned
97,boiled
44,cleaned
95,cleaned
30,cleaned
74,cleaned
34,cleaned
90,cleaned
99,cleaned
12,boiled
88,boiled
81,boiled
5,cleaned
31,boiled
78,boiled
65,cleaned
24,cleaned
94,cleaned
49,cleaned
43,boiled
29,cleaned
4,cleaned
96,boiled
6,boiled
66,boiled
38,boiled
52,boiled
69,cleaned
11,boiled
9,cleaned
56,boiled
41,boiled
32,boiled
73,boiled
15,cleaned
20,cleaned
82,boiled
28,boiled
62,boiled
100,cleaned
25,cleaned
64,cleaned
22,boiled
54,cleaned
35,cleaned
18,boiled
27,boiled
58,boiled
84,cleaned
59,cleaned
3,boiled
39,cleaned
48,boiled
93,boiled
89,cleaned
8,boiled
60,cleaned
98,boiled
26,boiled
72,boiled
77,boiled
37,boiled
45,cleaned
36,boiled
87,boiled
40,cleaned
86,boiled
47,boiled
85,cleaned
21,boiled
67,boiled
46,boiled
53,boiled
33,boiled
23,boiled
92,boiled
61,boiled
14,cleaned
7,boiled
1,boiled
76,boiled
71,boiled
68,boiled
80,cleaned
79,cleaned
17,boiled
83,boiled
63,boiled
16,boiled
55,cleaned
