siteid,classificationid
176,3.A.2
172,3.B.1
173,3.B.1
174,3.B.1
175,3.B.1
171,3.B.1
177,3.B.1
178,3.B.1
179,3.B.1
180,3.B.1
181,3.B.1
182,3.B.1
183,3.B.1
184,3.B.1
185,3.B.1
186,3.B.1
187,3.B.1
188,3.B.1
189,3.B.1
190,3.B.1
191,3.B.1
192,3.B.1
193,3.B.1
194,3.B.1
195,3.B.1
196,3.B.1
197,3.B.1
198,3.B.1
199,3.B.1
200,3.B.1
201,3.B.1
202,3.B.1
203,3.B.1
204,3.B.1
205,3.B.1
206,3.B.1
207,3.B.1
208,3.B.1
209,3.B.1
210,3.B.1
211,3.B.1
212,3.B.1
213,3.B.1
214,3.B.1
215,3.B.1
216,3.B.1
217,3.B.1
218,3.B.1
219,3.B.1
220,3.B.1
221,3.B.1
222,3.B.1
223,3.B.1
224,3.B.1
225,3.B.1
226,3.B.1
227,3.B.1
228,3.B.1
229,3.B.1
230,3.B.1
231,3.B.1
232,3.B.1
233,3.B.1
234,3.B.1
235,3.B.1
236,3.B.1
237,3.B.1
238,3.B.1
239,3.B.1
240,3.B.1
241,3.B.1
242,3.B.1
243,3.B.1
244,3.B.1
245,3.B.1
246,3.B.1
247,3.B.1
248,3.B.1
249,3.B.1
250,3.B.1
251,3.B.1
252,3.B.1
253,3.B.1
254,3.B.1
255,3.B.1
256,3.B.1
257,3.B.1
258,3.B.1
259,3.B.1
260,3.B.1
261,3.B.1
262,3.B.1
263,3.B.1
264,3.B.1
265,3.B.1
266,3.B.1
267,3.B.1
268,3.B.1
269,3.B.1
270,3.B.1
271,3.B.1
272,3.B.1
273,3.B.1
274,3.B.1
275,3.B.1
276,3.B.1
277,3.B.1
278,3.B.1
279,3.B.1
280,3.B.1
281,3.B.1
282,3.B.1
283,3.B.1
284,3.B.1
285,3.B.1
286,3.B.1
287,3.B.1
288,3.B.1
289,3.B.1
290,3.B.1
291,3.B.1
292,3.B.1
293,3.B.1
294,3.B.1
295,3.B.1
296,3.B.1
297,3.B.1
298,3.B.1
299,3.B.1
300,3.B.1
301,3.B.1
302,3.B.1
303,3.B.1
304,3.B.1
305,3.B.1
306,3.B.1
307,3.B.1
308,3.B.1
309,3.B.1
310,3.B.1
311,3.B.1
312,3.B.1
313,3.B.1
314,3.B.1
315,3.B.1
316,3.B.1
317,3.B.1
318,3.B.1
319,3.B.1
320,3.B.1
321,3.B.1
322,3.B.1
323,3.B.1
324,3.B.1
325,3.B.1
326,3.B.1
327,3.B.1
328,3.B.1
329,3.B.1
330,3.B.1
331,3.B.1
332,3.B.1
333,3.B.1
334,3.B.1
335,3.B.1
336,3.B.1
337,3.B.1
338,3.B.1
339,3.B.1
340,3.B.1
341,3.B.1
342,3.B.1
343,3.B.1
344,3.B.1
345,3.B.1
346,3.B.1
347,3.B.1
348,3.B.1
349,3.B.1
350,3.B.1
351,3.B.1
352,3.B.1
353,3.B.1
354,3.B.1
355,3.B.1
356,3.B.1
357,3.B.1
358,3.B.1
359,3.B.1
360,3.B.1
361,3.B.1
362,3.B.1
363,3.B.1
364,3.B.1
365,3.B.1
366,3.B.1
367,3.B.1
368,3.B.1
369,3.B.1
