siteid,type
176,mining
172,fire
173,fire
174,fire
175,fire
171,invasion
177,mining
178,mining
179,mining
180,mining
181,mining
182,mining
183,mining
184,mining
185,mining
186,mining
187,mining
188,mining
189,mining
190,mining
191,mining
192,mining
193,mining
194,mining
195,mining
196,mining
197,mining
198,mining
199,mining
200,mining
201,mining
202,mining
203,mining
204,mining
205,mining
206,mining
207,mining
208,mining
209,mining
210,mining
211,mining
212,mining
213,mining
214,mining
215,mining
216,mining
217,mining
218,mining
219,mining
220,mining
221,mining
222,mining
223,mining
224,mining
225,mining
226,mining
227,mining
228,mining
229,mining
230,mining
231,mining
232,mining
233,mining
234,mining
235,mining
236,mining
237,mining
238,mining
239,mining
240,mining
241,mining
242,mining
243,mining
244,mining
245,mining
246,mining
247,mining
248,mining
249,mining
250,mining
251,mining
252,mining
253,mining
254,mining
255,mining
256,mining
257,mining
258,mining
259,mining
260,mining
261,mining
262,mining
263,mining
264,mining
265,mining
266,mining
267,mining
268,mining
269,mining
270,mining
271,mining
272,mining
273,mining
274,mining
275,mining
276,mining
277,mining
278,mining
279,mining
280,mining
281,mining
282,mining
283,mining
284,mining
285,mining
286,mining
287,mining
288,mining
289,mining
290,mining
291,mining
292,mining
293,mining
294,mining
295,mining
296,mining
297,mining
298,mining
299,mining
300,mining
301,mining
302,mining
303,mining
304,mining
305,mining
306,mining
307,mining
308,mining
309,mining
310,mining
311,mining
312,mining
313,mining
314,mining
315,mining
316,mining
317,mining
318,mining
319,mining
320,mining
321,mining
322,mining
323,mining
324,mining
325,mining
326,mining
327,mining
328,mining
329,mining
330,mining
331,mining
332,mining
333,mining
334,mining
335,mining
336,mining
337,mining
338,mining
339,mining
340,mining
341,mining
342,mining
343,mining
344,mining
345,mining
346,mining
347,mining
348,mining
349,mining
350,mining
351,mining
352,mining
353,mining
354,mining
355,mining
356,mining
357,mining
358,mining
359,mining
360,mining
361,mining
362,mining
363,mining
364,mining
365,mining
366,mining
367,mining
368,mining
369,mining
