siteid,description
176,grassland
172,grassland
173,grassland
174,grassland
175,grassland
171,grassland
177,sagebrush steppe
178,sagebrush steppe
179,sagebrush steppe
180,sagebrush steppe
181,sagebrush steppe
182,sagebrush steppe
183,sagebrush steppe
184,sagebrush steppe
185,sagebrush steppe
186,sagebrush steppe
187,sagebrush steppe
188,sagebrush steppe
189,sagebrush steppe
190,sagebrush steppe
191,sagebrush steppe
192,sagebrush steppe
193,sagebrush steppe
194,sagebrush steppe
195,sagebrush steppe
196,sagebrush steppe
197,sagebrush steppe
198,sagebrush steppe
199,sagebrush steppe
200,sagebrush steppe
201,sagebrush steppe
202,sagebrush steppe
203,sagebrush steppe
204,sagebrush steppe
205,sagebrush steppe
206,sagebrush steppe
207,sagebrush steppe
208,sagebrush steppe
209,sagebrush steppe
210,sagebrush steppe
211,sagebrush steppe
212,sagebrush steppe
213,sagebrush steppe
214,sagebrush steppe
215,sagebrush steppe
216,sagebrush steppe
217,sagebrush steppe
218,sagebrush steppe
219,sagebrush steppe
220,sagebrush steppe
221,sagebrush steppe
222,sagebrush steppe
223,sagebrush steppe
224,sagebrush steppe
225,sagebrush steppe
226,sagebrush steppe
227,sagebrush steppe
228,sagebrush steppe
229,sagebrush steppe
230,sagebrush steppe
231,sagebrush steppe
232,sagebrush steppe
233,sagebrush steppe
234,sagebrush steppe
235,sagebrush steppe
236,sagebrush steppe
237,sagebrush steppe
238,sagebrush steppe
239,sagebrush steppe
240,sagebrush steppe
241,sagebrush steppe
242,sagebrush steppe
243,sagebrush steppe
244,sagebrush steppe
245,sagebrush steppe
246,sagebrush steppe
247,sagebrush steppe
248,sagebrush steppe
249,sagebrush steppe
250,sagebrush steppe
251,sagebrush steppe
252,sagebrush steppe
253,sagebrush steppe
254,sagebrush steppe
255,sagebrush steppe
256,sagebrush steppe
257,sagebrush steppe
258,sagebrush steppe
259,sagebrush steppe
260,sagebrush steppe
261,sagebrush steppe
262,sagebrush steppe
263,sagebrush steppe
264,sagebrush steppe
265,sagebrush steppe
266,sagebrush steppe
267,sagebrush steppe
268,sagebrush steppe
269,sagebrush steppe
270,sagebrush steppe
271,sagebrush steppe
272,sagebrush steppe
273,sagebrush steppe
274,sagebrush steppe
275,sagebrush steppe
276,sagebrush steppe
277,sagebrush steppe
278,sagebrush steppe
279,sagebrush steppe
280,sagebrush steppe
281,sagebrush steppe
282,sagebrush steppe
283,sagebrush steppe
284,sagebrush steppe
285,sagebrush steppe
286,sagebrush steppe
287,sagebrush steppe
288,sagebrush steppe
289,sagebrush steppe
290,sagebrush steppe
291,sagebrush steppe
292,sagebrush steppe
293,sagebrush steppe
294,sagebrush steppe
295,sagebrush steppe
296,sagebrush steppe
297,sagebrush steppe
298,sagebrush steppe
299,sagebrush steppe
300,sagebrush steppe
301,sagebrush steppe
302,sagebrush steppe
303,sagebrush steppe
304,sagebrush steppe
305,sagebrush steppe
306,sagebrush steppe
307,sagebrush steppe
308,sagebrush steppe
309,sagebrush steppe
310,sagebrush steppe
311,sagebrush steppe
312,sagebrush steppe
313,sagebrush steppe
314,sagebrush steppe
315,sagebrush steppe
316,sagebrush steppe
317,sagebrush steppe
318,sagebrush steppe
319,sagebrush steppe
320,sagebrush steppe
321,sagebrush steppe
322,sagebrush steppe
323,sagebrush steppe
324,sagebrush steppe
325,sagebrush steppe
326,sagebrush steppe
327,sagebrush steppe
328,sagebrush steppe
329,sagebrush steppe
330,sagebrush steppe
331,sagebrush steppe
332,sagebrush steppe
333,sagebrush steppe
334,sagebrush steppe
335,sagebrush steppe
336,sagebrush steppe
337,sagebrush steppe
338,sagebrush steppe
339,sagebrush steppe
340,sagebrush steppe
341,sagebrush steppe
342,sagebrush steppe
343,sagebrush steppe
344,sagebrush steppe
345,sagebrush steppe
346,sagebrush steppe
347,sagebrush steppe
348,sagebrush steppe
349,sagebrush steppe
350,sagebrush steppe
351,sagebrush steppe
352,sagebrush steppe
353,sagebrush steppe
354,sagebrush steppe
355,sagebrush steppe
356,sagebrush steppe
357,sagebrush steppe
358,sagebrush steppe
359,sagebrush steppe
360,sagebrush steppe
361,sagebrush steppe
362,sagebrush steppe
363,sagebrush steppe
364,sagebrush steppe
365,sagebrush steppe
366,sagebrush steppe
367,sagebrush steppe
368,sagebrush steppe
369,sagebrush steppe
