speciesid,species_code,group,order,family,genus,species,subtype,subtype_name,lifeform
276,Yuc_gla,Angiosperms,Asparagales,Asparagaceae,Yucca,glauca,,,shrub
387,Ach_mil,Angiosperms,Asterales,Asteraceae,Achillea,millefolium,,,forb
457,Art_can,Angiosperms,Asterales,Asteraceae,Artemisia,cana,,,shrub
465,Art_fri,Angiosperms,Asterales,Asteraceae,Artemisia,frigida,,,forb
469,Art_lud,Angiosperms,Asterales,Asteraceae,Artemisia,ludoviciana,,,forb
484,Art_tri,Angiosperms,Asterales,Asteraceae,Artemisia,tridentata,,,shrub
689,Ech_ang,Angiosperms,Asterales,Asteraceae,Echinacea,angustifolia,,,forb
692,Ech_pur,Angiosperms,Asterales,Asteraceae,Echinacea,purpurea,,,forb
712,Eri_nau,Angiosperms,Asterales,Asteraceae,Ericameria,nauseosa,,,shrub
781,Gai_ari,Angiosperms,Asterales,Asteraceae,Gaillardia,aristata,,,forb
817,Hel_ann,Angiosperms,Asterales,Asteraceae,Helianthus,annuus,,,forb
1102,Rat_col,Angiosperms,Asterales,Asteraceae,Ratibida,columnifera,,,forb
1624,Cle_ser,Angiosperms,Brassicales,Cleomaceae,Cleome,serrulata,,,forb
1686,Atr_can,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,canescens,,,shrub
1687,Atr_con,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,confertifolia,,,shrub
1688,Atr_gar,Angiosperms,Caryophyllales,Amaranthaceae,Atriplex,gardneri,,,shrub
1741,Kra_cer,Angiosperms,Caryophyllales,Amaranthaceae,Krascheninnikovia,ceratoides,,,shrub
2041,Sar_ver,Angiosperms,Caryophyllales,Sarcobataceae,Sarcobatus,vermiculatus,,,shrub
2174,Sym_alb,Angiosperms,Dipsacales,Caprifoliaceae,Symphoricarpos,albus,,,shrub
2435,Aca_hil,Angiosperms,Fabales,Fabaceae,Acacia,hilliana,,,shrub
2437,Aca_ina,Angiosperms,Fabales,Fabaceae,Acacia,inaequilatera,,,tree
2529,Ast_cic,Angiosperms,Fabales,Fabaceae,Astragalus,cicer,,,forb
2637,Dal_can,Angiosperms,Fabales,Fabaceae,Dalea,candida,,,forb
2640,Dal_pur,Angiosperms,Fabales,Fabaceae,Dalea,purpurea,,,forb
