speciesid,species_code,name
2435,Aca_hil,Acacia hilliana
2437,Aca_ina,Acacia inaequilatera
387,Ach_mil,Achillea millefolium
387,Ach_mil1,Achillea millefolium
5317,Agr_des,Agropyron desertorum
5318,Agr_fra,Agropyron fragile
6282,Ame_arb,Amelanchier arborea
457,Art_can,Artemisia cana
465,Art_fri,Artemisia frigida
469,Art_lud,Artemisia ludoviciana
484,Art_tri,Artemisia tridentata
484,Art_tri2,Artemisia tridentata
484,Art_tri3,Artemisia tridentata
2529,Ast_cic,Astragalus cicer
1686,Atr_can,Atriplex canescens
1687,Atr_con,Atriplex confertifolia
1687,Atr_conf,Atriplex confertifolia
1688,Atr_gar,Atriplex gardneri
5415,Bou_ari,Bouteloua aristidoides
5416,Bou_cur,Bouteloua curtipendula
5472,Bro_tec,Bromus tectorum
5485,Cal_lon,Calamovilfa longifolia
1624,Cle_ser,Cleome serrulata
2637,Dal_can,Dalea candida
2640,Dal_pur,Dalea purpurea
689,Ech_ang,Echinacea angustifolia
692,Ech_pur,Echinacea purpurea
5568,Ely_can,Elymus canadensis
5573,Ely_ely,Elymus elymoides
5573,Ely_ely1,Elymus elymoides
5573,Ely_ely2,Elymus elymoides
5577,Ely_lan,Elymus lanceolatus
5577,Ely_lan1,Elymus lanceolatus
5577,Ely_lan2,Elymus lanceolatus
5582,Ely_smi,Elymus smithii
5583,Ely_spi,Elymus spicatus
5583,Ely_spi1,Elymus spicatus
5585,Ely_tra,Elymus trachycaulus
5588,Ely_waw,Elymus wawawaiensis
712,Eri_nau,Ericameria nauseosa
5644,Fes_ovi,Festuca ovina
781,Gai_ari,Gaillardia aristata
817,Hel_ann,Helianthus annuus
2726,Ind_mon,Indigofera monophylla
7042,Jun_com,Juniperus communis
5698,Koe_mac,Koeleria macrantha
1741,Kra_cer,Krascheninnikovia ceratoides
1741,Kra_cer1,Krascheninnikovia ceratoides
5707,Ley_cin,Leymus cinereus
4275,Lin_lew,Linum lewisii
4276,Lin_per,Linum perenne
2826,Lup_per,Lupinus perennis
2851,Med_fal,Medicago falcata
2861,Med_sat,Medicago sativa
2861,Med_sat1,Medicago sativa
2861,Med_sat2,Medicago sativa
5763,Nas_vir,Nassella viridula
2887,Ono_vic,Onobrychis viciifolia
5765,Ory_hym,Oryzopsis hymenoides
5801,Pan_vir,Panicum virgatum
7156,L_Pgrass,Unknown Pgrass
7067,Pin_pon,Pinus ponderosa
5881,Pse_rup,Pseudosclerochloa rupestris
5881,Pse_rup1,Pseudosclerochloa rupestris
1102,Rat_col,Ratibida columnifera
6517,Rhu_tri,Rhus trilobata
6402,Ros_woo,Rosa woodsii
2041,Sar_ver,Sarcobatus vermiculatus
5901,Sch_sco,Schizachyrium scoparium
4575,Sph_coc,Sphaeralcea coccinea
5932,Spo_air,Sporobolus airoides
5938,Spo_cry,Sporobolus cryptandrus
5952,Sti_com,Stipa comata
2174,Sym_alb,Symphoricarpos albus
3010,The_rho,Thermopsis rhombifolia
5985,Tri_epa,Triodia epactia
5986,Tri_wis,Triodia wiseana
3082,Vic_sat,Vicia sativa
3082,Vic_sat1,Vicia sativa
276,Yuc_gla,Yucca glauca
