treatmentid,year,month,day,weeks_since_restoration,other_treatment,shelter,grading,maintenance_fire,notes
384,2006,5,5,0,,,yes,TRUE,
351,2004,11,10,0,,,yes,,
184,2008,3,19,16,,,,,
116,2007,11,15,0,,,,,
87,2007,11,15,0,,,,,
273,2003,11,,0,,,yes,,
51,2008,2,18,12,,,,,
394,2001,11,5,0,,,yes,,
272,1999,11,,0,,,yes,,
70,2008,2,4,10,,,,,
190,2008,1,9,6,,,,,
350,2002,11,2,0,,,yes,,
314,2003,11,14,0,,,yes,,
386,1995,10,16,0,,,yes,,
278,2002,11,,0,,,yes,,
364,2009,12,3,0,,,yes,,
299,2011,4,,0,,,yes,,
176,2007,11,28,0,,,,,
169,2007,12,26,4,,,,,
92,2008,1,24,10,,,,,
309,2009,11,,0,,,yes,,
345,2005,4,16,0,,,yes,TRUE,
180,2008,1,23,8,,,,,
292,2003,11,1,0,,,yes,,
236,2008,11,18,0,,,yes,,
263,1999,11,,0,,,yes,TRUE,
271,1996,10,,0,,,yes,,
22,2016,1,,1,,,,,
156,2008,2,8,14,,,,,
197,2007,12,12,2,,,,,
135,2008,1,25,12,,,,,
227,2002,11,5,0,,,yes,,
282,1997,10,,0,,,yes,,
390,1999,12,,0,,,yes,,
173,2008,2,20,12,,,,,
149,2007,11,2,0,,,,,
311,2009,10,,0,,,yes,,
73,2008,3,17,16,,,,,
269,2008,11,,0,,,yes,,
261,1989,8,,0,,,,,
103,2008,2,21,14,,,,,
280,1998,11,,0,,,yes,,
42,2007,11,26,0,,,,,experimental control; no treatments applied; no seed added
189,2007,12,26,4,,,,,
239,1998,10,15,0,,,yes,,
117,2007,11,29,2,,,,,
121,2008,1,24,10,,,,,
161,2007,12,14,6,,,,,
88,2007,11,29,2,,,,,
188,2007,12,12,2,,,,,
257,1999,11,27,0,,,yes,,
113,2008,2,7,12,,,,,
40,2016,1,,1,,,,,
125,2007,11,2,0,,,,,experimental control; no treatments applied; no seed added
240,1999,12,2,0,,,yes,,
328,2004,11,9,0,,,yes,TRUE,
43,2007,11,26,0,,,,,
196,2007,11,28,0,,,,,
120,2008,1,10,8,,,,,
291,2008,11,,0,,,yes,,
15,2016,1,,0,,,yes,,
210,2000,,,0,,,yes,,
226,2001,11,4,0,,,yes,,
48,2008,1,7,6,,,,,
187,2007,11,28,0,,,,,
349,2002,11,3,0,,,yes,,
298,2011,4,,0,,,yes,,
57,2008,1,7,6,,,,,
19,2016,1,,0,,,yes,,
61,2008,3,3,14,,,,,
81,2008,3,3,14,,,,,
244,2011,11,,0,,,yes,TRUE,
160,2007,11,30,4,,,,,
242,2003,12,5,0,,,yes,TRUE,
357,2003,10,25,0,,,yes,TRUE,
331,1999,12,,0,,,yes,,
251,2004,4,17,0,,,yes,TRUE,
204,2008,3,19,16,,,,,
104,2008,3,6,16,,,,,
266,2004,11,,0,,,yes,,
5,2016,1,,0,,,yes,,
171,2008,1,23,8,,,,,
315,2003,11,14,0,,,yes,,
307,2009,11,,0,,,yes,,
366,2010,11,6,0,,,yes,,
397,2008,11,23,0,,,yes,,
91,2008,1,10,8,,,,,
283,1997,11,,0,,,yes,,
347,2005,4,16,0,,,yes,TRUE,
305,2009,10,,0,,,yes,,
54,2007,11,26,0,,,,,
29,2016,1,,0,,,yes,,
179,2008,1,9,6,,,,,
4,2016,1,,1,,,,,
297,2003,12,5,0,,,yes,TRUE,
181,2008,2,6,10,,,,,
321,1992,,,0,,,yes,,
361,1996,4,15,0,,,yes,,
96,2007,11,15,0,,,,,
303,2011,4,,0,,,yes,,
201,2008,2,6,10,,,,,
10,2016,1,,1,,,,,
105,2007,11,15,0,,,,,
35,2016,1,,0,,,yes,,
107,2007,11,15,0,,,,,
6,2016,1,,1,,,,,
233,2002,11,5,0,,,yes,,
220,2003,12,5,0,,,yes,TRUE,
86,2007,11,15,0,,,,,
400,2000,,,0,,,yes,,
93,2008,2,7,12,,,,,
89,2007,12,13,4,,,,,
219,2001,11,4,0,,,yes,,
373,2000,5,20,0,,,yes,TRUE,
252,1998,,,0,,,yes,,
241,2000,5,18,0,,,yes,,
175,2008,3,19,16,,,,,
363,2004,11,12,0,,,yes,,
343,2005,4,16,0,,,yes,TRUE,
31,2016,1,,0,,,yes,,
285,1999,11,,0,,,yes,,
327,2005,4,16,0,,,yes,TRUE,
50,2008,2,4,10,,,,,
253,2003,12,5,0,,,yes,TRUE,
14,2016,1,,1,,,,,
231,2003,12,5,0,,,yes,TRUE,
66,2007,12,10,2,,,,,
340,1999,12,,0,,,yes,,
109,2007,12,13,4,,,,,
356,2007,11,5,0,,,yes,,
155,2008,1,25,12,,,,,
13,2016,1,,0,,,yes,,
133,2007,12,28,8,,,,,
391,2001,11,5,0,,,yes,,
195,2008,3,19,16,,,,,
2,2016,1,,1,,,,,
368,2003,10,27,0,,,yes,TRUE,
199,2008,1,9,6,,,,,
372,2000,5,20,0,,,yes,,
246,2000,5,18,0,,,yes,,
75,2007,12,10,2,,,,,
369,2011,11,,0,,,yes,,
128,2007,11,2,0,,,,,
339,1999,12,,0,,,yes,,
243,2000,5,18,0,,,yes,,
166,2008,2,22,16,,,,,
344,2003,11,10,0,,,yes,TRUE,
142,2007,12,28,8,,,,,
335,1997,,,0,,,yes,,
152,2007,12,14,6,,,,,
355,2007,11,5,0,,,yes,,
383,2006,5,5,0,,,yes,TRUE,
230,2002,11,5,0,,,yes,,
301,2011,4,,0,,,yes,,
7,2016,1,,0,,,yes,,
222,2001,11,4,0,,,yes,TRUE,
381,2006,5,5,0,,,yes,TRUE,
38,2016,1,,1,,,,,
359,1992,,,0,,,yes,,
193,2008,2,20,12,,,,,
254,2000,,,0,,,yes,,
164,2008,1,25,12,,,,,
377,2006,5,5,0,,,yes,TRUE,
78,2008,1,21,8,,,,,
159,2007,11,16,2,,,,,
217,2000,,,0,,,yes,,
250,2004,4,16,0,,,yes,TRUE,
186,2007,11,28,0,,,,,
47,2007,12,24,4,,,,,
20,2016,1,,1,,,,,
177,2007,12,12,2,,,,,
319,2003,11,15,0,,,yes,TRUE,
182,2008,2,20,12,,,,,
1,2016,1,,0,,,yes,,
76,2007,12,24,4,,,,,
106,2007,11,15,0,,,,,
18,2016,1,,1,,,,,
110,2007,12,27,6,,,,,
178,2007,12,26,4,,,,,
145,2008,2,8,14,,,,,
129,2007,11,2,0,,,,,
27,2016,1,,0,,,yes,,
143,2008,1,11,10,,,,,
203,2008,3,5,14,,,,,
58,2008,1,21,8,,,,,
228,1996,10,15,0,,,yes,,
8,2016,1,,1,,,,,
346,2003,10,25,0,,,yes,TRUE,
294,2011,4,,0,,,yes,,
71,2008,2,18,12,,,,,
370,2011,11,,0,,,yes,,
267,2009,11,,0,,,yes,,
229,2002,11,5,0,,,yes,TRUE,
68,2008,1,7,6,,,,,
304,2009,10,,0,,,yes,,
52,2008,3,3,14,,,,,
80,2008,2,18,12,,,,,
146,2008,2,22,16,,,,,
396,2007,11,6,0,,,yes,,
382,2006,5,5,0,,,yes,TRUE,
258,2004,4,21,0,,,yes,TRUE,
162,2007,12,28,8,,,,,
341,1999,11,27,0,,,yes,,
378,2001,11,7,0,,,yes,,
132,2007,12,14,6,,,,,
322,1993,,,0,,,yes,,
84,2007,11,28,0,,,,,
389,2001,11,7,0,,,yes,,
170,2008,1,9,6,,,,,
192,2008,2,6,10,,,,,
330,1999,12,,0,,,yes,,
276,2001,10,,0,,,yes,,
237,1997,10,15,0,,,yes,,
101,2008,1,24,10,,,,,
69,2008,1,21,8,,,,,
262,1994,11,,0,,,yes,,
379,2003,10,27,0,,,yes,TRUE,
323,1993,,,0,,,yes,,
348,2005,4,18,0,,,yes,TRUE,
320,2003,10,25,0,,,yes,TRUE,
337,1996,,,0,,,yes,,
375,2001,11,7,0,,,yes,,
115,2008,3,6,16,,,,,
114,2008,2,21,14,,,,,
60,2008,2,18,12,,,,,
97,2007,11,29,2,,,,,
238,1998,10,15,0,,,yes,,
399,1992,,,0,,,yes,,
108,2007,11,29,2,,,,,
112,2008,1,24,10,,,,,
59,2008,2,4,10,,,,,
268,2007,10,,0,,,yes,,
289,2003,11,,0,,,yes,,
65,2007,11,26,0,,,,,
127,2007,11,28,0,,,,,
124,2008,3,6,16,,,,,
98,2007,12,13,4,,,,,
200,2008,1,23,8,,,,,
329,2003,11,16,0,,,yes,TRUE,
11,2016,1,,0,,,yes,,
44,2007,11,26,0,,,,,
235,2007,11,5,0,,,yes,,
82,2008,3,17,16,,,,,
119,2007,12,27,6,,,,,
306,2009,11,,0,,,yes,,
286,2005,4,16,0,,,yes,TRUE,
376,2006,5,3,0,,,yes,TRUE,
153,2007,12,28,8,,,,,
279,1997,10,,0,,,yes,,
147,2007,11,2,0,,,,,
214,2000,11,6,0,,,yes,,
202,2008,2,20,12,,,,,
338,1997,,,0,,,yes,,
9,2016,1,,0,,,yes,,
358,2007,11,5,0,,,yes,,
79,2008,2,4,10,,,,,
26,2016,1,,1,,,,,
85,2007,11,15,0,,,,,
72,2008,3,3,14,,,,,
281,2000,10,,0,,,yes,,
95,2008,3,6,16,,,,,
232,2002,11,5,0,,,yes,,
259,1999,11,27,0,,,yes,,
77,2008,1,7,6,,,,,
302,2011,4,,0,,,yes,,
172,2008,2,6,10,,,,,
30,2016,1,,1,,,,,
288,2000,10,,0,,,yes,,
21,2016,1,,0,,,yes,,
131,2007,11,30,4,,,,,
3,2016,1,,0,,,yes,,
324,1997,,,0,,,yes,,
198,2007,12,26,4,,,,,
17,2016,1,,0,,,yes,,
310,2009,10,,0,,,yes,,
212,2000,,,0,,,yes,,
28,2016,1,,1,,,,,
37,2016,1,,0,,,yes,,
353,2003,10,18,0,,,yes,,
249,1998,,,0,,,yes,,
398,1992,,,0,,,,,
255,2000,,,0,,,yes,,
388,2006,5,5,0,,,yes,TRUE,
165,2008,2,8,14,,,,,
56,2007,12,24,4,,,,,
151,2007,11,30,4,,,,,
296,2011,4,,0,,,yes,,
209,2003,12,5,0,,,yes,TRUE,
74,2007,11,26,0,,,,,
225,2001,11,3,0,,,yes,TRUE,
138,2007,11,2,0,,,,,
34,2016,1,,1,,,,,
205,2007,11,,0,,,,,
245,2000,5,18,0,,,yes,,
67,2007,12,24,4,,,,,
83,2007,11,15,0,,,,,experimental control; no treatments applied; no seed added
333,2005,4,16,0,,,yes,TRUE,
63,2007,11,26,0,,,,,
325,2003,11,14,0,,,yes,TRUE,
90,2007,12,27,6,,,,,
395,2003,10,25,0,,,yes,TRUE,
174,2008,3,5,14,,,,,
216,2000,11,6,0,,,yes,,
45,2007,11,26,0,,,,,
387,2000,5,,0,,,yes,,
295,2011,4,,0,,,yes,,
213,2000,11,6,0,,,yes,,
134,2008,1,11,10,,,,,
274,2001,10,,0,,,yes,,
334,2005,4,18,0,,,yes,TRUE,
144,2008,1,25,12,,,,,
39,2016,1,,0,,,yes,,
163,2008,1,11,10,,,,,
168,2007,12,12,2,,,,,
223,2001,11,4,0,,,yes,TRUE,
