treatmentid,type
1,hand
3,hand
5,hand
7,hand
9,hand
11,hand
13,hand
15,hand
17,hand
19,hand
21,hand
23,hand
25,hand
27,hand
29,hand
31,hand
33,hand
35,hand
37,hand
39,hand
43,drill
44,hand
45,hand
54,drill
63,drill
64,hand
65,drill
74,hand
84,drill
85,drill
86,hand
87,hand
96,drill
105,drill
106,hand
107,drill
116,hand
126,drill
127,hand
128,hand
129,hand
138,drill
147,drill
148,hand
149,drill
158,hand
167,hand
176,drill
185,drill
186,hand
187,drill
196,hand
205,unknown
206,unknown
207,unknown
208,drill
209,broadcast
209,drill
210,broadcast
211,broadcast
212,broadcast
213,broadcast
214,broadcast
215,broadcast
216,broadcast
217,broadcast
218,broadcast
219,broadcast
220,broadcast
220,drill
221,broadcast
222,broadcast
222,hand
223,broadcast
224,broadcast
225,broadcast
226,broadcast
226,hand
227,broadcast
227,drill
228,unknown
229,drill
230,broadcast
230,drill
231,broadcast
231,drill
232,drill
233,drill
234,broadcast
234,drill
235,broadcast
235,drill
236,broadcast
236,drill
237,unknown
238,unknown
239,unknown
240,broadcast
241,broadcast
242,broadcast
242,drill
243,broadcast
244,broadcast
244,drill
245,broadcast
246,broadcast
247,unknown
248,unknown
249,unknown
250,unknown
251,unknown
252,unknown
253,broadcast
253,drill
254,broadcast
255,broadcast
256,broadcast
257,broadcast
258,broadcast
258,drill
259,broadcast
260,broadcast
261,drill
261,hand
262,drill
263,broadcast
263,drill
264,broadcast
264,drill
265,broadcast
266,broadcast
267,broadcast
267,drill
268,broadcast
269,broadcast
269,drill
270,broadcast
270,drill
271,broadcast
272,broadcast
273,broadcast
273,drill
274,broadcast
275,broadcast
275,drill
276,broadcast
277,broadcast
278,broadcast
279,broadcast
280,broadcast
281,broadcast
282,broadcast
283,broadcast
284,broadcast
285,broadcast
286,broadcast
286,drill
287,broadcast
288,broadcast
289,broadcast
290,broadcast
291,broadcast
291,drill
292,broadcast
293,broadcast
293,drill
294,broadcast
294,drill
295,broadcast
295,drill
296,broadcast
296,drill
297,broadcast
297,drill
298,broadcast
298,drill
299,broadcast
299,drill
300,broadcast
300,drill
301,drill
302,broadcast
302,drill
303,broadcast
303,drill
304,broadcast
304,drill
305,broadcast
305,drill
306,broadcast
306,drill
307,broadcast
307,drill
308,broadcast
308,drill
309,broadcast
309,drill
310,broadcast
310,drill
311,broadcast
311,drill
312,broadcast
312,drill
313,drill
314,broadcast
314,drill
315,broadcast
315,drill
316,drill
316,hand
317,drill
317,hand
318,broadcast
318,drill
319,broadcast
319,drill
320,broadcast
320,drill
321,broadcast
322,drill
323,drill
324,drill
325,broadcast
325,drill
326,broadcast
327,broadcast
327,drill
328,broadcast
328,hand
329,drill
329,hand
330,hand
331,broadcast
332,broadcast
332,drill
333,broadcast
333,drill
334,broadcast
334,drill
335,drill
336,drill
337,unknown
338,unknown
339,broadcast
340,hand
341,hand
342,broadcast
343,broadcast
343,drill
344,broadcast
344,drill
345,drill
346,drill
347,drill
348,drill
349,drill
350,unknown
351,drill
352,broadcast
353,broadcast
353,drill
354,broadcast
355,drill
356,drill
357,drill
358,drill
359,broadcast
360,drill
361,unknown
362,drill
363,drill
364,broadcast
364,drill
365,broadcast
365,drill
366,broadcast
366,drill
367,broadcast
367,drill
368,broadcast
368,drill
369,broadcast
369,drill
370,broadcast
370,drill
371,broadcast
372,broadcast
373,broadcast
374,broadcast
374,drill
375,broadcast
375,hand
376,broadcast
376,drill
377,broadcast
377,drill
378,broadcast
379,broadcast
379,drill
380,hand
381,broadcast
381,drill
382,broadcast
382,drill
383,broadcast
383,drill
384,broadcast
384,drill
385,broadcast
385,drill
386,drill
387,broadcast
388,broadcast
388,drill
389,hand
390,broadcast
391,hand
392,hand
393,broadcast
394,broadcast
395,broadcast
395,drill
396,broadcast
396,drill
397,broadcast
397,drill
398,unknown
399,unknown
400,broadcast
