covercropid,treatmentid,speciesid,amount,units,notes
65,384,1,,,"Cover crop present; species, amount, and units not reported."
70,394,1,,,"Cover crop present; species, amount, and units not reported."
41,314,1,,,"Cover crop present; species, amount, and units not reported."
66,386,1,,,"Cover crop present; species, amount, and units not reported."
52,345,1,,,"Cover crop present; species, amount, and units not reported."
15,227,1,,,"Cover crop present; species, amount, and units not reported."
22,239,1,,,"Cover crop present; species, amount, and units not reported."
1,210,1,,,"Cover crop present; species, amount, and units not reported."
25,244,1,,,"Cover crop present; species, amount, and units not reported."
54,357,1,,,"Cover crop present; species, amount, and units not reported."
31,251,1,,,"Cover crop present; species, amount, and units not reported."
42,315,1,,,"Cover crop present; species, amount, and units not reported."
38,297,1,,,"Cover crop present; species, amount, and units not reported."
56,361,1,,,"Cover crop present; species, amount, and units not reported."
18,233,1,,,"Cover crop present; species, amount, and units not reported."
72,400,1,,,"Cover crop present; species, amount, and units not reported."
57,373,1,,,"Cover crop present; species, amount, and units not reported."
23,241,1,,,"Cover crop present; species, amount, and units not reported."
50,343,1,,,"Cover crop present; species, amount, and units not reported."
24,243,1,,,"Cover crop present; species, amount, and units not reported."
51,344,1,,,"Cover crop present; species, amount, and units not reported."
47,335,1,,,"Cover crop present; species, amount, and units not reported."
64,383,1,,,"Cover crop present; species, amount, and units not reported."
11,222,1,,,"Cover crop present; species, amount, and units not reported."
62,381,1,,,"Cover crop present; species, amount, and units not reported."
32,254,1,,,"Cover crop present; species, amount, and units not reported."
60,377,1,,,"Cover crop present; species, amount, and units not reported."
8,217,1,,,"Cover crop present; species, amount, and units not reported."
30,250,1,,,"Cover crop present; species, amount, and units not reported."
44,319,1,,,"Cover crop present; species, amount, and units not reported."
16,228,1,,,"Cover crop present; species, amount, and units not reported."
53,346,1,,,"Cover crop present; species, amount, and units not reported."
63,382,1,,,"Cover crop present; species, amount, and units not reported."
61,378,1,,,"Cover crop present; species, amount, and units not reported."
20,237,1,,,"Cover crop present; species, amount, and units not reported."
45,320,1,,,"Cover crop present; species, amount, and units not reported."
48,337,1,,,"Cover crop present; species, amount, and units not reported."
21,238,1,,,"Cover crop present; species, amount, and units not reported."
37,286,1,,,"Cover crop present; species, amount, and units not reported."
59,376,1,,,"Cover crop present; species, amount, and units not reported."
5,214,1,,,"Cover crop present; species, amount, and units not reported."
49,338,1,,,"Cover crop present; species, amount, and units not reported."
17,232,1,,,"Cover crop present; species, amount, and units not reported."
46,324,1,,,"Cover crop present; species, amount, and units not reported."
3,212,1,,,"Cover crop present; species, amount, and units not reported."
29,249,1,,,"Cover crop present; species, amount, and units not reported."
33,255,1,,,"Cover crop present; species, amount, and units not reported."
68,388,1,,,"Cover crop present; species, amount, and units not reported."
14,225,1,,,"Cover crop present; species, amount, and units not reported."
26,245,1,,,"Cover crop present; species, amount, and units not reported."
71,395,1,,,"Cover crop present; species, amount, and units not reported."
7,216,1,,,"Cover crop present; species, amount, and units not reported."
67,387,1,,,"Cover crop present; species, amount, and units not reported."
4,213,1,,,"Cover crop present; species, amount, and units not reported."
12,223,1,,,"Cover crop present; species, amount, and units not reported."
69,393,1,,,"Cover crop present; species, amount, and units not reported."
10,221,1,,,"Cover crop present; species, amount, and units not reported."
55,360,1,,,"Cover crop present; species, amount, and units not reported."
58,374,1,,,"Cover crop present; species, amount, and units not reported."
13,224,1,,,"Cover crop present; species, amount, and units not reported."
43,318,1,,,"Cover crop present; species, amount, and units not reported."
36,275,1,,,"Cover crop present; species, amount, and units not reported."
27,247,1,,,"Cover crop present; species, amount, and units not reported."
39,308,1,,,"Cover crop present; species, amount, and units not reported."
40,313,1,,,"Cover crop present; species, amount, and units not reported."
28,248,1,,,"Cover crop present; species, amount, and units not reported."
9,218,1,,,"Cover crop present; species, amount, and units not reported."
19,234,1,,,"Cover crop present; species, amount, and units not reported."
2,211,1,,,"Cover crop present; species, amount, and units not reported."
34,256,1,,,"Cover crop present; species, amount, and units not reported."
35,264,1,,,"Cover crop present; species, amount, and units not reported."
6,215,1,,,"Cover crop present; species, amount, and units not reported."
