treatment_irrigationid,treatmentid,type,amount,units,notes
172,184,irrigation,20,mm/area applied,
66,51,irrigation,20,mm/area applied,
81,70,irrigation,20,mm/area applied,
175,190,irrigation,20,mm/area applied,
158,169,irrigation,20,mm/area applied,
97,92,irrigation,20,mm/area applied,
168,180,irrigation,20,mm/area applied,
51,22,irrigation,80,mm/area applied,evenly applied during four events over seven days
147,156,irrigation,20,mm/area applied,
181,197,irrigation,20,mm/area applied,
130,135,irrigation,20,mm/area applied,
162,173,irrigation,20,mm/area applied,
84,73,irrigation,20,mm/area applied,
107,103,irrigation,20,mm/area applied,
174,189,irrigation,20,mm/area applied,
117,117,irrigation,20,mm/area applied,
121,121,irrigation,20,mm/area applied,
151,161,irrigation,20,mm/area applied,
93,88,irrigation,20,mm/area applied,
173,188,irrigation,20,mm/area applied,
114,113,irrigation,20,mm/area applied,
60,40,irrigation,160,mm/area applied,evenly applied during four events over seven days
120,120,irrigation,20,mm/area applied,
63,48,irrigation,20,mm/area applied,
71,57,irrigation,20,mm/area applied,
75,61,irrigation,20,mm/area applied,
91,81,irrigation,20,mm/area applied,
150,160,irrigation,20,mm/area applied,
188,204,irrigation,20,mm/area applied,
108,104,irrigation,20,mm/area applied,
160,171,irrigation,20,mm/area applied,
96,91,irrigation,20,mm/area applied,
167,179,irrigation,20,mm/area applied,
42,4,irrigation,160,mm/area applied,evenly applied during four events over seven days
169,181,irrigation,20,mm/area applied,
185,201,irrigation,20,mm/area applied,
45,10,irrigation,120,mm/area applied,evenly applied during four events over seven days
43,6,irrigation,120,mm/area applied,evenly applied during four events over seven days
98,93,irrigation,20,mm/area applied,
94,89,irrigation,20,mm/area applied,
164,175,irrigation,20,mm/area applied,
65,50,irrigation,20,mm/area applied,
47,14,irrigation,120,mm/area applied,evenly applied during four events over seven days
77,66,irrigation,20,mm/area applied,
110,109,irrigation,20,mm/area applied,
146,155,irrigation,20,mm/area applied,
128,133,irrigation,20,mm/area applied,
180,195,irrigation,20,mm/area applied,
41,2,irrigation,200,mm/area applied,evenly applied during four events over seven days
183,199,irrigation,20,mm/area applied,
85,75,irrigation,20,mm/area applied,
156,166,irrigation,20,mm/area applied,
136,142,irrigation,20,mm/area applied,
143,152,irrigation,20,mm/area applied,
59,38,irrigation,160,mm/area applied,evenly applied during four events over seven days
178,193,irrigation,20,mm/area applied,
154,164,irrigation,20,mm/area applied,
88,78,irrigation,20,mm/area applied,
149,159,irrigation,20,mm/area applied,
62,47,irrigation,20,mm/area applied,
50,20,irrigation,80,mm/area applied,evenly applied during four events over seven days
165,177,irrigation,20,mm/area applied,
170,182,irrigation,20,mm/area applied,
86,76,irrigation,20,mm/area applied,
49,18,irrigation,80,mm/area applied,evenly applied during four events over seven days
111,110,irrigation,20,mm/area applied,
166,178,irrigation,20,mm/area applied,
139,145,irrigation,20,mm/area applied,
137,143,irrigation,20,mm/area applied,
187,203,irrigation,20,mm/area applied,
72,58,irrigation,20,mm/area applied,
44,8,irrigation,120,mm/area applied,evenly applied during four events over seven days
82,71,irrigation,20,mm/area applied,
79,68,irrigation,20,mm/area applied,
67,52,irrigation,20,mm/area applied,
90,80,irrigation,20,mm/area applied,
140,146,irrigation,20,mm/area applied,
152,162,irrigation,20,mm/area applied,
127,132,irrigation,20,mm/area applied,
159,170,irrigation,20,mm/area applied,
177,192,irrigation,20,mm/area applied,
105,101,irrigation,20,mm/area applied,
80,69,irrigation,20,mm/area applied,
116,115,irrigation,20,mm/area applied,
115,114,irrigation,20,mm/area applied,
74,60,irrigation,20,mm/area applied,
101,97,irrigation,20,mm/area applied,
109,108,irrigation,20,mm/area applied,
113,112,irrigation,20,mm/area applied,
73,59,irrigation,20,mm/area applied,
124,124,irrigation,20,mm/area applied,
102,98,irrigation,20,mm/area applied,
184,200,irrigation,20,mm/area applied,
92,82,irrigation,20,mm/area applied,
119,119,irrigation,20,mm/area applied,
144,153,irrigation,20,mm/area applied,
186,202,irrigation,20,mm/area applied,
89,79,irrigation,20,mm/area applied,
53,26,irrigation,80,mm/area applied,evenly applied during four events over seven days
83,72,irrigation,20,mm/area applied,
100,95,irrigation,20,mm/area applied,
87,77,irrigation,20,mm/area applied,
161,172,irrigation,20,mm/area applied,
55,30,irrigation,200,mm/area applied,evenly applied during four events over seven days
126,131,irrigation,20,mm/area applied,
182,198,irrigation,20,mm/area applied,
54,28,irrigation,200,mm/area applied,evenly applied during four events over seven days
155,165,irrigation,20,mm/area applied,
70,56,irrigation,20,mm/area applied,
142,151,irrigation,20,mm/area applied,
57,34,irrigation,160,mm/area applied,evenly applied during four events over seven days
78,67,irrigation,20,mm/area applied,
95,90,irrigation,20,mm/area applied,
163,174,irrigation,20,mm/area applied,
129,134,irrigation,20,mm/area applied,
138,144,irrigation,20,mm/area applied,
153,163,irrigation,20,mm/area applied,
157,168,irrigation,20,mm/area applied,
58,36,irrigation,160,mm/area applied,evenly applied during four events over seven days
106,102,irrigation,20,mm/area applied,
118,118,irrigation,20,mm/area applied,
112,111,irrigation,20,mm/area applied,
48,16,irrigation,80,mm/area applied,evenly applied during four events over seven days
76,62,irrigation,20,mm/area applied,
123,123,irrigation,20,mm/area applied,
179,194,irrigation,20,mm/area applied,
103,99,irrigation,20,mm/area applied,
61,46,irrigation,20,mm/area applied,
148,157,irrigation,20,mm/area applied,
68,53,irrigation,20,mm/area applied,
56,32,irrigation,200,mm/area applied,evenly applied during four events over seven days
171,183,irrigation,20,mm/area applied,
104,100,irrigation,20,mm/area applied,
131,136,irrigation,20,mm/area applied,
141,150,irrigation,20,mm/area applied,
133,139,irrigation,20,mm/area applied,
134,140,irrigation,20,mm/area applied,
46,12,irrigation,120,mm/area applied,evenly applied during four events over seven days
132,137,irrigation,20,mm/area applied,
52,24,irrigation,200,mm/area applied,evenly applied during four events over seven days
176,191,irrigation,20,mm/area applied,
99,94,irrigation,20,mm/area applied,
122,122,irrigation,20,mm/area applied,
135,141,irrigation,20,mm/area applied,
145,154,irrigation,20,mm/area applied,
64,49,irrigation,20,mm/area applied,
69,55,irrigation,20,mm/area applied,
125,130,irrigation,20,mm/area applied,
