treatmentid,type
1,tilling
3,tilling
5,tilling
7,tilling
9,tilling
11,tilling
13,tilling
15,tilling
17,tilling
19,tilling
21,tilling
23,tilling
25,tilling
27,tilling
29,tilling
31,tilling
33,tilling
35,tilling
37,tilling
39,tilling
208,discing
208,harrowing
208,scarification
209,discing
209,harrowing
209,scarification
213,ripping
214,ripping
215,ripping
216,ripping
217,ripping
218,scarification
219,scarification
220,discing
220,harrowing
220,scarification
221,scarification
222,scarification
223,scarification
224,scarification
225,ripping
226,scarification
227,harrowing
227,scarification
228,discing
228,harrowing
228,scarification
229,harrowing
229,scarification
231,discing
231,harrowing
231,scarification
232,scarification
233,scarification
234,scarification
235,discing
235,scarification
236,scarification
237,discing
237,harrowing
237,scarification
238,discing
238,harrowing
238,scarification
239,discing
239,harrowing
239,scarification
240,discing
240,harrowing
240,scarification
241,scarification
242,discing
242,harrowing
242,scarification
243,scarification
244,ripping
245,ripping
246,ripping
248,discing
248,harrowing
248,scarification
250,discing
250,harrowing
250,scarification
251,discing
251,harrowing
251,scarification
253,discing
253,harrowing
253,scarification
254,ripping
255,ripping
256,ripping
260,scarification
261,discing
261,scarification
262,discing
263,discing
263,packing
264,ripping
265,discing
265,packing
266,discing
266,packing
267,discing
267,packing
268,discing
268,packing
269,discing
270,discing
270,packing
271,discing
271,packing
272,discing
272,packing
273,discing
273,packing
274,discing
274,packing
275,ripping
276,discing
276,packing
277,discing
277,packing
278,discing
278,packing
279,discing
279,packing
280,discing
280,packing
281,discing
281,packing
282,discing
282,packing
283,discing
283,packing
284,discing
284,packing
285,discing
285,packing
287,discing
287,packing
288,discing
288,packing
289,discing
289,packing
290,discing
290,packing
291,discing
292,discing
292,packing
293,discing
293,packing
294,discing
294,packing
296,discing
296,packing
298,discing
298,packing
299,discing
299,packing
300,discing
300,packing
301,discing
301,packing
302,discing
302,packing
303,discing
303,packing
304,discing
304,packing
305,discing
305,packing
306,discing
306,packing
307,discing
307,packing
309,discing
309,packing
310,discing
310,packing
311,discing
311,packing
312,discing
312,packing
313,discing
313,harrowing
313,scarification
316,harrowing
317,ripping
319,ripping
320,ripping
322,discing
322,harrowing
322,scarification
323,discing
323,harrowing
323,scarification
324,discing
324,harrowing
324,scarification
325,discing
325,harrowing
325,scarification
326,discing
326,harrowing
326,scarification
327,discing
327,harrowing
327,scarification
328,discing
328,harrowing
328,scarification
329,discing
329,harrowing
329,scarification
331,discing
331,harrowing
331,scarification
332,discing
332,harrowing
332,scarification
333,discing
333,harrowing
333,scarification
334,discing
334,harrowing
334,scarification
335,discing
335,harrowing
335,scarification
336,discing
336,scarification
337,discing
337,harrowing
337,scarification
339,discing
339,harrowing
339,scarification
340,discing
340,harrowing
340,scarification
341,discing
341,harrowing
341,scarification
342,discing
342,harrowing
342,scarification
343,scarification
344,scarification
345,harrowing
345,scarification
346,discing
346,harrowing
346,scarification
347,harrowing
347,scarification
348,harrowing
348,scarification
349,harrowing
349,scarification
350,scarification
351,scarification
352,ripping
353,ripping
353,scarification
354,ripping
355,discing
355,scarification
356,scarification
357,discing
357,harrowing
357,scarification
358,discing
358,scarification
360,discing
360,harrowing
360,scarification
361,discing
361,harrowing
361,scarification
363,harrowing
363,scarification
364,discing
365,discing
366,discing
367,discing
368,discing
368,harrowing
368,scarification
369,discing
370,discing
373,scarification
374,scarification
375,scarification
376,scarification
377,scarification
378,scarification
379,discing
379,harrowing
379,scarification
380,ripping
381,scarification
382,scarification
383,scarification
384,scarification
385,discing
386,discing
386,harrowing
386,scarification
387,ripping
388,scarification
389,ripping
390,discing
390,harrowing
390,scarification
391,ripping
392,ripping
393,scarification
394,scarification
395,scarification
396,discing
396,scarification
397,discing
