veg_resultid,areaid,time_since_restoration,year,month,day,speciesid,cultivarid,individualid,origin,level,response,metric,notes
1,1,6,2016,,,2726,,,native,species,150,density,
2,2,6,2016,,,2435,,,native,species,187,density,
3,3,6,2016,,,5986,,,native,species,82,density,
4,4,6,2016,,,2435,,,native,species,208,density,
5,5,6,2016,,,2435,,,native,species,227,density,
6,6,6,2016,,,5985,,,native,species,179,density,
7,7,6,2016,,,5985,,,native,species,128,density,
8,8,6,2016,,,5985,,,native,species,143,density,
9,9,6,2016,,,5986,,,native,species,110,density,
10,10,6,2016,,,5986,,,native,species,116,density,
11,11,6,2016,,,5986,,,native,species,134,density,
12,12,6,2016,,,5985,,,native,species,160,density,
13,13,6,2016,,,5985,,,native,species,198,density,
14,14,6,2016,,,5985,,,native,species,176,density,
15,15,6,2016,,,5986,,,native,species,120,density,
16,16,6,2016,,,5986,,,native,species,174,density,
17,17,6,2016,,,2435,,,native,species,252,density,
18,18,6,2016,,,2437,,,native,species,349,density,
19,19,6,2016,,,2437,,,native,species,392,density,
20,20,6,2016,,,2437,,,native,species,400,density,
21,21,6,2016,,,2437,,,native,species,413,density,
22,22,6,2016,,,2437,,,native,species,404,density,
23,23,6,2016,,,2726,,,native,species,129,density,
24,24,6,2016,,,2437,,,native,species,440,density,
25,25,6,2016,,,2726,,,native,species,106,density,
26,26,6,2016,,,2726,,,native,species,112,density,
27,27,6,2016,,,2726,,,native,species,119,density,
28,28,6,2016,,,2435,,,native,species,202,density,
29,29,6,2016,,,2726,,,native,species,116,density,
30,30,6,2016,,,2435,,,native,species,201,density,
31,31,6,2016,,,2435,,,native,species,127,density,
32,32,6,2016,,,2435,,,native,species,282,density,
33,33,6,2016,,,2435,,,native,species,274,density,
34,34,6,2016,,,5986,,,native,species,243,density,
35,35,6,2016,,,5986,,,native,species,202,density,
36,36,6,2016,,,5986,,,native,species,311,density,
37,37,6,2016,,,2437,,,native,species,216,density,
38,38,6,2016,,,2726,,,native,species,75,density,
39,39,6,2016,,,2726,,,native,species,144,density,
40,40,6,2016,,,5985,,,native,species,187,density,
41,41,6,2016,,,2435,,,native,species,228,density,
42,42,6,2016,,,5986,,,native,species,195,density,
43,43,6,2016,,,5985,,,native,species,163,density,
44,44,6,2016,,,5985,,,native,species,217,density,
45,45,6,2016,,,2726,,,native,species,110,density,
46,46,6,2016,,,2435,,,native,species,264,density,
47,47,6,2016,,,5986,,,native,species,191,density,
48,48,6,2016,,,5985,,,native,species,241,density,
49,49,6,2016,,,5986,,,native,species,190,density,
50,50,6,2016,,,5986,,,native,species,268,density,
51,51,6,2016,,,5985,,,native,species,251,density,
52,52,6,2016,,,5985,,,native,species,184,density,
53,53,6,2016,,,2726,,,native,species,92,density,
54,54,6,2016,,,2437,,,native,species,164,density,
55,55,6,2016,,,2437,,,native,species,188,density,
56,56,6,2016,,,2437,,,native,species,188,density,
57,57,6,2016,,,2437,,,native,species,219,density,
58,58,6,2016,,,2437,,,native,species,210,density,
59,59,6,2016,,,2437,,,native,species,304,density,
60,60,6,2016,,,2726,,,native,species,144,density,
61,61,6,2016,,,2726,,,native,species,140,density,
62,62,6,2016,,,2435,,,native,species,249,density,
63,63,6,2016,,,2726,,,native,species,96,density,
64,64,6,2016,,,5985,,,native,species,156,density,
65,65,6,2016,,,2435,,,native,species,209,density,
66,66,6,2016,,,5986,,,native,species,215,density,
67,67,6,2016,,,2435,,,native,species,214,density,
68,68,6,2016,,,5986,,,native,species,139,density,
69,69,6,2016,,,2435,,,native,species,271,density,
70,70,6,2016,,,5986,,,native,species,154,density,
71,71,6,2016,,,5986,,,native,species,227,density,
