project_code,sheet,DB,projectid,studytype,contributor,email,continent,country,state,vegmetric,spatialmetric,surveyunit,tsrfirst,tsrlast,timepoints,community,refdata,availability,notes,siteid,sitename,latitude,longitude,refecosystem,USDA.class,USDA.subclass,USDA.subsubclass,landcover,growingseasonstart,growingseasonend,sand,silt,clay,soildescription,soildepth,elevation,aspect,slope,precipc,tempc,aridity,temp,drange,iso,tseason,mtwarm,mtcold,trange,twetq,tdryq,twarmq,tcoldq,precip,pwet,pdry,pseason,pwetq,pdryq,pwarmq,pcoldq,disturbance,minetype,ogtype,invasivespe,invasiveform,treatmentid,restorationtype,tsr_start_year,trt_year,trt_tsr,disturbanceendyear,treatmentmonth,treatmentday,othertreatments,treatment_category,treatment_type,treatment_amount,treatment_units,tsr,year,month,day,speciesid,cultivarid,trt,mix_trt,treated_richness,rate,unit,viability,seedpretreatment,seed_origin,source,seeddist,id,block,replicate,speciesorigin,response,responselevel,responsemetric,measurementscale,measurementmetric,X3,papernumber,author,pubyear,pubtitle,pubjournal,pubDOI,pubURL,pubcorrespondingauthoremail,datadateofdownload,citationofdatasource,creativecommonsliscence,conditionsforuseandrepublishing
GAZP1,study,gazp,1,artificial plots,todd erickson,todd.erickson@dbca.wa.gov.au,australia,australia,western australia,density,plot,8,6,6,1,seeded community,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,site,gazp,1,,,,,,,,,,,,,,,,,176,,-23.3614,119.7066,grassland,3_desert and semidesert,3a_warm desert and semidesert woodland scrub and grassland,3a2_warm desert and semidesert scrub and grassland,h,,,,,,,,552,0.0123381843200101,5.78727614519712,321,24,0.0922878384590149,24.1,14.3,4.6,598.6,38.5,7.8,30.7,30.4,25,31,15.9,289,65,5,72,151,19,145,46,mining,iron ore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_1,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_10,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_11,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_12,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_13,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_13,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_14,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_14,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_15,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_15,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_16,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_16,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_17,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_17,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_18,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_18,seeding,2016,2016,1,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZP1,treatments,gazp,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_19,seeding,2016,2016,0,,1,,,grading,grading,applied,treatment presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
