project_code,sheet,original_rows,reconstructed_rows,row_count_difference,familiar_columns,exact_normalized_rows,missing_rows,unexpected_rows,field_mismatches,exact_sheet_match
GAZP1,study,1,1,0,18,0,1,1,2,FALSE
GAZP1,site,1,1,0,48,0,1,1,29,FALSE
GAZP1,treatments,120,100,-20,15,80,40,20,0,FALSE
GAZP1,timepoints,20,20,0,6,0,20,20,20,FALSE
GAZP1,cultivars,0,0,0,6,0,0,0,0,TRUE
GAZP1,trtrates,100,100,0,16,0,100,100,0,FALSE
GAZP1,refs,0,0,0,14,0,0,0,0,TRUE
GAZP1,vegresults,625,625,0,14,625,0,0,0,TRUE
GAZP2,study,1,1,0,18,0,1,1,3,FALSE
GAZP2,site,4,4,0,48,0,4,4,120,FALSE
GAZP2,treatments,180,180,0,15,48,132,132,328,FALSE
GAZP2,timepoints,72,72,0,6,0,72,72,72,FALSE
GAZP2,trtrates,168,168,0,16,0,168,168,0,FALSE
GAZP2,refs,0,0,0,14,0,0,0,0,TRUE
GAZP2,vegresults,576,576,0,14,576,0,0,0,TRUE
GAZP3,study,1,1,0,18,0,1,1,3,FALSE
GAZP3,site,1,1,0,48,0,1,1,30,FALSE
GAZP3,treatments,3,3,0,15,3,0,0,0,TRUE
GAZP3,timepoints,9,9,0,6,0,9,9,9,FALSE
GAZP3,trtrates,9,9,0,16,0,9,9,0,FALSE
GAZP3,refs,0,0,0,14,0,0,0,0,TRUE
GAZP3,vegresults,81,81,0,14,27,54,54,0,FALSE
GAZP5,study,1,1,0,18,0,1,1,2,FALSE
GAZP5,site,193,193,0,48,0,193,193,5597,FALSE
GAZP5,treatments,1078,1150,72,15,283,795,867,790,FALSE
GAZP5,timepoints,193,193,0,6,193,0,0,0,TRUE
GAZP5,trtrates,4308,2957,-1351,17,0,4308,2957,0,FALSE
GAZP5,refs,1,1,0,14,0,1,1,1,FALSE
GAZP5,vegresults,2772,2772,0,14,1386,1386,1386,0,FALSE
