veg_resultid,areaid,speciesid,cultivarid
1284,941,484,
1290,942,484,
1296,943,484,
1302,944,484,
1308,945,484,
1314,946,484,
1320,947,484,
1326,948,484,
1332,949,484,
1338,950,484,
1344,951,484,
1350,952,484,
1356,953,484,
1362,954,484,
1368,955,484,
1374,956,484,
1380,957,484,
1386,958,484,
1392,959,484,
1398,960,484,
1404,961,484,
1410,962,484,
1416,963,484,
1422,964,484,
1428,965,484,
1434,966,484,
1440,967,484,
1446,968,484,
1452,969,484,
1458,970,484,
1464,971,484,
1470,972,484,
1476,973,484,
1482,974,484,
1488,975,484,
1494,976,484,
1500,977,484,
1506,978,484,
1512,979,484,
1518,980,484,
1524,981,484,
1530,982,484,
1536,983,484,
1542,984,484,
1548,985,484,
1554,986,484,
1560,987,484,
1566,988,484,
1572,989,484,
1578,990,484,
1584,991,484,
1590,992,484,
1596,993,484,
1602,994,484,
1608,995,484,
1614,996,484,
1620,997,484,
1626,998,484,
1632,999,484,
1638,1000,484,
1644,1001,484,
1650,1002,484,
1656,1003,484,
1662,1004,484,
1668,1005,484,
1674,1006,484,
1680,1007,484,
1686,1008,484,
1692,1009,484,
1698,1010,484,
1704,1011,484,
1710,1012,484,
1716,1013,484,
1722,1014,484,
1728,1015,484,
1734,1016,484,
1740,1017,484,
1746,1018,484,
1752,1019,484,
1758,1020,484,
1764,1021,484,
1770,1022,484,
1776,1023,484,
1782,1024,484,
1788,1025,484,
1794,1026,484,
1800,1027,484,
1806,1028,484,
1812,1029,484,
1818,1030,484,
1824,1031,484,
1830,1032,484,
1836,1033,484,
1842,1034,484,
1848,1035,484,
1854,1036,484,
1860,1037,484,
1866,1038,484,
1872,1039,484,
1878,1040,484,
1884,1041,484,
1890,1042,484,
1896,1043,484,
1902,1044,484,
1908,1045,484,
1914,1046,484,
1920,1047,484,
1926,1048,484,
1932,1049,484,
1938,1050,484,
1944,1051,484,
1950,1052,484,
1956,1053,484,
1962,1054,484,
1968,1055,484,
1974,1056,484,
1980,1057,484,
1986,1058,484,
1992,1059,484,
1998,1060,484,
2004,1061,484,
2010,1062,484,
2016,1063,484,
2022,1064,484,
2028,1065,484,
2034,1066,484,
2040,1067,484,
2046,1068,484,
2052,1069,484,
2058,1070,484,
2064,1071,484,
2070,1072,484,
2076,1073,484,
2082,1074,484,
2088,1075,484,
2094,1076,484,
2100,1077,484,
2106,1078,484,
2112,1079,484,
2118,1080,484,
2124,1081,484,
2130,1082,484,
2136,1083,484,
2142,1084,484,
2148,1085,484,
2154,1086,484,
2160,1087,484,
2166,1088,484,
2172,1089,484,
2178,1090,484,
2184,1091,484,
2190,1092,484,
2196,1093,484,
2202,1094,484,
