seedingid,treatmentid,speciesid,cultivarid,rate,unit
292,209,484,,87,seeds/m2
307,210,484,,40,seeds/m2
322,211,484,,56,seeds/m2
338,212,484,,56,seeds/m2
352,213,484,,58,seeds/m2
368,214,484,,58,seeds/m2
384,215,484,,58,seeds/m2
400,216,484,,58,seeds/m2
418,217,484,,56,seeds/m2
432,218,484,,58,seeds/m2
448,219,484,,26,seeds/m2
463,220,484,,303,seeds/m2
484,221,484,,13,seeds/m2
499,222,484,,26,seeds/m2
510,223,484,,13,seeds/m2
536,225,484,,13,seeds/m2
551,226,484,,26,seeds/m2
562,227,484,,30,seeds/m2
578,228,484,,54,seeds/m2
591,229,484,,30,seeds/m2
609,230,484,,190,seeds/m2
624,231,484,,305,seeds/m2
649,232,484,,30,seeds/m2
666,233,484,,30,seeds/m2
684,234,484,,30,seeds/m2
700,235,484,,256,seeds/m2
714,236,484,,256,seeds/m2
726,237,484,,54,seeds/m2
741,238,484,,86,seeds/m2
753,239,484,,87,seeds/m2
766,240,484,,87,seeds/m2
779,241,484,,58,seeds/m2
796,242,484,,86,seeds/m2
813,243,484,,58,seeds/m2
829,244,484,,58,seeds/m2
848,245,484,,58,seeds/m2
864,246,484,,58,seeds/m2
883,247,484,,1385,seeds/m2
898,248,484,,1384,seeds/m2
918,249,484,,86,seeds/m2
931,250,484,,1384,seeds/m2
951,251,484,,1385,seeds/m2
966,252,484,,87,seeds/m2
980,253,484,,303,seeds/m2
1003,254,484,,56,seeds/m2
1017,255,484,,58,seeds/m2
1033,256,484,,58,seeds/m2
1052,257,484,,87,seeds/m2
1060,258,484,,1384,seeds/m2
1075,259,484,,87,seeds/m2
1088,260,484,,13,seeds/m2
1104,262,484,,866,seeds/m2
1118,263,484,,512,seeds/m2
1140,264,484,,1338,seeds/m2
1158,265,484,,340,seeds/m2
1189,267,484,,476,seeds/m2
1206,268,484,,260,seeds/m2
1222,269,484,,260,seeds/m2
1238,270,484,,2439,seeds/m2
1259,271,484,,1154,seeds/m2
1278,272,484,,125,seeds/m2
1296,273,484,,216,seeds/m2
1318,274,484,,1515,seeds/m2
1338,275,484,,56,seeds/m2
1357,276,484,,1515,seeds/m2
1399,279,484,,340,seeds/m2
