source_speciesid,source_tables,source_columns,source_occurrences
Ach_mil,trtrates,speciesid,226
Ame_arb,trtrates,speciesid,4
Art_can,trtrates,speciesid,28
Art_fri,trtrates;vegresults,speciesid,542
Art_lud,trtrates,speciesid,107
Art_tri3,trtrates;vegresults,speciesid,714
Ast_cic,trtrates,speciesid,1
Atr_can,trtrates;vegresults,speciesid,694
Atr_con,trtrates;vegresults,speciesid,512
Atr_gar,trtrates,speciesid,8
Bou_ari,trtrates,speciesid,162
Bou_cur,trtrates,speciesid,146
Cal_lon,trtrates,speciesid,13
Cle_ser,trtrates,speciesid,41
Dal_can,trtrates,speciesid,14
Dal_pur,trtrates,speciesid,171
Ech_ang,trtrates,speciesid,21
Ech_pur,trtrates,speciesid,5
Ely_can,trtrates,speciesid,26
Ely_ely,trtrates,speciesid,38
Ely_lan,trtrates,speciesid,156
Ely_smi,trtrates,speciesid,226
Ely_spi,trtrates,speciesid,217
Ely_tra,trtrates,speciesid,182
Eri_nau,trtrates;vegresults,speciesid,579
Fes_ovi,trtrates,speciesid,23
Gai_ari,trtrates,speciesid,23
Hel_ann,trtrates,speciesid,6
Jun_com,trtrates,speciesid,1
Koe_mac,trtrates,speciesid,113
Kra_cer1,trtrates;vegresults,speciesid,653
Ley_cin,trtrates,speciesid,46
Lin_lew,trtrates,speciesid,5
Lin_per,trtrates,speciesid,38
Med_fal,trtrates,speciesid,6
Med_sat,trtrates,speciesid,86
Nas_vir,trtrates,speciesid,234
Ono_vic,trtrates,speciesid,74
Ory_hym,trtrates,speciesid,87
Pan_vir,trtrates,speciesid,48
Pin_pon,trtrates,speciesid,1
Pse_rup,trtrates,speciesid,66
Pse_rup1,trtrates,speciesid,17
Rat_col,trtrates,speciesid,121
Rhu_tri,trtrates,speciesid,30
Ros_woo,trtrates,speciesid,14
Sar_ver,trtrates,speciesid,43
Sch_sco,trtrates,speciesid,121
Sph_coc,trtrates,speciesid,73
Spo_air,trtrates,speciesid,36
Spo_cry,trtrates,speciesid,23
Sti_com,trtrates,speciesid,144
Sym_alb,trtrates,speciesid,14
The_rho,trtrates,speciesid,27
Vic_sat,trtrates,speciesid,45
Yuc_gla,trtrates,speciesid,26
