artifact_key,local_file,storage_key,file_hash,file_size_bytes,artifact_type,artifact_subtype,project_codes
correction_01_code,R/supabase_correction_code/01_backfill_GAZP1_GAZP3_timepoint_month_day.R,GAZP/corrections/20260814/shared/code/01_backfill_GAZP1_GAZP3_timepoint_month_day.R,cff05dd205c5148e9a2a49705b8432a64593404d8ad32d37a7117b107c039d88,21162,transformation_code,timepoint month/day backfill,GAZP1;GAZP2;GAZP3
correction_01_report,docs/supabase_correction_reports/20260814_112303_GAZP1_GAZP3_timepoint_month_day_apply/correction_report.md,GAZP/corrections/20260814/shared/reports/timepoint_month_day/correction_report.md,ec5720a6d09dd503cfd846279afe6e3115396db0afdaaa367eb8c0b00487b8a4,1096,notes,timepoint correction report,GAZP1;GAZP2;GAZP3
correction_01_rows,docs/supabase_correction_reports/20260814_112303_GAZP1_GAZP3_timepoint_month_day_apply/timepoint_month_day_correction_rows.csv,GAZP/corrections/20260814/shared/reports/timepoint_month_day/timepoint_month_day_correction_rows.csv,e71245be73582022357d85c1a4ea0c7e102ac4fcca12d4c25f97ba111eb925d9,105542,processed_output,timepoint corrected rows,GAZP1;GAZP2;GAZP3
correction_01_summary,docs/supabase_correction_reports/20260814_112303_GAZP1_GAZP3_timepoint_month_day_apply/timepoint_month_day_correction_summary.csv,GAZP/corrections/20260814/shared/reports/timepoint_month_day/timepoint_month_day_correction_summary.csv,dd4c387d92951038ca250181beb7cba6519d58dfbe35bbf43b3eb61d2c59e3f1,264,processed_output,timepoint correction summary,GAZP1;GAZP2;GAZP3
correction_02_code,R/supabase_correction_code/02_correct_GAZP5_Art_tri3_subspecies.R,GAZP/corrections/20260814/GAZP5/code/02_correct_GAZP5_Art_tri3_subspecies.R,92a97c70795fe29cc1eb26064ede91e54d9304c56ea6d6a3abcd6647c9c4a927,29663,transformation_code,Art_tri3 taxonomy correction,GAZP5
correction_02_report,docs/supabase_correction_reports/20260814_121118_GAZP5_Art_tri3_subspecies_apply/correction_report.md,GAZP/corrections/20260814/GAZP5/reports/Art_tri3/correction_report.md,577953294fb00a63e31ca2130309589f0345f44d6b90a427f9d6c207d6dfde3e,1663,notes,Art_tri3 correction report,GAZP5
correction_02_summary,docs/supabase_correction_reports/20260814_121118_GAZP5_Art_tri3_subspecies_apply/Art_tri3_correction_summary.csv,GAZP/corrections/20260814/GAZP5/reports/Art_tri3/Art_tri3_correction_summary.csv,f2dedb4da15cdc2554d1540180d96ae7b4345107ed6b7eb36e7f8d2f44446a5d,467,processed_output,Art_tri3 correction summary,GAZP5
global_species_crosswalk_before,docs/supabase_correction_reports/20260814_121118_GAZP5_Art_tri3_subspecies_apply/20260605_sp_crosswalk_pre_Art_tri3_correction_20260814_121118.csv,species/corrections/20260814/20260605_sp_crosswalk_pre_Art_tri3_correction_20260814_121118.csv,b5c0733510469fde614cc526c1ee813d85a9bba5d03a7026a1dc5778e88632f2,164824,mapping_table,global species crosswalk before correction,GAZP5
global_species_crosswalk_corrected,crosswalk_tables/20260605_sp_crosswalk.csv,species/corrections/20260814/20260605_sp_crosswalk.csv,15a2a259ce33691b0db82176973f6e677145092f0171823a7c7ac7f1a29236fa,164833,mapping_table,corrected global species crosswalk,GAZP5
historical_species_vocabulary,data/harmonized/GRP_archives/species_long_traits3-2021-October-26.xlsx,GAZP/corrections/20260814/GAZP5/evidence/species_crosswalk/species_long_traits3-2021-October-26.xlsx,fa9b1fa0242949fc93440f7b3431a9b2d6b7c9b9dfb7eac183ea9f2d5b4188cb,358171,metadata,historical GRP species vocabulary,GAZP5
