artifact_key,project_code,step_order,artifact_role
correction_01_code,GAZP1,2,code
correction_01_code,GAZP2,2,code
correction_01_code,GAZP3,2,code
correction_01_report,GAZP1,3,documentation
correction_01_report,GAZP2,3,documentation
correction_01_report,GAZP3,3,documentation
correction_01_rows,GAZP1,3,output
correction_01_rows,GAZP2,3,output
correction_01_rows,GAZP3,3,output
correction_01_summary,GAZP1,3,output
correction_01_summary,GAZP2,3,output
correction_01_summary,GAZP3,3,output
correction_02_code,GAZP5,2,code
correction_02_report,GAZP5,4,documentation
correction_02_summary,GAZP5,4,output
global_species_crosswalk_before,GAZP5,1,input
global_species_crosswalk_corrected,GAZP5,2,mapping
historical_species_vocabulary,GAZP5,1,lookup
correction_03_code,GAZP5,3,code
GAZP5_species_crosswalk,GAZP5,3,mapping
correction_03_report,GAZP5,4,documentation
correction_03_summary,GAZP5,4,output
correction_03_usage,GAZP5,4,output
correction_03_taxonomy_flags,GAZP5,4,output
correction_03_non_taxonomic,GAZP5,4,output
correction_04_code,GAZP1,4,code
correction_04_code,GAZP2,4,code
correction_04_code,GAZP3,4,code
correction_04_code,GAZP5,5,code
