database,projectid,project_code,crosswalk_row_type,rule_source_table,source_table,source_column,source_value_type,source_value,source_occurrences,speciesid,accepted_species_code,accepted_species_name,mapping_status,reverse_mapping_rule,match_rate,match_unit,contextual_rule_validated,global_source_code_count,global_source_codes,review_required,reviewed,decision_note
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Cal_cil,375,1895,Cal_cil,Calandrinia ciliata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Ely_gla,225,5574,Ely_gla,Elymus glaucus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,G_Ely_spp,75,5584,G_Ely_spp,Elymus spp,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Gri_hir,300,803,Gri_hir,Grindelia hirsutula,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Ley_tri,225,5712,Ley_tri,Leymus triticoides,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Mel_cal,375,5721,Mel_cal,Melica californica,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Nas_pul,300,5758,Nas_pul,Nassella pulchra,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Tri_bif,375,3019,Tri_bif,Trifolium bifidum,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,vegresults,speciesid,species_code,Tri_wil,375,3061,Tri_wil,Trifolium willdenovii,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Cal_cil,4,1895,Cal_cil,Calandrinia ciliata,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Ely_gla,4,5574,Ely_gla,Elymus glaucus,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Gri_hir,4,803,Gri_hir,Grindelia hirsutula,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Ley_tri,4,5712,Ley_tri,Leymus triticoides,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Mel_cal,4,5721,Mel_cal,Melica californica,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Nas_pul,4,5758,Nas_pul,Nassella pulchra,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Tri_bif,4,3019,Tri_bif,Trifolium bifidum,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
GAZP,10,GAZP10,default,all_relevant_tables,trtrates,speciesid,species_code,Tri_wil,4,3061,Tri_wil,Trifolium willdenovii,accepted_code_mapping,speciesid,,,TRUE,,,FALSE,FALSE,Resolved through the global species-code crosswalk.
