table,rows,status
project,1,built
project_data_accessibility,1,built
location,1,built
project_location,1,built
site,1,built
project_site,1,built
paper,2,built
project_paper,2,built
author_contributor,1,built
paper_author,2,built
project_contributor,1,built
project_vegmetric,1,built
site_classification,1,built
site_disturbance,1,built
site_ref_ecosystem,1,built
site_soil,1,built
site_invasive,0,built
area,75,built
treatment,4,built
area_treatment,114,built
treatment_application,4,built
seed_mix,4,built
seeding,32,built
seeding_pretreatment,0,built
veg_result,2625,built
treatment_cover_crop,0,built
treatment_erosion,0,built
treatment_fertilization,0,built
treatment_grazer,0,built
treatment_herbicide,0,built
treatment_invasion,0,built
treatment_irrigation,0,built
treatment_material,0,built
treatment_medium,0,built
treatment_mowing,0,built
treatment_prep,0,built
