seedingid,treatmentid,mix,speciesid,cultivarid,type,rate,unit,viability,origin,source,seed_distance,seed_mixid,notes
4579,539,known,1895,,seeding,100,seeds/m2,PLS,native,,,350,
4580,539,known,5574,,seeding,94,seeds/m2,PLS,native,,,350,
4581,539,known,803,,seeding,26,seeds/m2,PLS,native,,,350,
4582,539,known,5712,,seeding,82,seeds/m2,PLS,native,,,350,
4583,539,known,5721,,seeding,188,seeds/m2,PLS,native,,,350,
4584,539,known,5758,,seeding,124,seeds/m2,PLS,native,,,350,
4585,539,known,3019,,seeding,157,seeds/m2,PLS,native,,,350,
4586,539,known,3061,,seeding,80,seeds/m2,PLS,native,,,350,
4587,540,known,1895,,seeding,100,seeds/m2,PLS,native,,,351,
4588,540,known,5574,,seeding,94,seeds/m2,PLS,native,,,351,
4589,540,known,803,,seeding,26,seeds/m2,PLS,native,,,351,
4590,540,known,5712,,seeding,82,seeds/m2,PLS,native,,,351,
4591,540,known,5721,,seeding,188,seeds/m2,PLS,native,,,351,
4592,540,known,5758,,seeding,124,seeds/m2,PLS,native,,,351,
4593,540,known,3019,,seeding,157,seeds/m2,PLS,native,,,351,
4594,540,known,3061,,seeding,80,seeds/m2,PLS,native,,,351,
4595,541,known,1895,,seeding,100,seeds/m2,PLS,native,,,352,
4596,541,known,5574,,seeding,94,seeds/m2,PLS,native,,,352,
4597,541,known,803,,seeding,26,seeds/m2,PLS,native,,,352,
4598,541,known,5712,,seeding,82,seeds/m2,PLS,native,,,352,
4599,541,known,5721,,seeding,188,seeds/m2,PLS,native,,,352,
4600,541,known,5758,,seeding,124,seeds/m2,PLS,native,,,352,
4601,541,known,3019,,seeding,157,seeds/m2,PLS,native,,,352,
4602,541,known,3061,,seeding,80,seeds/m2,PLS,native,,,352,
4603,542,known,1895,,seeding,100,seeds/m2,PLS,native,,,353,
4604,542,known,5574,,seeding,94,seeds/m2,PLS,native,,,353,
4605,542,known,803,,seeding,26,seeds/m2,PLS,native,,,353,
4606,542,known,5712,,seeding,82,seeds/m2,PLS,native,,,353,
4607,542,known,5721,,seeding,188,seeds/m2,PLS,native,,,353,
4608,542,known,5758,,seeding,124,seeds/m2,PLS,native,,,353,
4609,542,known,3019,,seeding,157,seeds/m2,PLS,native,,,353,
4610,542,known,3061,,seeding,80,seeds/m2,PLS,native,,,353,
