areaid,time_since_restoration,year,month,day,speciesid,cultivarid,individualid,origin,level,response,metric,notes
3066,16,2008,,,1895,,,native,species,8,cover,
3066,16,2008,,,5584,,,native,species,8,cover,
3066,16,2008,,,803,,,native,species,10,cover,
3066,16,2008,,,5721,,,native,species,0,cover,
3066,16,2008,,,5758,,,native,species,10,cover,
3066,16,2008,,,3019,,,native,species,8,cover,
3066,16,2008,,,3061,,,native,species,10,cover,
3067,16,2008,,,1895,,,native,species,0.25,cover,
3067,16,2008,,,5584,,,native,species,11.625,cover,
3067,16,2008,,,803,,,native,species,9.375,cover,
3067,16,2008,,,5721,,,native,species,0.625,cover,
3067,16,2008,,,5758,,,native,species,10,cover,
3067,16,2008,,,3019,,,native,species,5,cover,
3067,16,2008,,,3061,,,native,species,11.25,cover,
3041,16,2008,,,1895,,,native,species,0.625,cover,
3041,16,2008,,,5584,,,native,species,9,cover,
3041,16,2008,,,803,,,native,species,9.125,cover,
3041,16,2008,,,5721,,,native,species,0.25,cover,
3041,16,2008,,,5758,,,native,species,9.375,cover,
3041,16,2008,,,3019,,,native,species,6.25,cover,
3041,16,2008,,,3061,,,native,species,9.375,cover,
3068,16,2008,,,1895,,,native,species,0,cover,
3068,16,2008,,,5584,,,native,species,8,cover,
3068,16,2008,,,803,,,native,species,40,cover,
3068,16,2008,,,5721,,,native,species,0,cover,
3068,16,2008,,,5758,,,native,species,8,cover,
3068,16,2008,,,3019,,,native,species,15,cover,
3068,16,2008,,,3061,,,native,species,10,cover,
3069,16,2008,,,1895,,,native,species,1.875,cover,
3069,16,2008,,,5584,,,native,species,4.25,cover,
3069,16,2008,,,803,,,native,species,10,cover,
3069,16,2008,,,5721,,,native,species,0.375,cover,
3069,16,2008,,,5758,,,native,species,9.375,cover,
3069,16,2008,,,3019,,,native,species,3.125,cover,
3069,16,2008,,,3061,,,native,species,5,cover,
3042,16,2008,,,1895,,,native,species,3.75,cover,
3042,16,2008,,,5584,,,native,species,6.875,cover,
3042,16,2008,,,803,,,native,species,10.875,cover,
3042,16,2008,,,5721,,,native,species,0.375,cover,
3042,16,2008,,,5758,,,native,species,9.375,cover,
3042,16,2008,,,3019,,,native,species,4,cover,
3042,16,2008,,,3061,,,native,species,7.5,cover,
3072,16,2008,,,1895,,,native,species,0,cover,
3072,16,2008,,,5584,,,native,species,5,cover,
3072,16,2008,,,803,,,native,species,20,cover,
3072,16,2008,,,5721,,,native,species,2,cover,
3072,16,2008,,,5758,,,native,species,10,cover,
3072,16,2008,,,3019,,,native,species,3,cover,
3072,16,2008,,,3061,,,native,species,5,cover,
3073,16,2008,,,1895,,,native,species,0,cover,
3073,16,2008,,,5584,,,native,species,3.75,cover,
3073,16,2008,,,803,,,native,species,9.375,cover,
3073,16,2008,,,5721,,,native,species,0.375,cover,
3073,16,2008,,,5758,,,native,species,5,cover,
3073,16,2008,,,3019,,,native,species,1.875,cover,
3073,16,2008,,,3061,,,native,species,2.5,cover,
3044,16,2008,,,1895,,,native,species,0.375,cover,
3044,16,2008,,,5584,,,native,species,5.25,cover,
3044,16,2008,,,803,,,native,species,10.625,cover,
3044,16,2008,,,5721,,,native,species,0.125,cover,
3044,16,2008,,,5758,,,native,species,7.75,cover,
3044,16,2008,,,3019,,,native,species,1.875,cover,
3044,16,2008,,,3061,,,native,species,2.5,cover,
3074,16,2008,,,1895,,,native,species,3,cover,
3074,16,2008,,,5584,,,native,species,5,cover,
3074,16,2008,,,803,,,native,species,40,cover,
3074,16,2008,,,5721,,,native,species,0,cover,
3074,16,2008,,,5758,,,native,species,1,cover,
3074,16,2008,,,3019,,,native,species,3,cover,
3074,16,2008,,,3061,,,native,species,5,cover,
3075,16,2008,,,1895,,,native,species,0.625,cover,
