artifact_type,artifact_subtype,file_name,file_extension,file_path_or_storage_key,storage_bucket,source_layer,workflow_stage,created_by,created_date,notes,local_path,exists,bytes
raw_data,GAZP10 source data,2008-2009-2010_TOTALS_SIMPLE.XLSX,xlsx,GAZP/GAZP10/source/2008-2009-2010_TOTALS_SIMPLE.XLSX,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original early-period vegetation cover workbook.,data/source/GAZP/GAZP10/2008-2009-2010_TOTALS_SIMPLE.XLSX,TRUE,33029
raw_data,GAZP10 source data,2011_CENSUS_2.xlsx,xlsx,GAZP/GAZP10/source/2011_CENSUS_2.xlsx,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original 2011 sector-level vegetation census workbook.,data/source/GAZP/GAZP10/2011_CENSUS_2.xlsx,TRUE,75063
raw_data,GAZP10 source data,CENSUS_2012_2013 relevant.xls,xls,GAZP/GAZP10/source/CENSUS_2012_2013 relevant.xls,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original contributor workbook containing relevant 2012-2013 census data.,data/source/GAZP/GAZP10/CENSUS_2012_2013 relevant.xls,TRUE,147456
raw_data,GAZP10 source data,CENSUS_2012_2013 w % cover.xls,xls,GAZP/GAZP10/source/CENSUS_2012_2013 w percent cover.xls,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original 2012-2013 census workbook with percent-cover fields used during reprocessing.,data/source/GAZP/GAZP10/CENSUS_2012_2013 w % cover.xls,TRUE,351744
raw_data,GAZP10 source data,Relevant data.xlsx,xlsx,GAZP/GAZP10/source/Relevant data.xlsx,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original contributor extract retained with the GAZP10 source package.,data/source/GAZP/GAZP10/Relevant data.xlsx,TRUE,18756
raw_data,GAZP10 source data,Backup of Relevant data.xlk,xlk,GAZP/GAZP10/source/Backup of Relevant data.xlk,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original backup of the contributor data extract retained for provenance.,data/source/GAZP/GAZP10/Backup of Relevant data.xlk,TRUE,34040
metadata,GAZP10 source documentation,Porensky_etal_2012_spatial_priority.pdf,pdf,GAZP/GAZP10/source/Porensky_etal_2012_spatial_priority.pdf,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,Published description of the original spatial-priority experiment and early monitoring.,data/source/GAZP/GAZP10/Porensky_etal_2012_spatial_priority.pdf,TRUE,503807
metadata,GAZP10 source documentation,2015YoungFireCryptic.pdf,pdf,GAZP/GAZP10/source/2015YoungFireCryptic.pdf,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,"Published description of later monitoring and the October 19, 2012 controlled burns.",data/source/GAZP/GAZP10/2015YoungFireCryptic.pdf,TRUE,1205975
metadata,GAZP10 source documentation,submitted_appendix_A.PDF,pdf,GAZP/GAZP10/source/submitted_appendix_A.PDF,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,Submitted appendix retained with the original project documentation.,data/source/GAZP/GAZP10/submitted_appendix_A.PDF,TRUE,43082
harmonized_data,GAZP10 harmonized data,GAZP10.xlsx,xlsx,GAZP/GAZP10/harmonized/GAZP10.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-16,Original harmonized GAZP10 workbook retained unchanged.,data/harmonized/GAZP/GAZP10/GAZP10.xlsx,TRUE,585899
harmonized_data,GAZP10 harmonized data,GAZP10_reprocessed.xlsx,xlsx,GAZP/GAZP10/harmonized/GAZP10_reprocessed.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-16,Reviewed harmonized workbook used for SQL preparation.,data/harmonized/GAZP/GAZP10/GAZP10_reprocessed.xlsx,TRUE,133804
transformation_code,GAZP10 import code,01_reprocess_GAZP10_vegresults.R,r,GAZP/GAZP10/code/01_reprocess_GAZP10_vegresults.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-16,Project-specific vegetation-grain correction.,R/import_code/GAZP10/01_reprocess_GAZP10_vegresults.R,TRUE,15633
transformation_code,GAZP10 import code,02_GAZP10_import.R,r,GAZP/GAZP10/code/02_GAZP10_import.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-16,Prepare-stage driver and project decisions.,R/import_code/GAZP10/02_GAZP10_import.R,TRUE,4173
transformation_code,GAZP10 import code,03_GAZP10_build.R,r,GAZP/GAZP10/code/03_GAZP10_build.R,grp-import-artifacts,R transformation workflow,build,Nancy Shackelford,2026-09-16,Complete staging builder and live validation.,R/import_code/GAZP10/03_GAZP10_build.R,TRUE,16232
transformation_code,GAZP10 import code,04_GAZP10_summarize.R,r,GAZP/GAZP10/code/04_GAZP10_summarize.R,grp-import-artifacts,R transformation workflow,summarize,Nancy Shackelford,2026-09-16,"Approval, drift checking, and commit preview.",R/import_code/GAZP10/04_GAZP10_summarize.R,TRUE,11544
mapping_table,GAZP10 crosswalk,GAZP10_harmonized-SQL_crosswalk.csv,csv,GAZP/GAZP10/crosswalks/GAZP10_harmonized-SQL_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-16,Reviewed area and treatment identifier mappings.,crosswalk_tables/GAZP/GAZP10/GAZP10_harmonized-SQL_crosswalk.csv,TRUE,4010
mapping_table,GAZP10 crosswalk,GAZP10_species_crosswalk.csv,csv,GAZP/GAZP10/crosswalks/GAZP10_species_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-16,Reviewed vegetation and seeding species mappings.,crosswalk_tables/GAZP/GAZP10/GAZP10_species_crosswalk.csv,TRUE,4167
