table,staging_columns,missing_target_columns,status
project,7,,pass
project_data_accessibility,10,,pass
location,4,,pass
project_location,3,,pass
site,7,,pass
project_site,3,,pass
author_contributor,4,,pass
project_contributor,3,,pass
project_vegmetric,3,,pass
paper,6,,pass
project_paper,4,,pass
paper_author,3,,pass
site_classification,2,,pass
site_disturbance,2,,pass
site_ref_ecosystem,2,,pass
site_soil,6,,pass
area,9,,pass
treatment,10,,pass
area_treatment,4,,pass
treatment_application,2,,pass
seed_mix,6,,pass
seeding,14,,pass
veg_result,13,,pass
