area_key,parent_area_key,siteid,source_block,source_replicate,type,size,units,restoration_start_year,restoration_type,disturbance_end_year
block:167:1,,167,1,,block,17.6,m2,2008,seeding,
plot:167:1:1,block:167:1,167,1,1,plot,0.25,m2,2008,seeding,
plot:167:1:2,block:167:1,167,1,2,plot,0.25,m2,2008,seeding,
block:167:10,,167,10,,block,17.6,m2,2008,seeding,
plot:167:10:1,block:167:10,167,10,1,plot,0.25,m2,2008,seeding,
plot:167:10:2,block:167:10,167,10,2,plot,0.25,m2,2008,seeding,
block:167:11,,167,11,,block,17.6,m2,2008,seeding,
plot:167:11:1,block:167:11,167,11,1,plot,0.25,m2,2008,seeding,
plot:167:11:2,block:167:11,167,11,2,plot,0.25,m2,2008,seeding,
block:167:12,,167,12,,block,17.6,m2,2008,seeding,
plot:167:12:1,block:167:12,167,12,1,plot,0.25,m2,2008,seeding,
plot:167:12:2,block:167:12,167,12,2,plot,0.25,m2,2008,seeding,
block:167:13,,167,13,,block,17.6,m2,2008,seeding,
plot:167:13:1,block:167:13,167,13,1,plot,0.25,m2,2008,seeding,
plot:167:13:2,block:167:13,167,13,2,plot,0.25,m2,2008,seeding,
block:167:14,,167,14,,block,17.6,m2,2008,seeding,
plot:167:14:1,block:167:14,167,14,1,plot,0.25,m2,2008,seeding,
plot:167:14:2,block:167:14,167,14,2,plot,0.25,m2,2008,seeding,
block:167:15,,167,15,,block,17.6,m2,2008,seeding,
plot:167:15:1,block:167:15,167,15,1,plot,0.25,m2,2008,seeding,
plot:167:15:2,block:167:15,167,15,2,plot,0.25,m2,2008,seeding,
block:167:16,,167,16,,block,17.6,m2,2008,seeding,
plot:167:16:1,block:167:16,167,16,1,plot,0.25,m2,2008,seeding,
plot:167:16:2,block:167:16,167,16,2,plot,0.25,m2,2008,seeding,
block:167:17,,167,17,,block,17.6,m2,2008,seeding,
plot:167:17:1,block:167:17,167,17,1,plot,0.25,m2,2008,seeding,
plot:167:17:2,block:167:17,167,17,2,plot,0.25,m2,2008,seeding,
block:167:18,,167,18,,block,17.6,m2,2008,seeding,
plot:167:18:1,block:167:18,167,18,1,plot,0.25,m2,2008,seeding,
plot:167:18:2,block:167:18,167,18,2,plot,0.25,m2,2008,seeding,
block:167:19,,167,19,,block,17.6,m2,2008,seeding,
plot:167:19:1,block:167:19,167,19,1,plot,0.25,m2,2008,seeding,
plot:167:19:2,block:167:19,167,19,2,plot,0.25,m2,2008,seeding,
block:167:2,,167,2,,block,17.6,m2,2008,seeding,
plot:167:2:1,block:167:2,167,2,1,plot,0.25,m2,2008,seeding,
plot:167:2:2,block:167:2,167,2,2,plot,0.25,m2,2008,seeding,
block:167:20,,167,20,,block,17.6,m2,2008,seeding,
plot:167:20:1,block:167:20,167,20,1,plot,0.25,m2,2008,seeding,
plot:167:20:2,block:167:20,167,20,2,plot,0.25,m2,2008,seeding,
block:167:21,,167,21,,block,17.6,m2,2008,seeding,
plot:167:21:1,block:167:21,167,21,1,plot,0.25,m2,2008,seeding,
plot:167:21:2,block:167:21,167,21,2,plot,0.25,m2,2008,seeding,
block:167:22,,167,22,,block,17.6,m2,2008,seeding,
plot:167:22:1,block:167:22,167,22,1,plot,0.25,m2,2008,seeding,
plot:167:22:2,block:167:22,167,22,2,plot,0.25,m2,2008,seeding,
block:167:23,,167,23,,block,17.6,m2,2008,seeding,
plot:167:23:1,block:167:23,167,23,1,plot,0.25,m2,2008,seeding,
plot:167:23:2,block:167:23,167,23,2,plot,0.25,m2,2008,seeding,
block:167:24,,167,24,,block,17.6,m2,2008,seeding,
plot:167:24:1,block:167:24,167,24,1,plot,0.25,m2,2008,seeding,
plot:167:24:2,block:167:24,167,24,2,plot,0.25,m2,2008,seeding,
block:167:25,,167,25,,block,17.6,m2,2008,seeding,
plot:167:25:1,block:167:25,167,25,1,plot,0.25,m2,2008,seeding,
plot:167:25:2,block:167:25,167,25,2,plot,0.25,m2,2008,seeding,
block:167:3,,167,3,,block,17.6,m2,2008,seeding,
plot:167:3:1,block:167:3,167,3,1,plot,0.25,m2,2008,seeding,
plot:167:3:2,block:167:3,167,3,2,plot,0.25,m2,2008,seeding,
block:167:4,,167,4,,block,17.6,m2,2008,seeding,
plot:167:4:1,block:167:4,167,4,1,plot,0.25,m2,2008,seeding,
plot:167:4:2,block:167:4,167,4,2,plot,0.25,m2,2008,seeding,
block:167:5,,167,5,,block,17.6,m2,2008,seeding,
plot:167:5:1,block:167:5,167,5,1,plot,0.25,m2,2008,seeding,
plot:167:5:2,block:167:5,167,5,2,plot,0.25,m2,2008,seeding,
block:167:6,,167,6,,block,17.6,m2,2008,seeding,
plot:167:6:1,block:167:6,167,6,1,plot,0.25,m2,2008,seeding,
plot:167:6:2,block:167:6,167,6,2,plot,0.25,m2,2008,seeding,
block:167:7,,167,7,,block,17.6,m2,2008,seeding,
plot:167:7:1,block:167:7,167,7,1,plot,0.25,m2,2008,seeding,
plot:167:7:2,block:167:7,167,7,2,plot,0.25,m2,2008,seeding,
block:167:8,,167,8,,block,17.6,m2,2008,seeding,
plot:167:8:1,block:167:8,167,8,1,plot,0.25,m2,2008,seeding,
plot:167:8:2,block:167:8,167,8,2,plot,0.25,m2,2008,seeding,
block:167:9,,167,9,,block,17.6,m2,2008,seeding,
plot:167:9:1,block:167:9,167,9,1,plot,0.25,m2,2008,seeding,
plot:167:9:2,block:167:9,167,9,2,plot,0.25,m2,2008,seeding,
