area_key,source_treatmentid,link_reason
block:167:1,10_1,explicit spatial block treatment
block:167:10,10_1,explicit spatial block treatment
block:167:11,10_2,explicit spatial block treatment
block:167:12,10_1,explicit spatial block treatment
block:167:12,10_3,explicit spatial block treatment
block:167:13,10_1,explicit spatial block treatment
block:167:13,10_3,explicit spatial block treatment
block:167:14,10_1,explicit spatial block treatment
block:167:15,10_1,explicit spatial block treatment
block:167:15,10_3,explicit spatial block treatment
block:167:16,10_2,explicit spatial block treatment
block:167:16,10_4,explicit spatial block treatment
block:167:17,10_1,explicit spatial block treatment
block:167:18,10_2,explicit spatial block treatment
block:167:18,10_4,explicit spatial block treatment
block:167:19,10_2,explicit spatial block treatment
block:167:19,10_4,explicit spatial block treatment
block:167:2,10_1,explicit spatial block treatment
block:167:2,10_3,explicit spatial block treatment
block:167:20,10_2,explicit spatial block treatment
block:167:20,10_4,explicit spatial block treatment
block:167:21,10_1,explicit spatial block treatment
block:167:21,10_3,explicit spatial block treatment
block:167:22,10_2,explicit spatial block treatment
block:167:23,10_2,explicit spatial block treatment
block:167:24,10_1,explicit spatial block treatment
block:167:25,10_2,explicit spatial block treatment
block:167:3,10_2,explicit spatial block treatment
block:167:4,10_1,explicit spatial block treatment
block:167:5,10_1,explicit spatial block treatment
block:167:5,10_3,explicit spatial block treatment
block:167:6,10_2,explicit spatial block treatment
block:167:6,10_4,explicit spatial block treatment
block:167:7,10_1,explicit spatial block treatment
block:167:7,10_3,explicit spatial block treatment
block:167:8,10_2,explicit spatial block treatment
block:167:9,10_2,explicit spatial block treatment
block:167:9,10_4,explicit spatial block treatment
plot:167:10:1,10_1,explicit sampling area treatment
plot:167:10:2,10_1,explicit sampling area treatment
plot:167:11:1,10_2,explicit sampling area treatment
plot:167:11:2,10_2,explicit sampling area treatment
plot:167:12:1,10_1,explicit sampling area treatment
plot:167:12:1,10_3,explicit sampling area treatment
plot:167:12:2,10_1,explicit sampling area treatment
plot:167:12:2,10_3,explicit sampling area treatment
plot:167:13:1,10_1,explicit sampling area treatment
plot:167:13:1,10_3,explicit sampling area treatment
plot:167:13:2,10_1,explicit sampling area treatment
plot:167:13:2,10_3,explicit sampling area treatment
plot:167:14:1,10_1,explicit sampling area treatment
plot:167:14:2,10_1,explicit sampling area treatment
plot:167:15:1,10_1,explicit sampling area treatment
plot:167:15:1,10_3,explicit sampling area treatment
plot:167:15:2,10_1,explicit sampling area treatment
plot:167:15:2,10_3,explicit sampling area treatment
plot:167:16:1,10_2,explicit sampling area treatment
plot:167:16:1,10_4,explicit sampling area treatment
plot:167:16:2,10_2,explicit sampling area treatment
plot:167:16:2,10_4,explicit sampling area treatment
plot:167:17:1,10_1,explicit sampling area treatment
plot:167:17:2,10_1,explicit sampling area treatment
plot:167:18:1,10_2,explicit sampling area treatment
plot:167:18:1,10_4,explicit sampling area treatment
plot:167:18:2,10_2,explicit sampling area treatment
plot:167:18:2,10_4,explicit sampling area treatment
plot:167:19:1,10_2,explicit sampling area treatment
plot:167:19:1,10_4,explicit sampling area treatment
plot:167:19:2,10_2,explicit sampling area treatment
plot:167:19:2,10_4,explicit sampling area treatment
plot:167:1:1,10_1,explicit sampling area treatment
plot:167:1:2,10_1,explicit sampling area treatment
plot:167:20:1,10_2,explicit sampling area treatment
plot:167:20:1,10_4,explicit sampling area treatment
plot:167:20:2,10_2,explicit sampling area treatment
plot:167:20:2,10_4,explicit sampling area treatment
plot:167:21:1,10_1,explicit sampling area treatment
plot:167:21:1,10_3,explicit sampling area treatment
plot:167:21:2,10_1,explicit sampling area treatment
plot:167:21:2,10_3,explicit sampling area treatment
plot:167:22:1,10_2,explicit sampling area treatment
plot:167:22:2,10_2,explicit sampling area treatment
plot:167:23:1,10_2,explicit sampling area treatment
plot:167:23:2,10_2,explicit sampling area treatment
plot:167:24:1,10_1,explicit sampling area treatment
plot:167:24:2,10_1,explicit sampling area treatment
plot:167:25:1,10_2,explicit sampling area treatment
plot:167:25:2,10_2,explicit sampling area treatment
plot:167:2:1,10_1,explicit sampling area treatment
plot:167:2:1,10_3,explicit sampling area treatment
plot:167:2:2,10_1,explicit sampling area treatment
plot:167:2:2,10_3,explicit sampling area treatment
plot:167:3:1,10_2,explicit sampling area treatment
plot:167:3:2,10_2,explicit sampling area treatment
plot:167:4:1,10_1,explicit sampling area treatment
plot:167:4:2,10_1,explicit sampling area treatment
plot:167:5:1,10_1,explicit sampling area treatment
plot:167:5:1,10_3,explicit sampling area treatment
plot:167:5:2,10_1,explicit sampling area treatment
plot:167:5:2,10_3,explicit sampling area treatment
plot:167:6:1,10_2,explicit sampling area treatment
plot:167:6:1,10_4,explicit sampling area treatment
plot:167:6:2,10_2,explicit sampling area treatment
plot:167:6:2,10_4,explicit sampling area treatment
plot:167:7:1,10_1,explicit sampling area treatment
plot:167:7:1,10_3,explicit sampling area treatment
plot:167:7:2,10_1,explicit sampling area treatment
plot:167:7:2,10_3,explicit sampling area treatment
plot:167:8:1,10_2,explicit sampling area treatment
plot:167:8:2,10_2,explicit sampling area treatment
plot:167:9:1,10_2,explicit sampling area treatment
plot:167:9:1,10_4,explicit sampling area treatment
plot:167:9:2,10_2,explicit sampling area treatment
plot:167:9:2,10_4,explicit sampling area treatment
