artifact_type,artifact_subtype,file_name,file_extension,file_path_or_storage_key,storage_bucket,source_layer,workflow_stage,created_by,created_date,notes
raw_data,GAZP10 source data,2008-2009-2010_TOTALS_SIMPLE.XLSX,xlsx,GAZP/GAZP10/source/2008-2009-2010_TOTALS_SIMPLE.XLSX,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original early-period vegetation cover workbook.
raw_data,GAZP10 source data,2011_CENSUS_2.xlsx,xlsx,GAZP/GAZP10/source/2011_CENSUS_2.xlsx,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original 2011 sector-level vegetation census workbook.
raw_data,GAZP10 source data,CENSUS_2012_2013 relevant.xls,xls,GAZP/GAZP10/source/CENSUS_2012_2013 relevant.xls,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original contributor workbook containing relevant 2012-2013 census data.
raw_data,GAZP10 source data,CENSUS_2012_2013 w % cover.xls,xls,GAZP/GAZP10/source/CENSUS_2012_2013 w percent cover.xls,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original 2012-2013 census workbook with percent-cover fields used during reprocessing.
raw_data,GAZP10 source data,Relevant data.xlsx,xlsx,GAZP/GAZP10/source/Relevant data.xlsx,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original contributor extract retained with the GAZP10 source package.
raw_data,GAZP10 source data,Backup of Relevant data.xlk,xlk,GAZP/GAZP10/source/Backup of Relevant data.xlk,grp-import-artifacts,original contributor data,input,Nancy Shackelford,2026-09-16,Original backup of the contributor data extract retained for provenance.
metadata,GAZP10 source documentation,Porensky_etal_2012_spatial_priority.pdf,pdf,GAZP/GAZP10/source/Porensky_etal_2012_spatial_priority.pdf,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,Published description of the original spatial-priority experiment and early monitoring.
metadata,GAZP10 source documentation,2015YoungFireCryptic.pdf,pdf,GAZP/GAZP10/source/2015YoungFireCryptic.pdf,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,"Published description of later monitoring and the October 19, 2012 controlled burns."
metadata,GAZP10 source documentation,submitted_appendix_A.PDF,pdf,GAZP/GAZP10/source/submitted_appendix_A.PDF,grp-import-artifacts,original project documentation,input,Nancy Shackelford,2026-09-16,Submitted appendix retained with the original project documentation.
harmonized_data,GAZP10 harmonized data,GAZP10.xlsx,xlsx,GAZP/GAZP10/harmonized/GAZP10.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-16,Original harmonized GAZP10 workbook retained unchanged.
harmonized_data,GAZP10 harmonized data,GAZP10_reprocessed.xlsx,xlsx,GAZP/GAZP10/harmonized/GAZP10_reprocessed.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-16,Reviewed harmonized workbook used for SQL preparation.
transformation_code,GAZP10 import code,01_reprocess_GAZP10_vegresults.R,r,GAZP/GAZP10/code/01_reprocess_GAZP10_vegresults.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-16,Project-specific vegetation-grain correction.
transformation_code,GAZP10 import code,02_GAZP10_import.R,r,GAZP/GAZP10/code/02_GAZP10_import.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-16,Prepare-stage driver and project decisions.
transformation_code,GAZP10 import code,03_GAZP10_build.R,r,GAZP/GAZP10/code/03_GAZP10_build.R,grp-import-artifacts,R transformation workflow,build,Nancy Shackelford,2026-09-16,Complete staging builder and live validation.
transformation_code,GAZP10 import code,04_GAZP10_summarize.R,r,GAZP/GAZP10/code/04_GAZP10_summarize.R,grp-import-artifacts,R transformation workflow,summarize,Nancy Shackelford,2026-09-16,"Approval, drift checking, and commit preview."
mapping_table,GAZP10 crosswalk,GAZP10_harmonized-SQL_crosswalk.csv,csv,GAZP/GAZP10/crosswalks/GAZP10_harmonized-SQL_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-16,Reviewed area and treatment identifier mappings.
mapping_table,GAZP10 crosswalk,GAZP10_species_crosswalk.csv,csv,GAZP/GAZP10/crosswalks/GAZP10_species_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-16,Reviewed vegetation and seeding species mappings.
