areaid,siteid,type,size,units,restoration_start_year,restoration_type,disturbance_end_year,parentid
3259,166,block,,m2,2014,seeding,,
3905,166,plot,0.25,m2,2014,seeding,,3259
3906,166,plot,0.25,m2,2014,seeding,,3259
3260,166,block,,m2,2014,seeding,,
3907,166,plot,0.25,m2,2014,seeding,,3260
3908,166,plot,0.25,m2,2014,seeding,,3260
3909,166,plot,0.25,m2,2014,seeding,,3260
3261,166,block,,m2,2014,seeding,,
3911,166,plot,0.25,m2,2014,seeding,,3261
3910,166,plot,0.25,m2,2014,seeding,,3261
3262,166,block,,m2,2014,seeding,,
3912,166,plot,0.25,m2,2014,seeding,,3262
3913,166,plot,0.25,m2,2014,seeding,,3262
3263,166,block,,m2,2014,seeding,,
3914,166,plot,0.25,m2,2014,seeding,,3263
3915,166,plot,0.25,m2,2014,seeding,,3263
3916,166,plot,0.25,m2,2014,seeding,,3263
3264,166,block,,m2,2014,seeding,,
3917,166,plot,0.25,m2,2014,seeding,,3264
3918,166,plot,0.25,m2,2014,seeding,,3264
3265,166,block,,m2,2014,seeding,,
3919,166,plot,0.25,m2,2014,seeding,,3265
3920,166,plot,0.25,m2,2014,seeding,,3265
3266,166,block,,m2,2014,seeding,,
3922,166,plot,0.25,m2,2014,seeding,,3266
3921,166,plot,0.25,m2,2014,seeding,,3266
3267,166,block,,m2,2014,seeding,,
3924,166,plot,0.25,m2,2014,seeding,,3267
3925,166,plot,0.25,m2,2014,seeding,,3267
3923,166,plot,0.25,m2,2014,seeding,,3267
3268,166,block,,m2,2014,seeding,,
3927,166,plot,0.25,m2,2014,seeding,,3268
3926,166,plot,0.25,m2,2014,seeding,,3268
3269,166,block,,m2,2014,seeding,,
3929,166,plot,0.25,m2,2014,seeding,,3269
3928,166,plot,0.25,m2,2014,seeding,,3269
3270,166,block,,m2,2014,seeding,,
3931,166,plot,0.25,m2,2014,seeding,,3270
3932,166,plot,0.25,m2,2014,seeding,,3270
3930,166,plot,0.25,m2,2014,seeding,,3270
3271,166,block,,m2,2014,seeding,,
3933,166,plot,0.25,m2,2014,seeding,,3271
3934,166,plot,0.25,m2,2014,seeding,,3271
3272,166,block,,m2,2014,seeding,,
3935,166,plot,0.25,m2,2014,seeding,,3272
3936,166,plot,0.25,m2,2014,seeding,,3272
3273,166,block,,m2,2014,seeding,,
3937,166,plot,0.25,m2,2014,seeding,,3273
3938,166,plot,0.25,m2,2014,seeding,,3273
3274,166,block,,m2,2014,seeding,,
3939,166,plot,0.25,m2,2014,seeding,,3274
3940,166,plot,0.25,m2,2014,seeding,,3274
3941,166,plot,0.25,m2,2014,seeding,,3274
3275,166,block,,m2,2014,seeding,,
3942,166,plot,0.25,m2,2014,seeding,,3275
3943,166,plot,0.25,m2,2014,seeding,,3275
3276,166,block,,m2,2014,seeding,,
3944,166,plot,0.25,m2,2014,seeding,,3276
3945,166,plot,0.25,m2,2014,seeding,,3276
3277,166,block,,m2,2014,seeding,,
3947,166,plot,0.25,m2,2014,seeding,,3277
3946,166,plot,0.25,m2,2014,seeding,,3277
3278,166,block,,m2,2014,seeding,,
3949,166,plot,0.25,m2,2014,seeding,,3278
3950,166,plot,0.25,m2,2014,seeding,,3278
3948,166,plot,0.25,m2,2014,seeding,,3278
3279,166,block,,m2,2014,seeding,,
3951,166,plot,0.25,m2,2014,seeding,,3279
3952,166,plot,0.25,m2,2014,seeding,,3279
3280,166,block,,m2,2014,seeding,,
3954,166,plot,0.25,m2,2014,seeding,,3280
3953,166,plot,0.25,m2,2014,seeding,,3280
3281,166,block,,m2,2014,seeding,,
3955,166,plot,0.25,m2,2014,seeding,,3281
3956,166,plot,0.25,m2,2014,seeding,,3281
3957,166,plot,0.25,m2,2014,seeding,,3281
3282,166,block,,m2,2014,seeding,,
3959,166,plot,0.25,m2,2014,seeding,,3282
3958,166,plot,0.25,m2,2014,seeding,,3282
3283,166,block,,m2,2014,seeding,,
3960,166,plot,0.25,m2,2014,seeding,,3283
3961,166,plot,0.25,m2,2014,seeding,,3283
3284,166,block,,m2,2014,seeding,,
3962,166,plot,0.25,m2,2014,seeding,,3284
3963,166,plot,0.25,m2,2014,seeding,,3284
3964,166,plot,0.25,m2,2014,seeding,,3284
3285,166,block,,m2,2014,seeding,,
3966,166,plot,0.25,m2,2014,seeding,,3285
3965,166,plot,0.25,m2,2014,seeding,,3285
3286,166,block,,m2,2014,seeding,,
3967,166,plot,0.25,m2,2014,seeding,,3286
3968,166,plot,0.25,m2,2014,seeding,,3286
3287,166,block,,m2,2014,seeding,,
3969,166,plot,0.25,m2,2014,seeding,,3287
3970,166,plot,0.25,m2,2014,seeding,,3287
3971,166,plot,0.25,m2,2014,seeding,,3287
3288,166,block,,m2,2014,seeding,,
3972,166,plot,0.25,m2,2014,seeding,,3288
3973,166,plot,0.25,m2,2014,seeding,,3288
3289,166,block,,m2,2014,seeding,,
3974,166,plot,0.25,m2,2014,seeding,,3289
3975,166,plot,0.25,m2,2014,seeding,,3289
3290,166,block,,m2,2014,seeding,,
3977,166,plot,0.25,m2,2014,seeding,,3290
3978,166,plot,0.25,m2,2014,seeding,,3290
3976,166,plot,0.25,m2,2014,seeding,,3290
3291,166,block,,m2,2014,seeding,,
3980,166,plot,0.25,m2,2014,seeding,,3291
3979,166,plot,0.25,m2,2014,seeding,,3291
3292,166,block,,m2,2014,seeding,,
3981,166,plot,0.25,m2,2014,seeding,,3292
3982,166,plot,0.25,m2,2014,seeding,,3292
3293,166,block,,m2,2014,seeding,,
3983,166,plot,0.25,m2,2014,seeding,,3293
3984,166,plot,0.25,m2,2014,seeding,,3293
3985,166,plot,0.25,m2,2014,seeding,,3293
3294,166,block,,m2,2014,seeding,,
3987,166,plot,0.25,m2,2014,seeding,,3294
3986,166,plot,0.25,m2,2014,seeding,,3294
3295,166,block,,m2,2014,seeding,,
3989,166,plot,0.25,m2,2014,seeding,,3295
3990,166,plot,0.25,m2,2014,seeding,,3295
3988,166,plot,0.25,m2,2014,seeding,,3295
