database,projectid,areaid,treatmentid
GAZP,11,3905,563
GAZP,11,3905,564
GAZP,11,3906,563
GAZP,11,3906,564
GAZP,11,3907,563
GAZP,11,3907,564
GAZP,11,3908,563
GAZP,11,3908,564
GAZP,11,3909,563
GAZP,11,3909,564
GAZP,11,3911,563
GAZP,11,3911,564
GAZP,11,3910,563
GAZP,11,3910,564
GAZP,11,3912,592
GAZP,11,3912,593
GAZP,11,3913,592
GAZP,11,3913,593
GAZP,11,3914,592
GAZP,11,3914,593
GAZP,11,3915,592
GAZP,11,3915,593
GAZP,11,3916,592
GAZP,11,3916,593
GAZP,11,3917,592
GAZP,11,3917,593
GAZP,11,3918,592
GAZP,11,3918,593
GAZP,11,3919,607
GAZP,11,3919,608
GAZP,11,3920,607
GAZP,11,3920,608
GAZP,11,3922,607
GAZP,11,3922,608
GAZP,11,3921,607
GAZP,11,3921,608
GAZP,11,3924,607
GAZP,11,3924,608
GAZP,11,3925,607
GAZP,11,3925,608
GAZP,11,3923,607
GAZP,11,3923,608
GAZP,11,3927,611
GAZP,11,3927,612
GAZP,11,3926,611
GAZP,11,3926,612
GAZP,11,3929,611
GAZP,11,3929,612
GAZP,11,3928,611
GAZP,11,3928,612
GAZP,11,3931,611
GAZP,11,3931,612
GAZP,11,3932,611
GAZP,11,3932,612
GAZP,11,3930,611
GAZP,11,3930,612
GAZP,11,3933,563
GAZP,11,3933,564
GAZP,11,3934,563
GAZP,11,3934,564
GAZP,11,3935,563
GAZP,11,3935,564
GAZP,11,3936,563
GAZP,11,3936,564
GAZP,11,3937,592
GAZP,11,3937,593
GAZP,11,3938,592
GAZP,11,3938,593
GAZP,11,3939,592
GAZP,11,3939,593
GAZP,11,3940,592
GAZP,11,3940,593
GAZP,11,3941,592
GAZP,11,3941,593
GAZP,11,3942,592
GAZP,11,3942,593
GAZP,11,3943,592
GAZP,11,3943,593
GAZP,11,3944,607
GAZP,11,3944,608
GAZP,11,3945,607
GAZP,11,3945,608
GAZP,11,3947,607
GAZP,11,3947,608
GAZP,11,3946,607
GAZP,11,3946,608
GAZP,11,3949,607
GAZP,11,3949,608
GAZP,11,3950,607
GAZP,11,3950,608
GAZP,11,3948,607
GAZP,11,3948,608
GAZP,11,3951,611
GAZP,11,3951,612
GAZP,11,3952,611
GAZP,11,3952,612
GAZP,11,3954,611
GAZP,11,3954,612
GAZP,11,3953,611
GAZP,11,3953,612
GAZP,11,3955,611
GAZP,11,3955,612
GAZP,11,3956,611
GAZP,11,3956,612
GAZP,11,3957,611
GAZP,11,3957,612
GAZP,11,3959,576
GAZP,11,3958,576
GAZP,11,3960,576
GAZP,11,3961,576
GAZP,11,3962,576
GAZP,11,3963,576
GAZP,11,3964,576
GAZP,11,3966,578
GAZP,11,3965,578
GAZP,11,3967,578
GAZP,11,3968,578
GAZP,11,3969,578
GAZP,11,3970,578
GAZP,11,3971,578
GAZP,11,3972,576
GAZP,11,3973,576
GAZP,11,3974,576
GAZP,11,3975,576
GAZP,11,3977,576
GAZP,11,3978,576
GAZP,11,3976,576
GAZP,11,3980,578
GAZP,11,3979,578
GAZP,11,3981,578
GAZP,11,3982,578
GAZP,11,3983,578
GAZP,11,3984,578
GAZP,11,3985,578
GAZP,11,3987,580
GAZP,11,3987,581
GAZP,11,3986,580
GAZP,11,3986,581
GAZP,11,3989,580
GAZP,11,3989,581
GAZP,11,3990,580
GAZP,11,3990,581
GAZP,11,3988,580
GAZP,11,3988,581
GAZP,11,3991,580
GAZP,11,3991,581
GAZP,11,3992,580
GAZP,11,3992,581
GAZP,11,3993,604
GAZP,11,3993,605
GAZP,11,3994,604
GAZP,11,3994,605
GAZP,11,3996,604
GAZP,11,3996,605
GAZP,11,3997,604
GAZP,11,3997,605
GAZP,11,3995,604
GAZP,11,3995,605
GAZP,11,3999,604
GAZP,11,3999,605
GAZP,11,3998,604
GAZP,11,3998,605
GAZP,11,4001,609
GAZP,11,4001,610
GAZP,11,4000,609
GAZP,11,4000,610
GAZP,11,4002,609
GAZP,11,4002,610
GAZP,11,4003,609
GAZP,11,4003,610
GAZP,11,4004,609
GAZP,11,4004,610
GAZP,11,4005,609
GAZP,11,4005,610
GAZP,11,4006,609
GAZP,11,4006,610
GAZP,11,4007,613
GAZP,11,4007,614
GAZP,11,4008,613
GAZP,11,4008,614
GAZP,11,4009,613
GAZP,11,4009,614
GAZP,11,4010,613
GAZP,11,4010,614
GAZP,11,4011,613
GAZP,11,4011,614
GAZP,11,4012,613
GAZP,11,4012,614
GAZP,11,4013,613
GAZP,11,4013,614
GAZP,11,4014,580
GAZP,11,4014,581
GAZP,11,4015,580
GAZP,11,4015,581
GAZP,11,4017,580
GAZP,11,4017,581
GAZP,11,4016,580
GAZP,11,4016,581
GAZP,11,4018,604
GAZP,11,4018,605
GAZP,11,4019,604
GAZP,11,4019,605
GAZP,11,4021,604
GAZP,11,4021,605
GAZP,11,4022,604
GAZP,11,4022,605
GAZP,11,4020,604
GAZP,11,4020,605
GAZP,11,4024,604
GAZP,11,4024,605
GAZP,11,4023,604
GAZP,11,4023,605
GAZP,11,4026,609
GAZP,11,4026,610
GAZP,11,4025,609
GAZP,11,4025,610
GAZP,11,4027,609
GAZP,11,4027,610
GAZP,11,4028,609
GAZP,11,4028,610
GAZP,11,4029,609
GAZP,11,4029,610
GAZP,11,4030,609
GAZP,11,4030,610
GAZP,11,4031,609
GAZP,11,4031,610
GAZP,11,4033,613
GAZP,11,4033,614
GAZP,11,4032,613
GAZP,11,4032,614
GAZP,11,4034,613
GAZP,11,4034,614
GAZP,11,4035,613
GAZP,11,4035,614
GAZP,11,4037,613
GAZP,11,4037,614
GAZP,11,4038,613
GAZP,11,4038,614
GAZP,11,4036,613
GAZP,11,4036,614
GAZP,11,4039,577
GAZP,11,4040,577
GAZP,11,4041,577
GAZP,11,4042,577
GAZP,11,4044,577
GAZP,11,4045,577
