seed_mixid,treatmentid,mix_name,mix_composition_status,treated_richness,notes
354,543,known,known,1,
355,545,known,known,1,
356,547,known,known,1,
357,549,known,known,1,
358,551,known,known,1,
359,553,known,known,1,
360,555,known,known,1,
361,557,known,known,1,
362,559,known,known,1,
363,561,known,known,1,
364,563,known,known,5,
365,565,known,known,1,
366,567,known,known,1,
367,569,known,known,1,
368,571,known,known,1,
369,573,known,known,1,
370,576,known,known,5,
371,577,known,known,5,
372,578,known,known,5,
373,579,known,known,5,
374,580,known,known,5,
375,582,known,known,1,
376,583,known,known,1,
377,584,known,known,1,
378,585,known,known,1,
379,586,known,known,1,
380,587,known,known,1,
381,588,known,known,1,
382,589,known,known,1,
383,590,known,known,1,
384,591,known,known,1,
385,592,known,known,5,
386,594,known,known,1,
387,595,known,known,1,
388,596,known,known,1,
389,597,known,known,1,
390,598,known,known,1,
391,599,known,known,1,
392,600,known,known,1,
393,601,known,known,1,
394,602,known,known,1,
395,603,known,known,1,
396,604,known,known,5,
397,607,known,known,5,
398,609,known,known,5,
399,611,known,known,5,
400,613,known,known,5,
401,615,known,known,1,
402,617,known,known,1,
403,619,known,known,1,
404,621,known,known,1,
405,623,known,known,1,
406,625,known,known,1,
407,627,known,known,1,
408,629,known,known,1,
409,631,known,known,1,
410,633,known,known,1,
411,635,known,known,1,
412,637,known,known,1,
413,639,known,known,1,
414,641,known,known,1,
415,643,known,known,1,
416,645,known,known,1,
417,647,known,known,1,
418,649,known,known,1,
419,651,known,known,1,
420,653,known,known,1,
421,655,known,known,1,
422,657,known,known,1,
423,659,known,known,1,
424,661,known,known,1,
425,663,known,known,1,
