seedingid,type
4612,coated
4614,coated
4616,coated
4618,coated
4620,coated
4621,coated
4622,coated
4623,coated
4624,coated
4625,coated
4627,coated
4629,coated
4631,coated
4632,coated
4633,coated
4634,coated
4635,coated
4641,coated
4642,coated
4643,coated
4644,coated
4645,coated
4656,coated
4658,coated
4660,coated
4662,coated
4664,coated
4666,coated
4667,coated
4668,coated
4669,coated
4670,coated
4671,coated
4673,coated
4675,coated
4677,coated
4679,coated
4686,coated
4687,coated
4688,coated
4689,coated
4690,coated
4696,coated
4697,coated
4698,coated
4699,coated
4700,coated
4706,coated
4708,coated
4710,coated
4711,coated
4713,coated
4715,coated
4717,coated
4719,coated
4721,coated
4724,coated
4726,coated
4728,coated
4730,coated
