treatmentid,year,month,day,weeks_since_restoration,other_treatment,shelter,grading,maintenance_fire,notes
563,2014,10,,0,,,,,
564,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
580,2014,10,,0,,,,,
581,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
592,2014,10,,0,,,,,
593,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
604,2014,10,,0,,,,,
605,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
625,2014,10,,0,,,,,
626,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
647,2014,10,,0,,,,,
648,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
659,2014,10,,0,,,,,
660,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
661,2014,10,,0,,,,,
662,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
663,2014,10,,0,,,,,
664,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
543,2014,10,,0,,,,,
544,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
545,2014,10,,0,,,,,
546,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
547,2014,10,,0,,,,,
548,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
549,2014,10,,0,,,,,
550,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
551,2014,10,,0,,,,,
552,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
553,2014,10,,0,,,,,
554,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
555,2014,10,,0,,,,,
556,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
557,2014,10,,0,,,,,
558,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
559,2014,10,,0,,,,,
560,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
561,2014,10,,0,,,,,
562,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
565,2014,10,,0,,,,,
566,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
567,2014,10,,0,,,,,
568,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
569,2014,10,,0,,,,,
570,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
571,2014,10,,0,,,,,
572,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
573,2014,10,,0,,,,,
574,2015,,,,,,,,Cattle grazing occurred in October-November 2015; exact month varies or is not retained.
575,2014,10,,0,,,,,No seed was applied; no seed application-method detail was created.
576,2014,10,,0,,,,,
577,2014,10,,0,,,,,
578,2014,10,,0,,,,,
579,2014,10,,0,,,,,
582,2014,10,,0,,,,,
583,2014,10,,0,,,,,
584,2014,10,,0,,,,,
585,2014,10,,0,,,,,
586,2014,10,,0,,,,,
587,2014,10,,0,,,,,
588,2014,10,,0,,,,,
589,2014,10,,0,,,,,
590,2014,10,,0,,,,,
591,2014,10,,0,,,,,
594,2014,10,,0,,,,,
595,2014,10,,0,,,,,
596,2014,10,,0,,,,,
597,2014,10,,0,,,,,
598,2014,10,,0,,,,,
599,2014,10,,0,,,,,
600,2014,10,,0,,,,,
601,2014,10,,0,,,,,
602,2014,10,,0,,,,,
603,2014,10,,0,,,,,
606,2014,10,,0,,,,,No seed was applied; no seed application-method detail was created.
607,2014,10,,0,,,,,
608,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
609,2014,10,,0,,,,,
610,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
611,2014,10,,0,,,,,
612,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
613,2014,10,,0,,,,,
614,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
615,2014,10,,0,,,,,
616,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
617,2014,10,,0,,,,,
618,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
619,2014,10,,0,,,,,
620,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
621,2014,10,,0,,,,,
622,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
623,2014,10,,0,,,,,
624,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
627,2014,10,,0,,,,,
628,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
629,2014,10,,0,,,,,
630,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
631,2014,10,,0,,,,,
632,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
633,2014,10,,0,,,,,
634,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
635,2014,10,,0,,,,,
636,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
637,2014,10,,0,,,,,
638,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
639,2014,10,,0,,,,,
640,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
641,2014,10,,0,,,,,
642,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
643,2014,10,,0,,,,,
644,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
645,2014,10,,0,,,,,
646,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
649,2014,10,,0,,,,,
650,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
651,2014,10,,0,,,,,
652,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
653,2014,10,,0,,,,,
654,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
655,2014,10,,0,,,,,
656,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
657,2014,10,,0,,,,,
658,2016,,,,,,,,Cattle grazing occurred before May 2016 sampling; exact date is not retained.
