treatmentid,type
563,drill
580,drill
592,drill
604,drill
625,drill
647,drill
659,drill
661,drill
663,drill
543,drill
545,drill
547,drill
549,drill
551,drill
553,drill
555,drill
557,drill
559,drill
561,drill
565,drill
567,drill
569,drill
571,drill
573,drill
576,drill
577,drill
578,drill
579,drill
582,drill
583,drill
584,drill
585,drill
586,drill
587,drill
588,drill
589,drill
590,drill
591,drill
594,drill
595,drill
596,drill
597,drill
598,drill
599,drill
600,drill
601,drill
602,drill
603,drill
607,drill
609,drill
611,drill
613,drill
615,drill
617,drill
619,drill
621,drill
623,drill
627,drill
629,drill
631,drill
633,drill
635,drill
637,drill
639,drill
641,drill
643,drill
645,drill
649,drill
651,drill
653,drill
655,drill
657,drill
