treatmentid,type,notes
564,added,
581,added,
593,added,
605,added,
626,added,
648,added,
660,added,
662,added,
664,added,
544,added,
546,added,
548,added,
550,added,
552,added,
554,added,
556,added,
558,added,
560,added,
562,added,
566,added,
568,added,
570,added,
572,added,
574,added,
608,added,
610,added,
612,added,
614,added,
616,added,
618,added,
620,added,
622,added,
624,added,
628,added,
630,added,
632,added,
634,added,
636,added,
638,added,
640,added,
642,added,
644,added,
646,added,
650,added,
652,added,
654,added,
656,added,
658,added,
