table,expected_rows,inserted_rows
project,1,1
project_data_accessibility,1,1
location,1,1
project_location,1,1
site,1,1
project_site,1,1
project_contributor,1,1
project_vegmetric,1,1
paper,1,1
project_paper,1,1
paper_author,1,1
site_classification,1,1
site_disturbance,1,1
site_ref_ecosystem,1,1
site_soil,1,1
site_invasive,1,1
area,1507,1507
treatment,122,122
area_treatment,1566,1566
treatment_application,72,72
treatment_grazer,48,48
seed_mix,72,72
seeding,120,120
seeding_pretreatment,60,60
veg_result,1220,1220
