source_row,source_observationid,database,source_treatmentid,source_year,time_since_restoration,block,replicate,source_species_code,origin,response,level,metric,siteid,area_key,month,day,year,area_found,timepoint_found,prepare_status
1,GAZP_11,GAZP,11_26,2015,26,301,23,L_Pgrass,native,6,species,abundance,166,plot:166:301:23,5,,2015,TRUE,TRUE,ready_for_build
2,GAZP_11,GAZP,11_26,2015,26,301,43,L_Pgrass,native,1,species,abundance,166,plot:166:301:43,5,,2015,TRUE,TRUE,ready_for_build
3,GAZP_11,GAZP,11_26,2015,26,302,122,L_Pgrass,native,4,species,abundance,166,plot:166:302:122,5,,2015,TRUE,TRUE,ready_for_build
4,GAZP_11,GAZP,11_26,2015,26,302,142,L_Pgrass,native,11,species,abundance,166,plot:166:302:142,5,,2015,TRUE,TRUE,ready_for_build
5,GAZP_11,GAZP,11_26,2015,26,303,122,L_Pgrass,native,0,species,abundance,166,plot:166:303:122,5,,2015,TRUE,TRUE,ready_for_build
6,GAZP_11,GAZP,11_26,2015,26,303,142,L_Pgrass,native,1,species,abundance,166,plot:166:303:142,5,,2015,TRUE,TRUE,ready_for_build
7,GAZP_11,GAZP,11_26,2015,26,304,23,L_Pgrass,native,7,species,abundance,166,plot:166:304:23,5,,2015,TRUE,TRUE,ready_for_build
8,GAZP_11,GAZP,11_26,2015,26,304,43,L_Pgrass,native,2,species,abundance,166,plot:166:304:43,5,,2015,TRUE,TRUE,ready_for_build
9,GAZP_11,GAZP,11_26,2015,26,305,121,L_Pgrass,native,6,species,abundance,166,plot:166:305:121,5,,2015,TRUE,TRUE,ready_for_build
10,GAZP_11,GAZP,11_26,2015,26,305,141,L_Pgrass,native,7,species,abundance,166,plot:166:305:141,5,,2015,TRUE,TRUE,ready_for_build
11,GAZP_11,GAZP,11_26,2015,26,306,23,L_Pgrass,native,10,species,abundance,166,plot:166:306:23,5,,2015,TRUE,TRUE,ready_for_build
12,GAZP_11,GAZP,11_26,2015,26,306,43,L_Pgrass,native,2,species,abundance,166,plot:166:306:43,5,,2015,TRUE,TRUE,ready_for_build
13,GAZP_11,GAZP,11_26,2015,26,307,22,L_Pgrass,native,0,species,abundance,166,plot:166:307:22,5,,2015,TRUE,TRUE,ready_for_build
14,GAZP_11,GAZP,11_26,2015,26,307,42,L_Pgrass,native,0,species,abundance,166,plot:166:307:42,5,,2015,TRUE,TRUE,ready_for_build
15,GAZP_11,GAZP,11_26,2015,26,308,121,L_Pgrass,native,6,species,abundance,166,plot:166:308:121,5,,2015,TRUE,TRUE,ready_for_build
16,GAZP_11,GAZP,11_26,2015,26,308,141,L_Pgrass,native,3,species,abundance,166,plot:166:308:141,5,,2015,TRUE,TRUE,ready_for_build
