source_treatmentid,source_species_code,seedpretreatment
11_1,Ely_ely,coated
11_1,Ely_tra,coated
11_1,Poa_fen,coated
11_1,Pse_rup,coated
11_1,Vul_mic,coated
11_3,Ely_ely,coated
11_3,Ely_tra,coated
11_3,Poa_fen,coated
11_3,Pse_rup,coated
11_3,Vul_mic,coated
11_5,Ely_ely,coated
11_7,Ely_ely,coated
11_9,Ely_tra,coated
11_11,Ely_tra,coated
11_13,Poa_fen,coated
11_15,Poa_fen,coated
11_17,Pse_rup,coated
11_19,Pse_rup,coated
11_21,Vul_mic,coated
11_23,Vul_mic,coated
11_26,Ely_ely,coated
11_26,Ely_tra,coated
11_26,Poa_fen,coated
11_26,Pse_rup,coated
11_26,Vul_mic,coated
11_28,Ely_ely,coated
11_28,Ely_tra,coated
11_28,Poa_fen,coated
11_28,Pse_rup,coated
11_28,Vul_mic,coated
11_30,Ely_ely,coated
11_32,Ely_ely,coated
11_34,Ely_tra,coated
11_36,Ely_tra,coated
11_38,Poa_fen,coated
11_40,Poa_fen,coated
11_42,Pse_rup,coated
11_44,Pse_rup,coated
11_46,Vul_mic,coated
11_48,Vul_mic,coated
11_51,Ely_ely,coated
11_51,Ely_tra,coated
11_51,Poa_fen,coated
11_51,Pse_rup,coated
11_51,Vul_mic,coated
11_53,Ely_ely,coated
11_53,Ely_tra,coated
11_53,Poa_fen,coated
11_53,Pse_rup,coated
11_53,Vul_mic,coated
11_55,Ely_ely,coated
11_57,Ely_ely,coated
11_59,Ely_tra,coated
11_61,Ely_tra,coated
11_63,Poa_fen,coated
11_65,Poa_fen,coated
11_67,Pse_rup,coated
11_69,Pse_rup,coated
11_71,Vul_mic,coated
11_73,Vul_mic,coated
