source_treatmentid,source_species_code,rate,unit,viability,seedpretreatment,source_treatment_event_key,review_status
11_1,Ely_ely,206,seeds/m2,PLS,coated,11_1::event_01,ready for build
11_1,Ely_tra,242,seeds/m2,PLS,coated,11_1::event_01,ready for build
11_1,Poa_fen,174,seeds/m2,PLS,coated,11_1::event_01,ready for build
11_1,Pse_rup,224,seeds/m2,PLS,coated,11_1::event_01,ready for build
11_1,Vul_mic,98,seeds/m2,PLS,coated,11_1::event_01,ready for build
11_2,Ely_ely,206,seeds/m2,PLS,,11_2::event_01,ready for build
11_2,Ely_tra,242,seeds/m2,PLS,,11_2::event_01,ready for build
11_2,Poa_fen,174,seeds/m2,PLS,,11_2::event_01,ready for build
11_2,Pse_rup,224,seeds/m2,PLS,,11_2::event_01,ready for build
11_2,Vul_mic,98,seeds/m2,PLS,,11_2::event_01,ready for build
11_3,Ely_ely,103,seeds/m2,PLS,coated,11_3::event_01,ready for build
11_3,Ely_tra,121,seeds/m2,PLS,coated,11_3::event_01,ready for build
11_3,Poa_fen,87,seeds/m2,PLS,coated,11_3::event_01,ready for build
11_3,Pse_rup,112,seeds/m2,PLS,coated,11_3::event_01,ready for build
11_3,Vul_mic,49,seeds/m2,PLS,coated,11_3::event_01,ready for build
11_4,Ely_ely,103,seeds/m2,PLS,,11_4::event_01,ready for build
11_4,Ely_tra,121,seeds/m2,PLS,,11_4::event_01,ready for build
11_4,Poa_fen,87,seeds/m2,PLS,,11_4::event_01,ready for build
11_4,Pse_rup,112,seeds/m2,PLS,,11_4::event_01,ready for build
11_4,Vul_mic,49,seeds/m2,PLS,,11_4::event_01,ready for build
11_5,Ely_ely,206,seeds/m2,PLS,coated,11_5::event_01,ready for build
11_6,Ely_ely,206,seeds/m2,PLS,,11_6::event_01,ready for build
11_7,Ely_ely,103,seeds/m2,PLS,coated,11_7::event_01,ready for build
11_8,Ely_ely,103,seeds/m2,PLS,,11_8::event_01,ready for build
11_9,Ely_tra,242,seeds/m2,PLS,coated,11_9::event_01,ready for build
11_10,Ely_tra,242,seeds/m2,PLS,,11_10::event_01,ready for build
11_11,Ely_tra,121,seeds/m2,PLS,coated,11_11::event_01,ready for build
11_12,Ely_tra,121,seeds/m2,PLS,,11_12::event_01,ready for build
11_13,Poa_fen,174,seeds/m2,PLS,coated,11_13::event_01,ready for build
11_14,Poa_fen,174,seeds/m2,PLS,,11_14::event_01,ready for build
11_15,Poa_fen,87,seeds/m2,PLS,coated,11_15::event_01,ready for build
11_16,Poa_fen,87,seeds/m2,PLS,,11_16::event_01,ready for build
11_17,Pse_rup,224,seeds/m2,PLS,coated,11_17::event_01,ready for build
11_18,Pse_rup,224,seeds/m2,PLS,,11_18::event_01,ready for build
11_19,Pse_rup,112,seeds/m2,PLS,coated,11_19::event_01,ready for build
11_20,Pse_rup,112,seeds/m2,PLS,,11_20::event_01,ready for build
11_21,Vul_mic,98,seeds/m2,PLS,coated,11_21::event_01,ready for build
11_22,Vul_mic,98,seeds/m2,PLS,,11_22::event_01,ready for build
11_23,Vul_mic,49,seeds/m2,PLS,coated,11_23::event_01,ready for build
11_24,Vul_mic,49,seeds/m2,PLS,,11_24::event_01,ready for build
