source_row,source_observationid,source_treatmentid,block,replicate,area_key,area_found,explicit_area_treatment_found,timepoint_found,source_species_code,prepare_status
1,GAZP_11,11_26,301,23,plot:166:301:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
2,GAZP_11,11_26,301,43,plot:166:301:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
3,GAZP_11,11_26,302,122,plot:166:302:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
4,GAZP_11,11_26,302,142,plot:166:302:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
5,GAZP_11,11_26,303,122,plot:166:303:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
6,GAZP_11,11_26,303,142,plot:166:303:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
7,GAZP_11,11_26,304,23,plot:166:304:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
8,GAZP_11,11_26,304,43,plot:166:304:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
9,GAZP_11,11_26,305,121,plot:166:305:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
10,GAZP_11,11_26,305,141,plot:166:305:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
11,GAZP_11,11_26,306,23,plot:166:306:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
12,GAZP_11,11_26,306,43,plot:166:306:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
13,GAZP_11,11_26,307,22,plot:166:307:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
14,GAZP_11,11_26,307,42,plot:166:307:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
15,GAZP_11,11_26,308,121,plot:166:308:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
16,GAZP_11,11_26,308,141,plot:166:308:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
17,GAZP_11,11_26,309,21,plot:166:309:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
18,GAZP_11,11_26,309,41,plot:166:309:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
19,GAZP_11,11_26,401,123,plot:166:401:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
20,GAZP_11,11_26,401,143,plot:166:401:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
21,GAZP_11,11_26,402,22,plot:166:402:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
22,GAZP_11,11_26,402,42,plot:166:402:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
23,GAZP_11,11_26,403,122,plot:166:403:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
24,GAZP_11,11_26,403,142,plot:166:403:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
25,GAZP_11,11_26,404,23,plot:166:404:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
26,GAZP_11,11_26,404,43,plot:166:404:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
27,GAZP_11,11_26,405,21,plot:166:405:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
28,GAZP_11,11_26,405,41,plot:166:405:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
29,GAZP_11,11_26,406,123,plot:166:406:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
30,GAZP_11,11_26,406,143,plot:166:406:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
31,GAZP_11,11_26,407,22,plot:166:407:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
32,GAZP_11,11_26,407,42,plot:166:407:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
33,GAZP_11,11_26,408,21,plot:166:408:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
34,GAZP_11,11_26,408,41,plot:166:408:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
35,GAZP_11,11_26,409,21,plot:166:409:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
36,GAZP_11,11_26,409,41,plot:166:409:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
37,GAZP_11,11_27,701,123,plot:166:701:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
38,GAZP_11,11_27,701,143,plot:166:701:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
39,GAZP_11,11_27,702,22,plot:166:702:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
40,GAZP_11,11_27,702,42,plot:166:702:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
41,GAZP_11,11_27,703,22,plot:166:703:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
42,GAZP_11,11_27,703,42,plot:166:703:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
43,GAZP_11,11_27,704,123,plot:166:704:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
44,GAZP_11,11_27,704,143,plot:166:704:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
45,GAZP_11,11_27,705,21,plot:166:705:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
46,GAZP_11,11_27,705,41,plot:166:705:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
47,GAZP_11,11_27,706,123,plot:166:706:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
48,GAZP_11,11_27,706,143,plot:166:706:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
49,GAZP_11,11_27,707,122,plot:166:707:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
50,GAZP_11,11_27,707,142,plot:166:707:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
51,GAZP_11,11_27,708,21,plot:166:708:21,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
52,GAZP_11,11_27,708,41,plot:166:708:41,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
53,GAZP_11,11_27,709,121,plot:166:709:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
54,GAZP_11,11_27,709,141,plot:166:709:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
55,GAZP_11,11_27,801,23,plot:166:801:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
56,GAZP_11,11_27,801,43,plot:166:801:43,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
57,GAZP_11,11_27,802,122,plot:166:802:122,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
58,GAZP_11,11_27,802,142,plot:166:802:142,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
59,GAZP_11,11_27,803,22,plot:166:803:22,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
60,GAZP_11,11_27,803,42,plot:166:803:42,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
61,GAZP_11,11_27,804,123,plot:166:804:123,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
62,GAZP_11,11_27,804,143,plot:166:804:143,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
63,GAZP_11,11_27,805,121,plot:166:805:121,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
64,GAZP_11,11_27,805,141,plot:166:805:141,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
65,GAZP_11,11_27,806,23,plot:166:806:23,TRUE,TRUE,TRUE,L_Pgrass,ready_for_build
