table,commit_order,rows,status,action
project,1,1,built,insert
project_data_accessibility,2,1,built,insert
location,3,1,built,insert
project_location,4,1,built,insert
site,5,1,built,insert
project_site,6,1,built,insert
author_contributor,7,1,built,insert
project_contributor,8,1,built,insert
project_vegmetric,9,1,built,insert
paper,10,1,built,insert
project_paper,11,1,built,insert
paper_author,12,1,built,insert
site_classification,13,1,built,insert
site_disturbance,14,1,built,insert
site_ref_ecosystem,15,1,built,insert
site_soil,16,1,built,insert
site_invasive,17,1,built,insert
area,18,1507,built,insert
treatment,19,122,built,insert
area_treatment,20,1566,built,insert
treatment_application,21,72,built,insert
treatment_cover_crop,22,0,built,skip_zero_rows
treatment_erosion,23,0,built,skip_zero_rows
treatment_fertilization,24,0,built,skip_zero_rows
treatment_grazer,25,48,built,insert
treatment_herbicide,26,0,built,skip_zero_rows
treatment_invasion,27,0,built,skip_zero_rows
treatment_irrigation,28,0,built,skip_zero_rows
treatment_material,29,0,built,skip_zero_rows
treatment_medium,30,0,built,skip_zero_rows
treatment_mowing,31,0,built,skip_zero_rows
treatment_prep,32,0,built,skip_zero_rows
seed_mix,33,72,built,insert
seeding,34,120,built,insert
seeding_pretreatment,35,60,built,insert
veg_result,36,1220,built,insert
