"treatmentid","expected_rate_total","expected_species_count","expected_coating","distinct_expected_rates","distinct_expected_species_counts","distinct_expected_coatings","candidate_rate_total","candidate_species_count","candidate_coating","status"
"11_1",944,5,"coated",1,1,1,944,5,"coated","matches raw design"
"11_2",944,5,"blank",1,1,1,944,5,"blank","matches raw design"
"11_3",472,5,"coated",1,1,1,472,5,"coated","matches raw design"
"11_4",472,5,"blank",1,1,1,472,5,"blank","matches raw design"
"11_5",206,1,"coated",1,1,1,206,1,"coated","matches raw design"
"11_6",206,1,"blank",1,1,1,206,1,"blank","matches raw design"
"11_7",103,1,"coated",1,1,1,103,1,"coated","matches raw design"
"11_8",103,1,"blank",1,1,1,103,1,"blank","matches raw design"
"11_9",242,1,"coated",1,1,1,242,1,"coated","matches raw design"
"11_10",242,1,"blank",1,1,1,242,1,"blank","matches raw design"
"11_11",121,1,"coated",1,1,1,121,1,"coated","matches raw design"
"11_12",121,1,"blank",1,1,1,121,1,"blank","matches raw design"
"11_13",174,1,"coated",1,1,1,174,1,"coated","matches raw design"
"11_14",174,1,"blank",1,1,1,174,1,"blank","matches raw design"
"11_15",87,1,"coated",1,1,1,87,1,"coated","matches raw design"
"11_16",87,1,"blank",1,1,1,87,1,"blank","matches raw design"
"11_17",224,1,"coated",1,1,1,224,1,"coated","matches raw design"
"11_18",224,1,"blank",1,1,1,224,1,"blank","matches raw design"
"11_19",112,1,"coated",1,1,1,112,1,"coated","matches raw design"
"11_20",112,1,"blank",1,1,1,112,1,"blank","matches raw design"
"11_21",98,1,"coated",1,1,1,98,1,"coated","matches raw design"
"11_22",98,1,"blank",1,1,1,98,1,"blank","matches raw design"
"11_23",49,1,"coated",1,1,1,49,1,"coated","matches raw design"
"11_24",49,1,"blank",1,1,1,49,1,"blank","matches raw design"
"11_26",944,5,"coated",1,1,1,944,5,"coated","matches raw design"
"11_27",944,5,"blank",1,1,1,944,5,"blank","matches raw design"
"11_28",472,5,"coated",1,1,1,472,5,"coated","matches raw design"
"11_29",472,5,"blank",1,1,1,472,5,"blank","matches raw design"
"11_30",206,1,"coated",1,1,1,206,1,"coated","matches raw design"
"11_31",206,1,"blank",1,1,1,206,1,"blank","matches raw design"
"11_32",103,1,"coated",1,1,1,103,1,"coated","matches raw design"
"11_33",103,1,"blank",1,1,1,103,1,"blank","matches raw design"
"11_34",242,1,"coated",1,1,1,242,1,"coated","matches raw design"
"11_35",242,1,"blank",1,1,1,242,1,"blank","matches raw design"
"11_36",121,1,"coated",1,1,1,121,1,"coated","matches raw design"
"11_37",121,1,"blank",1,1,1,121,1,"blank","matches raw design"
"11_38",174,1,"coated",1,1,1,174,1,"coated","matches raw design"
"11_39",174,1,"blank",1,1,1,174,1,"blank","matches raw design"
"11_40",87,1,"coated",1,1,1,87,1,"coated","matches raw design"
"11_41",87,1,"blank",1,1,1,87,1,"blank","matches raw design"
"11_42",224,1,"coated",1,1,1,224,1,"coated","matches raw design"
"11_43",224,1,"blank",1,1,1,224,1,"blank","matches raw design"
"11_44",112,1,"coated",1,1,1,112,1,"coated","matches raw design"
"11_45",112,1,"blank",1,1,1,112,1,"blank","matches raw design"
"11_46",98,1,"coated",1,1,1,98,1,"coated","matches raw design"
"11_47",98,1,"blank",1,1,1,98,1,"blank","matches raw design"
"11_48",49,1,"coated",1,1,1,49,1,"coated","matches raw design"
"11_49",49,1,"blank",1,1,1,49,1,"blank","matches raw design"
"11_51",944,5,"coated",1,1,1,944,5,"coated","matches raw design"
"11_52",944,5,"blank",1,1,1,944,5,"blank","matches raw design"
"11_53",472,5,"coated",1,1,1,472,5,"coated","matches raw design"
"11_54",472,5,"blank",1,1,1,472,5,"blank","matches raw design"
"11_55",206,1,"coated",1,1,1,206,1,"coated","matches raw design"
"11_56",206,1,"blank",1,1,1,206,1,"blank","matches raw design"
"11_57",103,1,"coated",1,1,1,103,1,"coated","matches raw design"
"11_58",103,1,"blank",1,1,1,103,1,"blank","matches raw design"
"11_59",242,1,"coated",1,1,1,242,1,"coated","matches raw design"
"11_60",242,1,"blank",1,1,1,242,1,"blank","matches raw design"
"11_61",121,1,"coated",1,1,1,121,1,"coated","matches raw design"
"11_62",121,1,"blank",1,1,1,121,1,"blank","matches raw design"
"11_63",174,1,"coated",1,1,1,174,1,"coated","matches raw design"
"11_64",174,1,"blank",1,1,1,174,1,"blank","matches raw design"
"11_65",87,1,"coated",1,1,1,87,1,"coated","matches raw design"
"11_66",87,1,"blank",1,1,1,87,1,"blank","matches raw design"
"11_67",224,1,"coated",1,1,1,224,1,"coated","matches raw design"
"11_68",224,1,"blank",1,1,1,224,1,"blank","matches raw design"
"11_69",112,1,"coated",1,1,1,112,1,"coated","matches raw design"
"11_70",112,1,"blank",1,1,1,112,1,"blank","matches raw design"
"11_71",98,1,"coated",1,1,1,98,1,"coated","matches raw design"
"11_72",98,1,"blank",1,1,1,98,1,"blank","matches raw design"
"11_73",49,1,"coated",1,1,1,49,1,"coated","matches raw design"
"11_74",49,1,"blank",1,1,1,49,1,"blank","matches raw design"
